time,lat,lon,vmax,mslp
2021-09-22 06:00:00,10.8,150.0,20.0,1007.0
2021-09-22 09:00:00,11.2,149.3,20.0,1007.0
2021-09-22 12:00:00,11.5,148.7,20.0,1007.0
2021-09-22 15:00:00,11.7,148.2,23.0,1007.0
2021-09-22 18:00:00,11.9,147.7,25.0,1006.0
2021-09-22 21:00:00,12.3,146.9,28.0,1007.0
2021-09-23 00:00:00,12.7,146.0,30.0,1007.0
2021-09-23 03:00:00,13.0,145.4,30.0,1008.0
2021-09-23 06:00:00,13.3,144.7,30.0,1008.0
2021-09-23 09:00:00,13.6,143.7,33.0,1005.0
2021-09-23 12:00:00,13.9,142.8,35.0,1001.0
2021-09-23 15:00:00,14.0,142.3,35.0,1001.0
2021-09-23 18:00:00,14.2,141.9,35.0,1001.0
2021-09-23 21:00:00,14.5,141.5,38.0,1001.0
2021-09-24 00:00:00,14.8,141.0,40.0,1000.0
2021-09-24 03:00:00,15.1,140.5,43.0,999.0
2021-09-24 06:00:00,15.4,140.1,45.0,997.0
2021-09-24 09:00:00,15.7,139.7,48.0,996.0
2021-09-24 12:00:00,16.1,139.3,50.0,994.0
2021-09-24 15:00:00,16.4,138.9,58.0,989.0
2021-09-24 18:00:00,16.7,138.5,65.0,983.0
2021-09-24 21:00:00,16.9,138.3,73.0,979.0
2021-09-25 00:00:00,17.1,138.1,80.0,974.0
2021-09-25 03:00:00,17.3,137.9,85.0,970.0
2021-09-25 06:00:00,17.6,137.7,90.0,965.0
2021-09-25 09:00:00,17.9,137.5,103.0,955.0
2021-09-25 12:00:00,18.1,137.4,115.0,944.0
2021-09-25 15:00:00,18.3,137.2,120.0,939.0
2021-09-25 18:00:00,18.4,137.1,125.0,933.0
2021-09-25 21:00:00,18.5,136.9,133.0,925.0
2021-09-26 00:00:00,18.6,136.8,140.0,916.0
2021-09-26 03:00:00,18.7,136.7,138.0,918.0
2021-09-26 06:00:00,18.8,136.7,135.0,919.0
2021-09-26 09:00:00,18.9,136.7,130.0,924.0
2021-09-26 12:00:00,19.0,136.7,125.0,928.0
2021-09-26 15:00:00,19.2,136.7,115.0,939.0
2021-09-26 18:00:00,19.4,136.7,105.0,949.0
2021-09-26 21:00:00,19.5,136.7,100.0,953.0
2021-09-27 00:00:00,19.6,136.7,95.0,956.0
2021-09-27 03:00:00,19.7,136.7,93.0,958.0
2021-09-27 06:00:00,19.9,136.6,90.0,959.0
2021-09-27 09:00:00,20.1,136.5,88.0,962.0
2021-09-27 12:00:00,20.2,136.4,85.0,965.0
2021-09-27 15:00:00,20.3,136.3,88.0,963.0
2021-09-27 18:00:00,20.5,136.3,90.0,961.0
2021-09-27 21:00:00,20.7,136.3,95.0,957.0
2021-09-28 00:00:00,21.0,136.2,100.0,953.0
2021-09-28 03:00:00,21.3,136.0,98.0,954.0
2021-09-28 06:00:00,21.6,135.8,95.0,954.0
2021-09-28 09:00:00,21.8,135.6,100.0,950.0
2021-09-28 12:00:00,22.0,135.4,105.0,945.0
2021-09-28 15:00:00,22.3,135.4,110.0,940.0
2021-09-28 18:00:00,22.7,135.4,115.0,935.0
2021-09-28 21:00:00,23.0,135.4,118.0,932.0
2021-09-29 00:00:00,23.4,135.4,120.0,928.0
2021-09-29 03:00:00,23.8,135.3,118.0,931.0
2021-09-29 06:00:00,24.2,135.3,115.0,933.0
2021-09-29 09:00:00,24.5,135.4,113.0,935.0
2021-09-29 12:00:00,24.9,135.6,110.0,937.0
2021-09-29 15:00:00,25.4,135.7,108.0,939.0
2021-09-29 18:00:00,25.9,135.9,105.0,940.0
2021-09-29 21:00:00,26.3,136.1,103.0,945.0
2021-09-30 00:00:00,26.7,136.4,100.0,949.0
2021-09-30 03:00:00,27.4,136.9,95.0,953.0
2021-09-30 06:00:00,28.1,137.4,90.0,956.0
2021-09-30 09:00:00,28.7,137.8,88.0,957.0
2021-09-30 12:00:00,29.3,138.2,85.0,958.0
2021-09-30 15:00:00,29.8,138.7,85.0,958.0
2021-09-30 18:00:00,30.4,139.3,85.0,958.0
2021-09-30 21:00:00,31.3,140.2,83.0,960.0
2021-10-01 00:00:00,32.2,141.2,80.0,961.0
2021-10-01 03:00:00,32.9,141.8,78.0,963.0
2021-10-01 06:00:00,33.7,142.4,75.0,964.0
2021-10-01 09:00:00,34.6,143.1,70.0,968.0
2021-10-01 12:00:00,35.6,143.8,65.0,972.0
2021-10-01 15:00:00,36.5,144.6,70.0,969.0
2021-10-01 18:00:00,37.4,145.6,75.0,965.0
2021-10-01 21:00:00,38.5,146.6,68.0,970.0
2021-10-02 00:00:00,39.6,147.8,60.0,974.0
2021-10-02 03:00:00,40.7,149.0,50.0,979.0
2021-10-02 06:00:00,41.8,150.3,40.0,983.0
