time,lat,lon,vmax,mslp
2021-10-08 18:00:00,15.7,164.1,15.0,1009.0
2021-10-08 21:00:00,15.9,163.8,15.0,1010.0
2021-10-09 00:00:00,16.2,163.5,15.0,1010.0
2021-10-09 03:00:00,16.5,163.2,23.0,1008.0
2021-10-09 06:00:00,16.8,162.8,30.0,1005.0
2021-10-09 09:00:00,16.9,162.4,30.0,1004.0
2021-10-09 12:00:00,16.9,161.9,30.0,1002.0
2021-10-09 15:00:00,16.9,161.5,30.0,1002.0
2021-10-09 18:00:00,16.8,161.1,30.0,1002.0
2021-10-09 21:00:00,16.8,160.9,35.0,1000.0
2021-10-10 00:00:00,16.8,160.6,40.0,998.0
2021-10-10 03:00:00,16.9,160.1,38.0,998.0
2021-10-10 06:00:00,17.0,159.6,35.0,998.0
2021-10-10 09:00:00,17.2,159.4,38.0,997.0
2021-10-10 12:00:00,17.5,159.3,40.0,996.0
2021-10-10 15:00:00,17.8,159.1,40.0,996.0
2021-10-10 18:00:00,18.1,158.7,40.0,996.0
2021-10-10 21:00:00,18.2,158.2,43.0,997.0
2021-10-11 00:00:00,18.3,157.5,45.0,998.0
2021-10-11 03:00:00,18.5,156.7,45.0,997.0
2021-10-11 06:00:00,18.6,155.9,45.0,996.0
2021-10-11 09:00:00,18.7,155.4,45.0,996.0
2021-10-11 12:00:00,18.8,154.9,45.0,995.0
2021-10-11 15:00:00,18.8,154.3,45.0,996.0
2021-10-11 18:00:00,18.8,153.8,45.0,996.0
2021-10-11 21:00:00,18.9,153.4,43.0,998.0
2021-10-12 00:00:00,19.1,153.0,40.0,999.0
2021-10-12 03:00:00,19.2,152.5,38.0,1000.0
2021-10-12 06:00:00,19.3,152.0,35.0,1001.0
2021-10-12 09:00:00,19.5,151.7,33.0,1002.0
2021-10-12 12:00:00,19.9,151.6,30.0,1003.0
2021-10-12 15:00:00,20.3,151.7,30.0,1003.0
2021-10-12 18:00:00,20.8,151.9,30.0,1002.0
2021-10-12 21:00:00,21.5,152.2,28.0,1003.0
2021-10-13 00:00:00,22.2,152.5,25.0,1004.0
2021-10-13 03:00:00,22.4,152.6,25.0,1004.0
2021-10-13 06:00:00,22.5,152.9,25.0,1004.0
2021-10-13 09:00:00,22.9,153.5,28.0,1004.0
2021-10-13 12:00:00,23.3,154.2,30.0,1003.0
2021-10-13 15:00:00,23.5,154.8,33.0,1001.0
2021-10-13 18:00:00,23.6,155.3,35.0,998.0
2021-10-13 21:00:00,23.7,155.9,38.0,999.0
2021-10-14 00:00:00,23.9,156.4,40.0,999.0
2021-10-14 03:00:00,24.0,156.9,43.0,997.0
2021-10-14 06:00:00,24.2,157.3,45.0,995.0
2021-10-14 09:00:00,24.3,157.6,45.0,995.0
2021-10-14 12:00:00,24.5,158.0,45.0,995.0
2021-10-14 15:00:00,24.8,158.6,40.0,998.0
2021-10-14 18:00:00,25.1,159.3,35.0,1000.0
2021-10-14 21:00:00,25.4,159.7,40.0,998.0
2021-10-15 00:00:00,25.7,160.1,45.0,995.0
2021-10-15 03:00:00,26.0,160.7,45.0,996.0
2021-10-15 06:00:00,26.3,161.4,45.0,996.0
2021-10-15 09:00:00,26.7,161.9,45.0,996.0
2021-10-15 12:00:00,27.2,162.4,45.0,996.0
2021-10-15 15:00:00,27.7,162.8,50.0,992.0
2021-10-15 18:00:00,28.2,163.2,55.0,988.0
2021-10-15 21:00:00,28.8,163.7,55.0,989.0
2021-10-16 00:00:00,29.4,164.3,55.0,989.0
2021-10-16 03:00:00,30.2,164.8,53.0,990.0
2021-10-16 06:00:00,30.9,165.2,50.0,991.0
2021-10-16 09:00:00,31.4,165.6,53.0,990.0
2021-10-16 12:00:00,31.8,165.9,55.0,988.0
2021-10-16 15:00:00,32.4,166.4,53.0,989.0
2021-10-16 18:00:00,32.9,166.8,50.0,990.0
2021-10-16 21:00:00,33.3,167.1,45.0,994.0
2021-10-17 00:00:00,33.8,167.3,40.0,998.0
2021-10-17 03:00:00,34.4,167.4,38.0,999.0
2021-10-17 06:00:00,35.0,167.4,35.0,999.0
2021-10-17 09:00:00,35.7,167.5,35.0,999.0
2021-10-17 12:00:00,36.5,167.6,35.0,999.0
2021-10-17 15:00:00,37.4,167.5,33.0,1000.0
2021-10-17 18:00:00,38.2,167.6,30.0,1001.0
2021-10-17 21:00:00,38.9,168.0,30.0,1001.0
2021-10-18 00:00:00,39.6,168.7,30.0,1001.0
