time,lat,lon,vmax,mslp
2021-10-22 06:00:00,8.7,144.6,10.0,1014.0
2021-10-22 09:00:00,9.2,144.2,10.0,1014.0
2021-10-22 12:00:00,9.6,143.8,10.0,1014.0
2021-10-22 15:00:00,10.0,143.4,10.0,1012.0
2021-10-22 18:00:00,10.3,143.1,10.0,1009.0
2021-10-22 21:00:00,10.5,142.8,13.0,1009.0
2021-10-23 00:00:00,10.8,142.4,15.0,1009.0
2021-10-23 03:00:00,11.2,141.8,15.0,1009.0
2021-10-23 06:00:00,11.5,141.2,15.0,1009.0
2021-10-23 09:00:00,11.4,140.7,15.0,1009.0
2021-10-23 12:00:00,11.3,140.4,15.0,1009.0
2021-10-23 15:00:00,11.6,140.3,18.0,1008.0
2021-10-23 18:00:00,11.9,140.3,20.0,1007.0
2021-10-23 21:00:00,12.1,139.9,23.0,1005.0
2021-10-24 00:00:00,12.2,139.5,25.0,1003.0
2021-10-24 03:00:00,12.3,139.3,28.0,1003.0
2021-10-24 06:00:00,12.4,139.3,30.0,1002.0
2021-10-24 09:00:00,12.8,139.3,33.0,1002.0
2021-10-24 12:00:00,13.2,139.3,35.0,1002.0
2021-10-24 15:00:00,13.5,139.2,35.0,1003.0
2021-10-24 18:00:00,14.0,139.0,35.0,1004.0
2021-10-24 21:00:00,14.9,138.8,35.0,1003.0
2021-10-25 00:00:00,16.0,138.5,35.0,1001.0
2021-10-25 03:00:00,17.0,138.3,35.0,1001.0
2021-10-25 06:00:00,17.8,138.2,35.0,1000.0
2021-10-25 09:00:00,18.2,138.1,35.0,1001.0
2021-10-25 12:00:00,18.4,138.1,35.0,1001.0
2021-10-25 15:00:00,18.8,138.1,38.0,999.0
2021-10-25 18:00:00,19.1,138.1,40.0,997.0
2021-10-25 21:00:00,19.3,138.3,40.0,998.0
2021-10-26 00:00:00,19.4,138.5,40.0,998.0
2021-10-26 03:00:00,19.5,138.7,45.0,995.0
2021-10-26 06:00:00,19.7,138.8,50.0,992.0
2021-10-26 09:00:00,19.9,139.0,50.0,993.0
2021-10-26 12:00:00,20.1,139.2,50.0,994.0
2021-10-26 15:00:00,20.3,139.3,58.0,989.0
2021-10-26 18:00:00,20.4,139.4,65.0,984.0
2021-10-26 21:00:00,20.5,139.4,68.0,984.0
2021-10-27 00:00:00,20.7,139.3,70.0,983.0
2021-10-27 03:00:00,20.9,139.3,70.0,982.0
2021-10-27 06:00:00,21.2,139.4,70.0,980.0
2021-10-27 09:00:00,21.5,139.5,68.0,981.0
2021-10-27 12:00:00,21.9,139.7,65.0,982.0
2021-10-27 15:00:00,22.2,139.8,68.0,982.0
2021-10-27 18:00:00,22.6,140.0,70.0,981.0
2021-10-27 21:00:00,23.1,140.3,75.0,978.0
2021-10-28 00:00:00,23.7,140.7,80.0,974.0
2021-10-28 03:00:00,24.2,141.1,83.0,972.0
2021-10-28 06:00:00,24.8,141.5,85.0,969.0
2021-10-28 09:00:00,25.5,142.0,83.0,971.0
2021-10-28 12:00:00,26.3,142.5,80.0,973.0
2021-10-28 15:00:00,27.2,143.0,83.0,971.0
2021-10-28 18:00:00,28.1,143.5,85.0,968.0
2021-10-28 21:00:00,28.9,144.0,78.0,973.0
2021-10-29 00:00:00,29.7,144.6,70.0,978.0
2021-10-29 03:00:00,30.9,145.5,73.0,976.0
2021-10-29 06:00:00,32.1,146.8,75.0,973.0
2021-10-29 09:00:00,33.0,148.3,65.0,980.0
2021-10-29 12:00:00,33.8,149.9,55.0,986.0
2021-10-29 15:00:00,34.7,151.5,53.0,987.0
2021-10-29 18:00:00,35.7,153.1,50.0,988.0
