time,lat,lon,vmax,mslp
2022-06-14 06:00:00,13.6,-102.5,35,1004
2022-06-14 09:00:00,13.8,-102.3,38,1003
2022-06-14 12:00:00,14.0,-102.1,40,1002
2022-06-14 15:00:00,14.2,-102.0,43,1001
2022-06-14 18:00:00,14.4,-102.0,45,1000
2022-06-14 21:00:00,14.5,-102.0,45,999
2022-06-15 00:00:00,14.6,-102.0,45,998
2022-06-15 03:00:00,14.6,-102.0,50,996
2022-06-15 06:00:00,14.7,-102.1,55,994
2022-06-15 09:00:00,14.8,-102.2,60,991
2022-06-15 12:00:00,14.9,-102.3,65,987
2022-06-15 15:00:00,15.0,-102.4,70,983
2022-06-15 18:00:00,15.1,-102.5,75,979
2022-06-15 21:00:00,15.2,-102.7,75,979
2022-06-16 00:00:00,15.4,-103.0,75,978
2022-06-16 03:00:00,15.6,-103.3,75,979
2022-06-16 06:00:00,15.7,-103.7,75,979
2022-06-16 09:00:00,15.7,-104.0,73,980
2022-06-16 12:00:00,15.8,-104.3,70,981
2022-06-16 15:00:00,15.9,-104.7,70,982
2022-06-16 18:00:00,16.1,-105.1,70,982
2022-06-16 21:00:00,16.3,-105.5,70,982
2022-06-17 00:00:00,16.6,-105.9,70,982
2022-06-17 03:00:00,16.8,-106.4,73,981
2022-06-17 06:00:00,17.0,-106.9,75,979
2022-06-17 09:00:00,17.2,-107.5,75,979
2022-06-17 12:00:00,17.4,-108.2,75,979
2022-06-17 15:00:00,17.4,-108.7,75,980
2022-06-17 18:00:00,17.4,-109.2,75,980
2022-06-17 21:00:00,17.5,-109.6,70,983
2022-06-18 00:00:00,17.6,-109.9,65,986
2022-06-18 03:00:00,17.7,-110.2,60,990
2022-06-18 06:00:00,17.8,-110.4,55,993
2022-06-18 09:00:00,17.9,-110.6,50,995
2022-06-18 12:00:00,18.0,-110.8,45,997
2022-06-18 15:00:00,18.1,-111.0,45,998
2022-06-18 18:00:00,18.3,-111.3,45,999
2022-06-18 21:00:00,18.5,-111.5,43,1000
2022-06-19 00:00:00,18.6,-111.7,40,1001
2022-06-19 03:00:00,18.7,-111.9,40,1002
2022-06-19 06:00:00,18.8,-112.0,40,1002
2022-06-19 09:00:00,18.9,-112.1,40,1002
2022-06-19 12:00:00,18.9,-112.2,40,1002
2022-06-19 15:00:00,18.9,-112.3,38,1003
2022-06-19 18:00:00,19.0,-112.4,35,1003
2022-06-19 21:00:00,19.1,-112.5,35,1004
2022-06-20 00:00:00,19.1,-112.7,35,1004
2022-06-20 03:00:00,19.1,-112.8,33,1005
2022-06-20 06:00:00,19.1,-113.0,30,1005
2022-06-20 09:00:00,19.1,-113.2,30,1006
2022-06-20 12:00:00,19.1,-113.4,30,1006
2022-06-20 15:00:00,19.0,-113.6,30,1006
2022-06-20 18:00:00,19.0,-113.8,30,1006
2022-06-20 21:00:00,19.0,-114.1,28,1007
2022-06-21 00:00:00,19.0,-114.3,25,1007
2022-06-21 03:00:00,19.0,-114.5,25,1007
2022-06-21 06:00:00,19.1,-114.6,25,1007
2022-06-21 09:00:00,19.1,-114.7,25,1007
2022-06-21 12:00:00,19.2,-114.9,25,1007
2022-06-21 15:00:00,19.3,-115.1,25,1007
2022-06-21 18:00:00,19.3,-115.4,25,1007
2022-06-21 21:00:00,19.3,-115.7,25,1007
2022-06-22 00:00:00,19.3,-115.9,25,1007
2022-06-22 03:00:00,19.3,-116.2,23,1008
2022-06-22 06:00:00,19.3,-116.4,20,1008
2022-06-22 09:00:00,19.3,-116.5,20,1008
2022-06-22 12:00:00,19.3,-116.6,20,1008
2022-06-22 15:00:00,19.3,-116.7,20,1009
2022-06-22 18:00:00,19.2,-116.8,20,1009
