time,lat,lon,vmax,mslp
2022-06-16 00:00:00,11.1,-91.1,25,1007
2022-06-16 03:00:00,11.0,-90.9,25,1007
2022-06-16 06:00:00,10.9,-90.7,25,1007
2022-06-16 09:00:00,10.8,-90.5,25,1007
2022-06-16 12:00:00,10.7,-90.3,25,1007
2022-06-16 15:00:00,10.7,-90.1,28,1007
2022-06-16 18:00:00,10.7,-90.0,30,1006
2022-06-16 21:00:00,10.7,-89.8,33,1005
2022-06-17 00:00:00,10.8,-89.7,35,1004
2022-06-17 03:00:00,10.9,-89.6,35,1004
2022-06-17 06:00:00,11.1,-89.5,35,1004
2022-06-17 09:00:00,11.2,-89.4,35,1004
2022-06-17 12:00:00,11.4,-89.4,35,1004
2022-06-17 15:00:00,11.5,-89.4,35,1004
2022-06-17 18:00:00,11.7,-89.3,35,1004
2022-06-17 21:00:00,11.8,-89.2,33,1005
2022-06-18 00:00:00,12.0,-89.2,30,1005
2022-06-18 03:00:00,12.2,-89.3,30,1006
2022-06-18 06:00:00,12.4,-89.4,30,1006
2022-06-18 09:00:00,12.6,-89.5,28,1007
2022-06-18 12:00:00,12.8,-89.7,25,1007
2022-06-18 15:00:00,12.9,-89.8,25,1007
2022-06-18 18:00:00,13.0,-90.0,25,1007
2022-06-18 21:00:00,13.1,-90.2,25,1007
2022-06-19 00:00:00,13.1,-90.4,25,1007
2022-06-19 03:00:00,13.1,-90.7,25,1007
2022-06-19 06:00:00,13.1,-91.0,25,1007
2022-06-19 09:00:00,13.0,-91.4,25,1007
2022-06-19 12:00:00,12.9,-91.9,25,1007
2022-06-19 15:00:00,12.8,-92.3,25,1008
2022-06-19 18:00:00,12.7,-92.7,25,1008
2022-06-19 21:00:00,12.5,-93.1,25,1008
2022-06-20 00:00:00,12.3,-93.4,25,1008
2022-06-20 03:00:00,12.1,-93.7,25,1008
2022-06-20 06:00:00,11.9,-94.0,25,1008
2022-06-20 09:00:00,11.8,-94.3,25,1008
2022-06-20 12:00:00,11.7,-94.7,25,1008
2022-06-20 15:00:00,11.7,-95.2,28,1007
2022-06-20 18:00:00,11.7,-95.8,30,1006
2022-06-20 21:00:00,11.7,-96.4,30,1006
2022-06-21 00:00:00,11.7,-96.9,30,1006
2022-06-21 03:00:00,11.7,-97.4,30,1006
2022-06-21 06:00:00,11.7,-98.0,30,1006
2022-06-21 09:00:00,11.7,-98.6,33,1006
2022-06-21 12:00:00,11.8,-99.3,35,1005
