time,lat,lon,vmax,mslp
2022-07-25 12:00:00,11.0,-98.0,25,1009
2022-07-25 15:00:00,11.0,-98.5,28,1009
2022-07-25 18:00:00,11.0,-99.1,30,1008
2022-07-25 21:00:00,11.0,-99.7,30,1008
2022-07-26 00:00:00,11.1,-100.2,30,1007
2022-07-26 03:00:00,11.2,-100.7,33,1007
2022-07-26 06:00:00,11.3,-101.2,35,1006
2022-07-26 09:00:00,11.4,-101.6,35,1005
2022-07-26 12:00:00,11.5,-102.0,35,1004
2022-07-26 15:00:00,11.5,-102.4,35,1004
2022-07-26 18:00:00,11.6,-102.9,35,1004
2022-07-26 21:00:00,11.7,-103.4,35,1004
2022-07-27 00:00:00,11.8,-103.8,35,1004
2022-07-27 03:00:00,11.9,-104.2,35,1004
2022-07-27 06:00:00,12.1,-104.6,35,1004
2022-07-27 09:00:00,12.2,-105.0,35,1004
2022-07-27 12:00:00,12.3,-105.5,35,1004
2022-07-27 15:00:00,12.3,-105.9,38,1003
2022-07-27 18:00:00,12.4,-106.4,40,1002
2022-07-27 21:00:00,12.5,-106.9,43,1001
2022-07-28 00:00:00,12.6,-107.4,45,1000
2022-07-28 03:00:00,12.7,-107.9,45,1000
2022-07-28 06:00:00,12.8,-108.5,45,1000
2022-07-28 09:00:00,12.9,-109.1,45,1000
2022-07-28 12:00:00,12.9,-109.6,45,1000
2022-07-28 15:00:00,12.9,-110.1,48,999
2022-07-28 18:00:00,13.0,-110.5,50,997
2022-07-28 21:00:00,13.1,-110.9,53,995
2022-07-29 00:00:00,13.2,-111.3,55,993
2022-07-29 03:00:00,13.3,-111.7,55,993
2022-07-29 06:00:00,13.5,-112.0,55,993
2022-07-29 09:00:00,13.7,-112.3,55,993
2022-07-29 12:00:00,14.0,-112.6,55,993
2022-07-29 15:00:00,14.2,-113.0,58,991
2022-07-29 18:00:00,14.4,-113.4,60,989
2022-07-29 21:00:00,14.6,-113.8,65,986
2022-07-30 00:00:00,14.9,-114.2,70,983
2022-07-30 03:00:00,15.2,-114.6,75,980
2022-07-30 06:00:00,15.5,-115.0,80,976
2022-07-30 09:00:00,15.8,-115.4,80,976
2022-07-30 12:00:00,16.2,-115.8,80,976
2022-07-30 15:00:00,16.5,-116.2,80,976
2022-07-30 18:00:00,16.9,-116.5,80,976
2022-07-30 21:00:00,17.2,-116.9,80,976
2022-07-31 00:00:00,17.6,-117.3,80,976
2022-07-31 03:00:00,18.0,-117.8,78,978
2022-07-31 06:00:00,18.3,-118.2,75,979
2022-07-31 09:00:00,18.6,-118.6,73,980
2022-07-31 12:00:00,18.9,-119.0,70,981
2022-07-31 15:00:00,19.3,-119.4,70,982
2022-07-31 18:00:00,19.7,-119.8,70,983
2022-07-31 21:00:00,20.0,-120.2,68,984
2022-08-01 00:00:00,20.4,-120.5,65,984
2022-08-01 03:00:00,20.8,-120.9,63,986
2022-08-01 06:00:00,21.2,-121.3,60,988
2022-08-01 09:00:00,21.6,-121.7,58,990
2022-08-01 12:00:00,21.9,-122.1,55,992
2022-08-01 15:00:00,22.2,-122.5,50,995
2022-08-01 18:00:00,22.5,-122.9,45,997
2022-08-01 21:00:00,22.8,-123.3,43,998
2022-08-02 00:00:00,23.1,-123.7,40,999
2022-08-02 03:00:00,23.4,-124.1,40,1000
2022-08-02 06:00:00,23.7,-124.5,40,1001
2022-08-02 09:00:00,24.0,-124.9,38,1003
2022-08-02 12:00:00,24.4,-125.2,35,1004
2022-08-02 15:00:00,24.8,-125.5,35,1005
2022-08-02 18:00:00,25.2,-125.8,35,1005
2022-08-02 21:00:00,25.6,-126.1,33,1006
2022-08-03 00:00:00,26.0,-126.4,30,1006
2022-08-03 03:00:00,26.4,-126.7,30,1007
2022-08-03 06:00:00,26.9,-126.9,30,1007
2022-08-03 09:00:00,27.4,-127.1,30,1007
2022-08-03 12:00:00,27.9,-127.3,30,1007
2022-08-03 15:00:00,28.4,-127.4,28,1008
2022-08-03 18:00:00,28.9,-127.5,25,1008
2022-08-03 21:00:00,29.4,-127.5,25,1008
2022-08-04 00:00:00,29.9,-127.4,25,1008
