time,lat,lon,vmax,mslp
2022-08-06 12:00:00,14.0,-105.3,30,1006
2022-08-06 15:00:00,14.3,-105.8,30,1006
2022-08-06 18:00:00,14.7,-106.3,30,1006
2022-08-06 21:00:00,15.1,-106.8,30,1006
2022-08-07 00:00:00,15.4,-107.4,30,1006
2022-08-07 03:00:00,15.7,-108.0,30,1006
2022-08-07 06:00:00,16.0,-108.6,30,1006
2022-08-07 09:00:00,16.3,-109.1,30,1006
2022-08-07 12:00:00,16.6,-109.6,30,1006
2022-08-07 15:00:00,16.9,-110.0,33,1006
2022-08-07 18:00:00,17.2,-110.4,35,1005
2022-08-07 21:00:00,17.6,-110.8,38,1005
2022-08-08 00:00:00,18.0,-111.3,40,1004
2022-08-08 03:00:00,18.4,-111.8,43,1004
2022-08-08 06:00:00,18.8,-112.2,45,1003
2022-08-08 09:00:00,19.3,-112.7,50,1001
2022-08-08 12:00:00,19.7,-113.1,55,999
2022-08-08 15:00:00,20.0,-113.5,60,995
2022-08-08 18:00:00,20.3,-113.9,65,991
2022-08-08 21:00:00,20.6,-114.3,70,987
2022-08-09 00:00:00,20.9,-114.8,75,983
2022-08-09 03:00:00,21.2,-115.3,75,983
2022-08-09 06:00:00,21.4,-115.7,75,983
2022-08-09 09:00:00,21.6,-116.1,73,985
2022-08-09 12:00:00,21.9,-116.5,70,986
2022-08-09 15:00:00,22.1,-116.9,68,988
2022-08-09 18:00:00,22.4,-117.3,65,989
2022-08-09 21:00:00,22.7,-117.7,63,991
2022-08-10 00:00:00,22.9,-118.0,60,992
2022-08-10 03:00:00,23.1,-118.4,58,994
2022-08-10 06:00:00,23.3,-118.8,55,995
2022-08-10 09:00:00,23.5,-119.3,53,997
2022-08-10 12:00:00,23.6,-119.8,50,999
2022-08-10 15:00:00,23.7,-120.4,48,1002
2022-08-10 18:00:00,23.8,-120.9,45,1004
2022-08-10 21:00:00,23.9,-121.4,43,1005
2022-08-11 00:00:00,24.0,-121.9,40,1006
2022-08-11 03:00:00,24.0,-122.5,38,1006
2022-08-11 06:00:00,24.0,-123.0,35,1006
2022-08-11 09:00:00,24.0,-123.5,33,1007
2022-08-11 12:00:00,24.1,-124.0,30,1007
2022-08-11 15:00:00,24.2,-124.4,30,1007
2022-08-11 18:00:00,24.2,-124.8,30,1007
2022-08-11 21:00:00,24.2,-125.3,28,1008
2022-08-12 00:00:00,24.2,-125.7,25,1009
2022-08-12 03:00:00,24.2,-126.1,25,1009
2022-08-12 06:00:00,24.1,-126.5,25,1009
2022-08-12 09:00:00,24.0,-126.9,25,1010
2022-08-12 12:00:00,23.8,-127.3,25,1011
2022-08-12 15:00:00,23.7,-127.6,23,1012
2022-08-12 18:00:00,23.6,-128.0,20,1012
2022-08-12 21:00:00,23.5,-128.4,20,1013
2022-08-13 00:00:00,23.4,-128.8,20,1014
