time,lat,lon,vmax,mslp
2022-08-31 12:00:00,15.3,-106.0,30,1007
2022-08-31 15:00:00,15.7,-106.5,30,1007
2022-08-31 18:00:00,16.0,-107.0,30,1007
2022-08-31 21:00:00,16.3,-107.5,30,1007
2022-09-01 00:00:00,16.7,-108.1,30,1006
2022-09-01 03:00:00,17.1,-108.7,30,1006
2022-09-01 06:00:00,17.4,-109.2,30,1005
2022-09-01 09:00:00,17.7,-109.5,30,1005
2022-09-01 12:00:00,17.9,-109.8,30,1004
2022-09-01 15:00:00,18.2,-110.1,30,1004
2022-09-01 18:00:00,18.5,-110.5,30,1003
2022-09-01 21:00:00,18.7,-110.8,30,1003
2022-09-02 00:00:00,19.0,-111.1,30,1002
2022-09-02 03:00:00,19.3,-111.4,33,1001
2022-09-02 06:00:00,19.6,-111.6,35,1000
2022-09-02 09:00:00,19.9,-111.8,38,1000
2022-09-02 12:00:00,20.3,-112.0,40,1000
2022-09-02 15:00:00,20.8,-112.2,40,1000
2022-09-02 18:00:00,21.3,-112.4,40,1000
2022-09-02 21:00:00,21.9,-112.6,43,1000
2022-09-03 00:00:00,22.5,-112.8,45,999
2022-09-03 03:00:00,23.1,-113.2,45,999
2022-09-03 06:00:00,23.6,-113.6,45,999
2022-09-03 09:00:00,24.1,-114.0,45,999
2022-09-03 12:00:00,24.6,-114.4,45,999
2022-09-03 15:00:00,25.0,-114.9,43,1000
2022-09-03 18:00:00,25.4,-115.5,40,1000
2022-09-03 21:00:00,25.9,-116.0,38,1001
2022-09-04 00:00:00,26.3,-116.6,35,1001
2022-09-04 03:00:00,26.7,-117.2,33,1002
2022-09-04 06:00:00,27.0,-117.9,30,1002
2022-09-04 09:00:00,27.2,-118.6,30,1003
2022-09-04 12:00:00,27.3,-119.2,30,1004
2022-09-04 15:00:00,27.4,-119.8,28,1005
2022-09-04 18:00:00,27.5,-120.4,25,1006
2022-09-04 21:00:00,27.6,-121.0,25,1006
2022-09-05 00:00:00,27.7,-121.6,25,1006
2022-09-05 03:00:00,27.7,-122.2,23,1007
2022-09-05 06:00:00,27.7,-122.8,20,1007
2022-09-05 09:00:00,27.7,-123.4,20,1007
2022-09-05 12:00:00,27.7,-123.9,20,1007
2022-09-05 15:00:00,27.7,-124.5,20,1007
2022-09-05 18:00:00,27.7,-125.1,20,1007
2022-09-05 21:00:00,27.7,-125.7,20,1007
2022-09-06 00:00:00,27.6,-126.2,20,1007
2022-09-06 03:00:00,27.5,-126.8,20,1007
2022-09-06 06:00:00,27.5,-127.3,20,1007
2022-09-06 09:00:00,27.5,-127.8,20,1007
2022-09-06 12:00:00,27.5,-128.4,20,1007
2022-09-06 15:00:00,27.5,-128.9,20,1008
2022-09-06 18:00:00,27.5,-129.5,20,1008
2022-09-06 21:00:00,27.5,-130.1,20,1009
2022-09-07 00:00:00,27.4,-130.6,20,1009
