time,lat,lon,vmax,mslp
2022-09-10 12:00:00,20.9,158.1,20.0,1004.0
2022-09-10 15:00:00,20.8,158.3,23.0,1004.0
2022-09-10 18:00:00,20.8,158.5,25.0,1004.0
2022-09-10 21:00:00,20.8,158.8,25.0,1003.0
2022-09-11 00:00:00,20.8,159.1,25.0,1002.0
2022-09-11 03:00:00,20.8,159.3,25.0,1002.0
2022-09-11 06:00:00,20.9,159.6,25.0,1001.0
2022-09-11 09:00:00,20.9,159.9,28.0,1001.0
2022-09-11 12:00:00,21.0,160.3,30.0,1000.0
2022-09-11 15:00:00,21.1,160.7,30.0,995.0
2022-09-11 18:00:00,21.2,161.1,30.0,989.0
2022-09-11 21:00:00,21.2,161.4,33.0,994.0
2022-09-12 00:00:00,21.3,161.6,35.0,998.0
2022-09-12 03:00:00,21.4,161.8,38.0,997.0
2022-09-12 06:00:00,21.7,162.0,40.0,995.0
2022-09-12 09:00:00,22.1,162.3,43.0,996.0
2022-09-12 12:00:00,22.6,162.7,45.0,996.0
2022-09-12 15:00:00,22.9,163.0,50.0,993.0
2022-09-12 18:00:00,23.2,163.2,55.0,989.0
2022-09-12 21:00:00,23.6,163.3,55.0,988.0
2022-09-13 00:00:00,24.0,163.3,55.0,987.0
2022-09-13 03:00:00,24.4,163.3,58.0,985.0
2022-09-13 06:00:00,24.8,163.2,60.0,983.0
2022-09-13 09:00:00,25.3,163.1,60.0,984.0
2022-09-13 12:00:00,25.9,162.9,60.0,985.0
2022-09-13 15:00:00,26.4,162.6,63.0,982.0
2022-09-13 18:00:00,26.9,162.3,65.0,979.0
2022-09-13 21:00:00,27.6,162.2,68.0,978.0
2022-09-14 00:00:00,28.3,162.1,70.0,976.0
2022-09-14 03:00:00,29.0,161.9,70.0,977.0
2022-09-14 06:00:00,29.9,161.8,70.0,977.0
2022-09-14 09:00:00,31.0,161.7,70.0,977.0
2022-09-14 12:00:00,32.0,161.7,70.0,976.0
2022-09-14 15:00:00,32.7,161.8,68.0,976.0
2022-09-14 18:00:00,33.5,162.2,65.0,976.0
2022-09-14 21:00:00,34.9,163.2,63.0,972.0
2022-09-15 00:00:00,36.7,164.5,60.0,968.0
2022-09-15 03:00:00,38.9,165.8,58.0,970.0
2022-09-15 06:00:00,41.3,166.9,55.0,972.0
2022-09-15 09:00:00,43.4,167.7,53.0,973.0
2022-09-15 12:00:00,45.4,168.2,50.0,973.0
