time,lat,lon,vmax,mslp
2022-09-11 12:00:00,15.8,-104.2,20,1008
2022-09-11 15:00:00,15.8,-104.5,20,1008
2022-09-11 18:00:00,15.8,-104.9,20,1008
2022-09-11 21:00:00,15.7,-105.3,20,1008
2022-09-12 00:00:00,15.7,-105.6,20,1008
2022-09-12 03:00:00,15.7,-105.9,23,1008
2022-09-12 06:00:00,15.7,-106.2,25,1007
2022-09-12 09:00:00,15.7,-106.5,25,1007
2022-09-12 12:00:00,15.7,-106.8,25,1007
2022-09-12 15:00:00,15.7,-107.1,25,1007
2022-09-12 18:00:00,15.7,-107.4,25,1007
2022-09-12 21:00:00,15.7,-107.6,25,1007
2022-09-13 00:00:00,15.7,-107.8,25,1007
2022-09-13 03:00:00,15.7,-108.0,23,1008
2022-09-13 06:00:00,15.8,-108.1,20,1008
2022-09-13 09:00:00,15.8,-108.2,20,1008
2022-09-13 12:00:00,15.9,-108.3,20,1008
2022-09-13 15:00:00,16.0,-108.4,20,1008
2022-09-13 18:00:00,16.0,-108.5,20,1008
2022-09-13 21:00:00,16.0,-108.6,20,1008
2022-09-14 00:00:00,16.0,-108.6,20,1008
2022-09-14 03:00:00,16.0,-108.6,20,1008
2022-09-14 06:00:00,16.0,-108.6,20,1008
2022-09-14 09:00:00,15.9,-108.5,23,1008
2022-09-14 12:00:00,15.7,-108.4,25,1007
2022-09-14 15:00:00,15.6,-108.3,25,1007
2022-09-14 18:00:00,15.5,-108.1,25,1007
2022-09-14 21:00:00,15.4,-107.9,25,1007
2022-09-15 00:00:00,15.3,-107.7,25,1007
2022-09-15 03:00:00,15.2,-107.5,25,1007
2022-09-15 06:00:00,15.2,-107.3,25,1007
2022-09-15 09:00:00,15.2,-107.1,25,1007
2022-09-15 12:00:00,15.2,-106.9,25,1007
2022-09-15 15:00:00,15.2,-106.8,25,1007
2022-09-15 18:00:00,15.1,-106.8,25,1007
2022-09-15 21:00:00,15.1,-106.8,25,1007
2022-09-16 00:00:00,15.0,-106.8,25,1007
2022-09-16 03:00:00,14.9,-106.9,25,1007
2022-09-16 06:00:00,14.8,-107.0,25,1007
2022-09-16 09:00:00,14.7,-107.0,25,1007
2022-09-16 12:00:00,14.6,-107.0,25,1007
2022-09-16 15:00:00,14.6,-106.9,28,1007
2022-09-16 18:00:00,14.6,-106.8,30,1006
2022-09-16 21:00:00,14.6,-106.7,30,1006
2022-09-17 00:00:00,14.7,-106.6,30,1005
2022-09-17 03:00:00,14.8,-106.5,33,1005
2022-09-17 06:00:00,14.9,-106.5,35,1004
2022-09-17 09:00:00,15.1,-106.5,38,1003
2022-09-17 12:00:00,15.3,-106.5,40,1002
2022-09-17 15:00:00,15.5,-106.6,40,1002
2022-09-17 18:00:00,15.8,-106.7,40,1001
2022-09-17 21:00:00,16.1,-106.7,40,1000
2022-09-18 00:00:00,16.5,-106.7,40,999
2022-09-18 03:00:00,16.9,-106.7,40,999
2022-09-18 06:00:00,17.3,-106.7,40,998
2022-09-18 09:00:00,17.7,-106.7,40,998
2022-09-18 12:00:00,18.0,-106.8,40,997
2022-09-18 15:00:00,18.3,-106.9,40,997
2022-09-18 18:00:00,18.6,-107.1,40,997
2022-09-18 21:00:00,18.9,-107.3,43,997
2022-09-19 00:00:00,19.2,-107.5,45,996
2022-09-19 03:00:00,19.5,-107.7,48,995
2022-09-19 06:00:00,19.9,-108.0,50,993
2022-09-19 09:00:00,20.2,-108.3,53,992
2022-09-19 12:00:00,20.5,-108.7,55,991
2022-09-19 15:00:00,20.7,-109.1,53,992
2022-09-19 18:00:00,20.8,-109.5,50,993
2022-09-19 21:00:00,20.9,-109.9,48,995
2022-09-20 00:00:00,21.0,-110.3,45,997
2022-09-20 03:00:00,21.0,-110.7,40,1000
2022-09-20 06:00:00,21.0,-111.0,35,1002
2022-09-20 09:00:00,21.0,-111.3,33,1004
2022-09-20 12:00:00,21.1,-111.6,30,1005
2022-09-20 15:00:00,21.1,-111.9,30,1005
2022-09-20 18:00:00,21.2,-112.2,30,1005
2022-09-20 21:00:00,21.3,-112.5,30,1005
2022-09-21 00:00:00,21.4,-112.8,30,1005
2022-09-21 03:00:00,21.5,-113.1,30,1005
2022-09-21 06:00:00,21.6,-113.5,30,1005
2022-09-21 09:00:00,21.7,-113.8,30,1005
2022-09-21 12:00:00,21.7,-114.2,30,1005
2022-09-21 15:00:00,21.7,-114.6,28,1006
2022-09-21 18:00:00,21.8,-115.0,25,1006
2022-09-21 21:00:00,21.9,-115.4,25,1007
2022-09-22 00:00:00,21.9,-115.8,25,1007
2022-09-22 03:00:00,21.9,-116.2,25,1008
2022-09-22 06:00:00,21.9,-116.5,25,1008
2022-09-22 09:00:00,21.9,-116.8,25,1008
2022-09-22 12:00:00,21.8,-117.1,25,1008
2022-09-22 15:00:00,21.7,-117.4,25,1008
2022-09-22 18:00:00,21.7,-117.8,25,1008
2022-09-22 21:00:00,21.6,-118.2,23,1009
2022-09-23 00:00:00,21.6,-118.6,20,1009
2022-09-23 03:00:00,21.6,-119.0,20,1009
2022-09-23 06:00:00,21.5,-119.4,20,1009
2022-09-23 09:00:00,21.4,-120.0,20,1009
2022-09-23 12:00:00,21.3,-120.6,20,1009
2022-09-23 15:00:00,21.1,-121.2,20,1009
2022-09-23 18:00:00,21.0,-121.8,20,1009
2022-09-23 21:00:00,20.9,-122.4,20,1009
2022-09-24 00:00:00,20.8,-122.9,20,1009
2022-09-24 03:00:00,20.7,-123.5,20,1009
2022-09-24 06:00:00,20.6,-124.0,20,1009
2022-09-24 09:00:00,20.5,-124.5,20,1009
2022-09-24 12:00:00,20.4,-124.9,20,1009
2022-09-24 15:00:00,20.3,-125.4,20,1009
2022-09-24 18:00:00,20.3,-125.9,20,1009
2022-09-24 21:00:00,20.3,-126.4,20,1009
2022-09-25 00:00:00,20.2,-126.8,20,1009
