time,lat,lon,vmax,mslp
2022-09-21 12:00:00,16.9,-104.3,30,1007
2022-09-21 15:00:00,17.1,-104.8,33,1006
2022-09-21 18:00:00,17.2,-105.4,35,1005
2022-09-21 21:00:00,17.3,-106.0,38,1004
2022-09-22 00:00:00,17.4,-106.6,40,1003
2022-09-22 03:00:00,17.5,-107.1,45,1001
2022-09-22 06:00:00,17.5,-107.5,50,999
2022-09-22 09:00:00,17.5,-107.9,53,998
2022-09-22 12:00:00,17.6,-108.2,55,997
2022-09-22 15:00:00,17.7,-108.5,53,998
2022-09-22 18:00:00,17.8,-108.8,50,998
2022-09-22 21:00:00,17.9,-109.1,50,998
2022-09-23 00:00:00,17.9,-109.4,50,998
2022-09-23 03:00:00,17.9,-109.7,48,999
2022-09-23 06:00:00,17.9,-109.9,45,1000
2022-09-23 09:00:00,17.9,-110.1,45,1000
2022-09-23 12:00:00,18.0,-110.4,45,1000
2022-09-23 15:00:00,18.0,-110.6,43,1002
2022-09-23 18:00:00,18.1,-110.9,40,1003
2022-09-23 21:00:00,18.3,-111.2,40,1003
2022-09-24 00:00:00,18.5,-111.5,40,1003
2022-09-24 03:00:00,18.7,-111.8,38,1004
2022-09-24 06:00:00,18.9,-112.1,35,1004
2022-09-24 09:00:00,19.0,-112.4,35,1004
2022-09-24 12:00:00,19.1,-112.8,35,1004
2022-09-24 15:00:00,19.2,-113.2,33,1005
2022-09-24 18:00:00,19.3,-113.6,30,1005
2022-09-24 21:00:00,19.4,-114.0,30,1006
2022-09-25 00:00:00,19.5,-114.4,30,1006
2022-09-25 03:00:00,19.5,-114.8,30,1006
2022-09-25 06:00:00,19.5,-115.2,30,1006
2022-09-25 09:00:00,19.4,-115.6,30,1007
2022-09-25 12:00:00,19.2,-116.0,30,1007
2022-09-25 15:00:00,18.9,-116.3,28,1008
2022-09-25 18:00:00,18.6,-116.7,25,1008
2022-09-25 21:00:00,18.3,-117.1,25,1008
2022-09-26 00:00:00,17.9,-117.5,25,1008
2022-09-26 03:00:00,17.5,-117.8,25,1009
2022-09-26 06:00:00,17.2,-118.1,25,1009
2022-09-26 09:00:00,16.9,-118.3,25,1009
2022-09-26 12:00:00,16.6,-118.6,25,1009
2022-09-26 15:00:00,16.3,-118.9,25,1009
2022-09-26 18:00:00,16.1,-119.2,25,1009
2022-09-26 21:00:00,15.8,-119.4,25,1009
2022-09-27 00:00:00,15.6,-119.7,25,1009
2022-09-27 03:00:00,15.4,-120.0,25,1009
2022-09-27 06:00:00,15.1,-120.3,25,1009
2022-09-27 09:00:00,14.8,-120.5,25,1009
2022-09-27 12:00:00,14.6,-120.8,25,1008
2022-09-27 15:00:00,14.4,-121.1,25,1008
2022-09-27 18:00:00,14.2,-121.4,25,1008
2022-09-27 21:00:00,14.0,-121.8,25,1008
2022-09-28 00:00:00,13.9,-122.2,25,1007
2022-09-28 03:00:00,13.8,-122.6,25,1007
2022-09-28 06:00:00,13.7,-123.0,25,1007
2022-09-28 09:00:00,13.7,-123.4,25,1007
2022-09-28 12:00:00,13.7,-123.8,25,1007
2022-09-28 15:00:00,13.7,-124.2,23,1008
2022-09-28 18:00:00,13.7,-124.6,20,1008
2022-09-28 21:00:00,13.8,-124.9,20,1008
2022-09-29 00:00:00,13.9,-125.2,20,1008
