time,lat,lon,vmax,mslp
2022-10-11 06:00:00,15.3,152.4,20.0,1007.0
2022-10-11 09:00:00,15.5,152.2,20.0,1007.0
2022-10-11 12:00:00,15.7,151.9,20.0,1007.0
2022-10-11 15:00:00,15.8,151.6,20.0,1006.0
2022-10-11 18:00:00,15.8,151.4,20.0,1004.0
2022-10-11 21:00:00,15.9,151.3,20.0,1006.0
2022-10-12 00:00:00,16.0,151.2,20.0,1007.0
2022-10-12 03:00:00,15.9,151.1,23.0,1005.0
2022-10-12 06:00:00,15.7,151.1,25.0,1003.0
2022-10-12 09:00:00,15.5,151.1,28.0,1003.0
2022-10-12 12:00:00,15.2,151.0,30.0,1002.0
2022-10-12 15:00:00,14.8,150.8,28.0,1004.0
2022-10-12 18:00:00,14.5,150.7,25.0,1005.0
2022-10-12 21:00:00,14.5,150.9,28.0,1004.0
2022-10-13 00:00:00,14.6,151.4,30.0,1003.0
2022-10-13 03:00:00,14.9,152.0,28.0,1004.0
2022-10-13 06:00:00,15.2,152.7,25.0,1005.0
2022-10-13 09:00:00,15.4,153.4,28.0,1005.0
2022-10-13 12:00:00,15.7,154.0,30.0,1004.0
2022-10-13 15:00:00,16.1,154.6,33.0,1004.0
2022-10-13 18:00:00,16.8,155.2,35.0,1003.0
2022-10-13 21:00:00,17.6,155.8,35.0,1003.0
2022-10-14 00:00:00,18.7,156.2,35.0,1003.0
2022-10-14 03:00:00,20.0,156.4,38.0,1002.0
2022-10-14 06:00:00,21.3,156.6,40.0,1001.0
2022-10-14 09:00:00,22.4,157.2,40.0,1000.0
2022-10-14 12:00:00,23.6,157.4,40.0,999.0
2022-10-14 15:00:00,25.7,156.1,33.0,1001.0
2022-10-14 18:00:00,27.5,154.6,25.0,1003.0
2022-10-14 21:00:00,27.8,153.9,20.0,1005.0
2022-10-15 00:00:00,27.3,153.7,15.0,1007.0
2022-10-15 03:00:00,27.2,153.4,,
2022-10-15 06:00:00,27.1,153.2,,
2022-10-15 09:00:00,27.1,153.1,,
2022-10-15 12:00:00,27.1,153.1,,
2022-10-15 15:00:00,27.0,153.2,,
2022-10-15 18:00:00,27.0,153.4,,
2022-10-15 21:00:00,27.0,153.6,,
2022-10-16 00:00:00,27.1,153.9,,
2022-10-16 03:00:00,27.1,154.3,,
2022-10-16 06:00:00,27.1,154.6,,
2022-10-16 09:00:00,27.2,155.0,,
2022-10-16 12:00:00,27.3,155.4,25.0,990.0
2022-10-16 15:00:00,27.4,155.8,25.0,991.0
2022-10-16 18:00:00,27.5,156.2,25.0,992.0
2022-10-16 21:00:00,27.3,156.5,23.0,994.0
2022-10-17 00:00:00,27.2,156.8,20.0,996.0
2022-10-17 03:00:00,27.4,157.2,20.0,996.0
2022-10-17 06:00:00,27.6,157.5,20.0,996.0
2022-10-17 09:00:00,27.6,157.7,23.0,995.0
2022-10-17 12:00:00,27.7,157.8,25.0,994.0
2022-10-17 15:00:00,27.9,158.0,25.0,994.0
2022-10-17 18:00:00,28.2,158.1,25.0,993.0
2022-10-17 21:00:00,28.4,158.2,30.0,992.0
2022-10-18 00:00:00,28.6,158.3,35.0,991.0
2022-10-18 03:00:00,28.9,158.6,35.0,991.0
2022-10-18 06:00:00,29.5,159.0,35.0,990.0
2022-10-18 09:00:00,30.4,159.2,35.0,990.0
2022-10-18 12:00:00,31.4,159.6,35.0,989.0
2022-10-18 15:00:00,31.9,160.3,38.0,988.0
2022-10-18 18:00:00,32.3,161.1,40.0,987.0
2022-10-18 21:00:00,32.8,161.8,38.0,988.0
2022-10-19 00:00:00,33.4,162.7,35.0,988.0
2022-10-19 03:00:00,34.3,163.9,38.0,988.0
2022-10-19 06:00:00,35.2,165.2,40.0,987.0
2022-10-19 09:00:00,35.9,166.4,38.0,989.0
2022-10-19 12:00:00,36.5,167.6,35.0,991.0
