time,lat,lon,vmax,mslp
2022-10-20 00:00:00,15.1,-100.9,30,1007
2022-10-20 03:00:00,15.1,-101.1,30,1007
2022-10-20 06:00:00,15.1,-101.3,30,1007
2022-10-20 09:00:00,15.1,-101.5,33,1007
2022-10-20 12:00:00,15.1,-101.8,35,1006
2022-10-20 15:00:00,15.2,-102.1,38,1005
2022-10-20 18:00:00,15.3,-102.4,40,1004
2022-10-20 21:00:00,15.4,-102.7,43,1003
2022-10-21 00:00:00,15.6,-103.0,45,1001
2022-10-21 03:00:00,15.7,-103.3,48,1000
2022-10-21 06:00:00,15.9,-103.5,50,999
2022-10-21 09:00:00,16.1,-103.8,53,998
2022-10-21 12:00:00,16.2,-104.1,55,997
2022-10-21 15:00:00,16.3,-104.4,58,995
2022-10-21 18:00:00,16.4,-104.7,60,992
2022-10-21 21:00:00,16.5,-105.0,68,987
2022-10-22 00:00:00,16.6,-105.3,75,982
2022-10-22 03:00:00,16.8,-105.6,88,973
2022-10-22 06:00:00,17.0,-105.8,100,963
2022-10-22 09:00:00,17.3,-106.0,105,959
2022-10-22 12:00:00,17.6,-106.2,110,955
2022-10-22 15:00:00,18.0,-106.4,113,955
2022-10-22 18:00:00,18.5,-106.6,115,954
2022-10-22 21:00:00,19.0,-106.7,115,954
2022-10-23 00:00:00,19.5,-106.7,115,954
2022-10-23 03:00:00,20.0,-106.6,113,956
2022-10-23 06:00:00,20.5,-106.4,110,958
2022-10-23 09:00:00,21.2,-106.0,107,960
2022-10-23 11:20:00,21.9,-105.6,105,961
2022-10-23 12:00:00,22.1,-105.5,100,962
2022-10-23 15:00:00,23.0,-104.8,80,976
2022-10-23 18:00:00,23.9,-103.9,60,990
2022-10-23 21:00:00,24.8,-102.8,43,998
2022-10-24 00:00:00,25.6,-101.5,25,1006
