time,lat,lon,vmax,mslp
2023-06-04 18:00:00,11.7,135.0,15.0,1010.0
2023-06-04 21:00:00,11.8,134.8,15.0,1010.0
2023-06-05 00:00:00,11.9,134.6,15.0,1010.0
2023-06-05 03:00:00,12.1,134.5,18.0,1008.0
2023-06-05 06:00:00,12.3,134.5,20.0,1006.0
2023-06-05 09:00:00,12.5,134.5,20.0,1006.0
2023-06-05 12:00:00,12.7,134.5,20.0,1006.0
2023-06-05 15:00:00,12.9,134.5,20.0,1006.0
2023-06-05 18:00:00,13.1,134.6,20.0,1006.0
2023-06-05 21:00:00,13.3,134.7,23.0,1006.0
2023-06-06 00:00:00,13.5,134.7,25.0,1006.0
2023-06-06 03:00:00,13.7,134.8,28.0,1005.0
2023-06-06 06:00:00,13.9,134.8,30.0,1003.0
2023-06-06 09:00:00,14.1,134.9,30.0,1004.0
2023-06-06 12:00:00,14.2,134.9,30.0,1005.0
2023-06-06 15:00:00,14.3,134.7,33.0,1003.0
2023-06-06 18:00:00,14.4,134.5,35.0,1001.0
2023-06-06 21:00:00,14.5,134.3,38.0,1001.0
2023-06-07 00:00:00,14.6,134.1,40.0,1000.0
2023-06-07 03:00:00,14.8,133.9,43.0,999.0
2023-06-07 06:00:00,15.0,133.6,45.0,998.0
2023-06-07 09:00:00,15.2,133.3,48.0,997.0
2023-06-07 12:00:00,15.3,133.0,50.0,995.0
2023-06-07 15:00:00,15.4,132.7,55.0,992.0
2023-06-07 18:00:00,15.6,132.4,60.0,989.0
2023-06-07 21:00:00,15.7,132.1,63.0,988.0
2023-06-08 00:00:00,15.9,131.8,65.0,987.0
2023-06-08 03:00:00,16.1,131.5,68.0,984.0
2023-06-08 06:00:00,16.2,131.2,70.0,980.0
2023-06-08 09:00:00,16.3,131.0,75.0,977.0
2023-06-08 12:00:00,16.4,130.9,80.0,973.0
2023-06-08 15:00:00,16.6,130.6,85.0,969.0
2023-06-08 18:00:00,16.8,130.4,90.0,965.0
2023-06-08 21:00:00,17.0,130.3,88.0,967.0
2023-06-09 00:00:00,17.3,130.2,85.0,969.0
2023-06-09 03:00:00,17.6,130.1,85.0,969.0
2023-06-09 06:00:00,17.9,130.0,85.0,969.0
2023-06-09 09:00:00,18.1,130.0,80.0,973.0
2023-06-09 12:00:00,18.2,130.0,75.0,976.0
2023-06-09 15:00:00,18.4,130.0,80.0,971.0
2023-06-09 18:00:00,18.6,129.9,85.0,965.0
2023-06-09 21:00:00,18.8,129.9,88.0,964.0
2023-06-10 00:00:00,19.1,129.9,90.0,962.0
2023-06-10 03:00:00,19.7,130.0,93.0,960.0
2023-06-10 06:00:00,20.2,130.2,95.0,958.0
2023-06-10 09:00:00,20.4,130.4,93.0,960.0
2023-06-10 12:00:00,20.7,130.6,90.0,962.0
2023-06-10 15:00:00,21.4,130.7,85.0,965.0
2023-06-10 18:00:00,22.2,130.8,80.0,967.0
2023-06-10 21:00:00,22.7,131.2,78.0,969.0
2023-06-11 00:00:00,23.2,131.7,75.0,971.0
2023-06-11 03:00:00,23.7,131.9,73.0,973.0
2023-06-11 06:00:00,24.2,132.2,70.0,974.0
2023-06-11 09:00:00,24.8,132.9,60.0,980.0
2023-06-11 12:00:00,25.5,133.6,50.0,986.0
2023-06-11 15:00:00,26.2,134.1,48.0,987.0
2023-06-11 18:00:00,26.9,134.7,45.0,987.0
2023-06-11 21:00:00,27.5,135.6,48.0,987.0
2023-06-12 00:00:00,28.1,136.6,50.0,986.0
2023-06-12 03:00:00,28.7,137.3,50.0,986.0
2023-06-12 06:00:00,29.4,138.0,50.0,986.0
2023-06-12 09:00:00,30.0,138.7,48.0,987.0
2023-06-12 12:00:00,30.6,139.5,45.0,988.0
2023-06-12 15:00:00,31.4,140.5,45.0,988.0
2023-06-12 18:00:00,32.3,141.7,45.0,988.0
2023-06-12 21:00:00,33.2,142.9,43.0,989.0
2023-06-13 00:00:00,34.1,144.0,40.0,990.0
