time,lat,lon,vmax,mslp
2023-08-04 18:00:00,15.2,-103.6,30,1010
2023-08-04 21:00:00,15.8,-103.9,30,1008
2023-08-05 00:00:00,16.3,-104.3,30,1006
2023-08-05 03:00:00,16.8,-104.8,30,1006
2023-08-05 06:00:00,17.2,-105.3,30,1006
2023-08-05 09:00:00,17.6,-105.8,30,1006
2023-08-05 12:00:00,17.9,-106.3,30,1006
2023-08-05 15:00:00,18.3,-106.8,33,1005
2023-08-05 18:00:00,18.7,-107.3,35,1004
2023-08-05 21:00:00,19.1,-107.8,40,1002
2023-08-06 00:00:00,19.5,-108.3,45,1000
2023-08-06 03:00:00,19.9,-108.8,53,997
2023-08-06 06:00:00,20.3,-109.4,60,993
2023-08-06 09:00:00,20.8,-110.0,60,993
2023-08-06 12:00:00,21.3,-110.6,60,992
2023-08-06 15:00:00,21.7,-111.4,60,993
2023-08-06 18:00:00,22.1,-112.2,60,993
2023-08-06 21:00:00,22.6,-113.0,55,995
2023-08-07 00:00:00,23.0,-113.8,50,997
2023-08-07 03:00:00,23.4,-114.7,48,999
2023-08-07 06:00:00,23.7,-115.6,45,1000
2023-08-07 09:00:00,24.0,-116.6,40,1003
2023-08-07 12:00:00,24.3,-117.5,35,1005
2023-08-07 15:00:00,24.6,-118.4,33,1007
2023-08-07 18:00:00,24.9,-119.2,30,1008
2023-08-07 21:00:00,25.2,-120.1,30,1008
2023-08-08 00:00:00,25.5,-120.9,30,1008
2023-08-08 03:00:00,25.6,-121.3,28,1009
2023-08-08 06:00:00,25.7,-121.6,25,1010
2023-08-08 09:00:00,25.8,-122.0,23,1011
2023-08-08 12:00:00,25.9,-122.3,20,1011
2023-08-08 15:00:00,26.0,-122.6,20,1012
2023-08-08 18:00:00,26.1,-122.8,20,1012
2023-08-08 21:00:00,26.2,-122.9,20,1012
2023-08-09 00:00:00,26.4,-122.9,20,1012
2023-08-09 03:00:00,26.5,-122.9,18,1013
2023-08-09 06:00:00,26.6,-122.8,15,1013
2023-08-09 09:00:00,26.8,-122.7,15,1013
2023-08-09 12:00:00,27.0,-122.5,15,1013
2023-08-09 15:00:00,27.2,-122.2,15,1013
2023-08-09 18:00:00,27.4,-121.8,15,1013
2023-08-09 21:00:00,27.6,-121.4,15,1013
2023-08-10 00:00:00,27.7,-121.1,15,1013
2023-08-10 03:00:00,27.8,-120.7,15,1013
2023-08-10 06:00:00,27.8,-120.4,15,1013
