time,lat,lon,vmax,mslp
2023-08-14 00:00:00,11.3,-138.2,30,1007
2023-08-14 03:00:00,11.3,-138.7,33,1006
2023-08-14 06:00:00,11.3,-139.2,35,1005
2023-08-14 09:00:00,11.3,-139.8,35,1005
2023-08-14 12:00:00,11.3,-140.4,35,1005
2023-08-14 15:00:00,11.3,-141.0,38,1005
2023-08-14 18:00:00,11.2,-141.5,40,1005
2023-08-14 21:00:00,11.1,-142.1,40,1004
2023-08-15 00:00:00,11.1,-142.7,40,1002
2023-08-15 03:00:00,11.1,-143.3,43,1001
2023-08-15 06:00:00,11.1,-144.0,45,1000
2023-08-15 09:00:00,11.1,-144.6,45,1000
2023-08-15 12:00:00,11.1,-145.2,45,1000
2023-08-15 15:00:00,11.1,-145.9,45,1000
2023-08-15 18:00:00,11.1,-146.5,45,1000
2023-08-15 21:00:00,11.2,-147.1,45,1000
2023-08-16 00:00:00,11.3,-147.7,45,1000
2023-08-16 03:00:00,11.5,-148.4,45,1000
2023-08-16 06:00:00,11.6,-149.1,45,1000
2023-08-16 09:00:00,11.7,-149.8,45,1000
2023-08-16 12:00:00,11.7,-150.5,45,1000
2023-08-16 15:00:00,11.7,-151.2,43,1002
2023-08-16 18:00:00,11.8,-151.8,40,1004
2023-08-16 21:00:00,11.9,-152.4,40,1004
2023-08-17 00:00:00,12.0,-152.9,40,1004
2023-08-17 03:00:00,12.1,-153.4,40,1004
2023-08-17 06:00:00,12.1,-153.9,40,1004
2023-08-17 09:00:00,12.0,-154.5,38,1005
2023-08-17 12:00:00,12.0,-155.1,35,1006
2023-08-17 15:00:00,12.1,-155.7,33,1007
2023-08-17 18:00:00,12.2,-156.3,30,1007
2023-08-17 21:00:00,12.2,-157.1,30,1007
2023-08-18 00:00:00,12.1,-157.8,30,1007
2023-08-18 03:00:00,12.1,-157.7,30,1008
2023-08-18 06:00:00,12.1,-157.8,30,1008
2023-08-18 09:00:00,11.8,-159.2,30,1008
2023-08-18 12:00:00,11.4,-160.7,30,1008
2023-08-18 15:00:00,11.2,-161.6,30,1008
2023-08-18 18:00:00,11.0,-162.0,30,1008
