time,lat,lon,vmax,mslp
2023-09-18 00:00:00,13.2,-111.7,20,1008
2023-09-18 03:00:00,13.4,-112.1,23,1008
2023-09-18 06:00:00,13.5,-112.6,25,1007
2023-09-18 09:00:00,13.6,-113.1,25,1007
2023-09-18 12:00:00,13.7,-113.7,25,1007
2023-09-18 15:00:00,13.7,-114.3,25,1007
2023-09-18 18:00:00,13.8,-115.0,25,1007
2023-09-18 21:00:00,13.9,-115.6,25,1007
2023-09-19 00:00:00,14.0,-116.2,25,1007
2023-09-19 03:00:00,14.2,-116.8,28,1007
2023-09-19 06:00:00,14.4,-117.5,30,1006
2023-09-19 09:00:00,14.6,-118.1,33,1006
2023-09-19 12:00:00,14.7,-118.8,35,1005
2023-09-19 15:00:00,14.8,-119.5,38,1005
2023-09-19 18:00:00,14.8,-120.2,40,1004
2023-09-19 21:00:00,14.8,-120.8,40,1004
2023-09-20 00:00:00,14.8,-121.3,40,1003
2023-09-20 03:00:00,14.9,-121.8,40,1003
2023-09-20 06:00:00,15.0,-122.3,40,1002
2023-09-20 09:00:00,15.3,-122.7,43,1002
2023-09-20 12:00:00,15.6,-123.1,45,1001
2023-09-20 15:00:00,15.8,-123.5,45,1001
2023-09-20 18:00:00,16.0,-123.9,45,1001
2023-09-20 21:00:00,16.2,-124.2,45,1001
2023-09-21 00:00:00,16.3,-124.5,45,1000
2023-09-21 03:00:00,16.4,-124.7,45,1000
2023-09-21 06:00:00,16.6,-124.9,45,1000
2023-09-21 09:00:00,16.7,-125.1,43,1001
2023-09-21 12:00:00,16.9,-125.2,40,1001
2023-09-21 15:00:00,17.1,-125.4,38,1002
2023-09-21 18:00:00,17.4,-125.6,35,1002
2023-09-21 21:00:00,17.7,-125.8,35,1003
2023-09-22 00:00:00,18.0,-125.9,35,1003
2023-09-22 03:00:00,18.4,-126.0,33,1004
2023-09-22 06:00:00,18.8,-126.1,30,1004
2023-09-22 09:00:00,19.4,-126.0,30,1005
2023-09-22 12:00:00,20.0,-125.9,30,1005
2023-09-22 15:00:00,20.6,-125.8,30,1005
2023-09-22 18:00:00,21.1,-125.6,30,1005
2023-09-22 21:00:00,21.5,-125.5,30,1005
2023-09-23 00:00:00,21.8,-125.4,30,1005
2023-09-23 03:00:00,22.1,-125.3,30,1006
2023-09-23 06:00:00,22.4,-125.3,30,1006
2023-09-23 09:00:00,22.7,-125.4,30,1006
2023-09-23 12:00:00,22.9,-125.6,30,1006
2023-09-23 15:00:00,23.0,-125.8,28,1007
2023-09-23 18:00:00,23.1,-126.0,25,1007
2023-09-23 21:00:00,23.2,-126.2,25,1007
2023-09-24 00:00:00,23.2,-126.4,25,1007
2023-09-24 03:00:00,23.2,-126.6,25,1007
2023-09-24 06:00:00,23.3,-127.0,25,1007
2023-09-24 09:00:00,23.4,-127.5,25,1007
2023-09-24 12:00:00,23.5,-128.1,25,1007
2023-09-24 15:00:00,23.5,-128.7,23,1008
2023-09-24 18:00:00,23.5,-129.4,20,1008
