time,lat,lon,vmax,mslp
2023-10-03 00:00:00,11.2,-105.8,30,1007
2023-10-03 03:00:00,11.3,-106.1,33,1007
2023-10-03 06:00:00,11.5,-106.4,35,1006
2023-10-03 09:00:00,11.7,-106.7,35,1006
2023-10-03 12:00:00,11.9,-107.0,35,1005
2023-10-03 15:00:00,12.2,-107.2,35,1005
2023-10-03 18:00:00,12.5,-107.4,35,1005
2023-10-03 21:00:00,12.8,-107.6,35,1005
2023-10-04 00:00:00,13.2,-107.8,35,1005
2023-10-04 03:00:00,13.5,-108.0,38,1004
2023-10-04 06:00:00,13.9,-108.2,40,1003
2023-10-04 09:00:00,14.3,-108.4,43,1002
2023-10-04 12:00:00,14.6,-108.6,45,1001
2023-10-04 15:00:00,14.9,-108.7,45,1001
2023-10-04 18:00:00,15.1,-108.8,45,1001
2023-10-04 21:00:00,15.3,-108.9,45,1001
2023-10-05 00:00:00,15.4,-109.0,45,1001
2023-10-05 03:00:00,15.5,-109.1,45,1001
2023-10-05 06:00:00,15.6,-109.2,45,1001
2023-10-05 09:00:00,15.7,-109.3,48,1000
2023-10-05 12:00:00,15.8,-109.4,50,999
2023-10-05 15:00:00,15.9,-109.5,50,999
2023-10-05 18:00:00,15.9,-109.6,50,999
2023-10-05 21:00:00,15.9,-109.7,53,998
2023-10-06 00:00:00,16.0,-109.8,55,996
2023-10-06 03:00:00,16.0,-109.9,58,993
2023-10-06 06:00:00,16.1,-110.1,60,990
2023-10-06 09:00:00,16.2,-110.3,60,991
2023-10-06 12:00:00,16.2,-110.5,60,991
2023-10-06 15:00:00,16.2,-110.7,60,991
2023-10-06 18:00:00,16.2,-110.9,60,991
2023-10-06 21:00:00,16.2,-111.1,58,993
2023-10-07 00:00:00,16.2,-111.3,55,994
2023-10-07 03:00:00,16.2,-111.5,55,995
2023-10-07 06:00:00,16.1,-111.7,55,995
2023-10-07 09:00:00,16.0,-111.9,55,995
2023-10-07 12:00:00,16.0,-112.0,55,995
2023-10-07 15:00:00,16.0,-112.1,55,995
2023-10-07 18:00:00,16.0,-112.2,55,995
2023-10-07 21:00:00,16.0,-112.3,58,993
2023-10-08 00:00:00,16.0,-112.4,60,990
2023-10-08 03:00:00,16.1,-112.5,60,990
2023-10-08 06:00:00,16.3,-112.6,60,990
2023-10-08 09:00:00,16.5,-112.7,60,990
2023-10-08 12:00:00,16.7,-112.8,60,990
2023-10-08 15:00:00,17.0,-112.8,60,990
2023-10-08 18:00:00,17.3,-112.8,60,990
2023-10-08 21:00:00,17.6,-112.8,60,990
2023-10-09 00:00:00,17.8,-112.7,60,990
2023-10-09 03:00:00,18.0,-112.6,58,991
2023-10-09 06:00:00,18.1,-112.4,55,992
2023-10-09 09:00:00,18.1,-112.2,55,992
2023-10-09 12:00:00,18.1,-112.0,55,992
2023-10-09 15:00:00,17.9,-111.7,60,989
2023-10-09 18:00:00,17.8,-111.4,65,985
2023-10-09 21:00:00,17.9,-111.0,68,983
2023-10-10 00:00:00,18.1,-110.6,70,981
2023-10-10 03:00:00,18.2,-110.2,73,980
2023-10-10 06:00:00,18.4,-109.7,75,979
2023-10-10 09:00:00,18.6,-109.1,78,976
2023-10-10 12:00:00,18.8,-108.5,80,973
2023-10-10 15:00:00,19.0,-107.8,93,963
2023-10-10 18:00:00,19.3,-107.1,105,952
2023-10-10 21:00:00,19.6,-106.3,113,947
2023-10-11 00:00:00,20.1,-105.5,120,942
2023-10-11 03:00:00,20.7,-104.6,90,968
2023-10-11 06:00:00,21.7,-103.5,60,994
2023-10-11 09:00:00,23.0,-102.1,40,999
2023-10-11 12:00:00,24.5,-100.5,20,1004
