time,lat,lon,vmax,mslp
2023-10-06 00:00:00,8.0,156.5,15.0,1008.0
2023-10-06 03:00:00,8.2,156.4,18.0,1008.0
2023-10-06 06:00:00,8.4,156.3,20.0,1007.0
2023-10-06 09:00:00,8.6,156.2,20.0,1007.0
2023-10-06 12:00:00,8.8,156.0,20.0,1007.0
2023-10-06 15:00:00,8.9,155.8,20.0,1007.0
2023-10-06 18:00:00,9.0,155.5,20.0,1006.0
2023-10-06 21:00:00,9.1,155.3,23.0,1005.0
2023-10-07 00:00:00,9.1,155.0,25.0,1003.0
2023-10-07 03:00:00,9.1,154.7,28.0,1003.0
2023-10-07 06:00:00,9.2,154.4,30.0,1002.0
2023-10-07 09:00:00,9.3,154.2,30.0,1002.0
2023-10-07 12:00:00,9.4,154.0,30.0,1002.0
2023-10-07 15:00:00,9.4,153.8,33.0,1001.0
2023-10-07 18:00:00,9.4,153.5,35.0,1000.0
2023-10-07 21:00:00,9.4,153.2,35.0,1000.0
2023-10-08 00:00:00,9.4,153.0,35.0,1000.0
2023-10-08 03:00:00,9.6,152.8,38.0,999.0
2023-10-08 06:00:00,9.8,152.7,40.0,998.0
2023-10-08 09:00:00,10.0,152.5,43.0,998.0
2023-10-08 12:00:00,10.2,152.3,45.0,998.0
2023-10-08 15:00:00,10.5,151.9,48.0,996.0
2023-10-08 18:00:00,10.7,151.5,50.0,993.0
2023-10-08 21:00:00,10.9,151.0,53.0,993.0
2023-10-09 00:00:00,11.0,150.5,55.0,992.0
2023-10-09 03:00:00,11.1,150.0,55.0,993.0
2023-10-09 06:00:00,11.3,149.5,55.0,993.0
2023-10-09 09:00:00,11.5,149.0,58.0,992.0
2023-10-09 12:00:00,11.9,148.5,60.0,990.0
2023-10-09 15:00:00,12.4,148.0,60.0,989.0
2023-10-09 18:00:00,13.0,147.5,60.0,988.0
2023-10-09 21:00:00,13.4,147.0,65.0,989.0
2023-10-10 00:00:00,13.7,146.5,70.0,990.0
2023-10-10 03:00:00,14.0,146.0,70.0,986.0
2023-10-10 06:00:00,14.3,145.6,70.0,982.0
2023-10-10 09:00:00,14.7,145.3,75.0,979.0
2023-10-10 12:00:00,15.2,145.0,80.0,975.0
2023-10-10 15:00:00,15.6,144.7,90.0,967.0
2023-10-10 18:00:00,16.0,144.5,100.0,959.0
2023-10-10 21:00:00,16.5,144.3,118.0,943.0
2023-10-11 00:00:00,17.1,144.0,135.0,926.0
2023-10-11 03:00:00,17.7,143.7,140.0,921.0
2023-10-11 06:00:00,18.2,143.4,145.0,916.0
2023-10-11 09:00:00,18.6,143.2,150.0,910.0
2023-10-11 12:00:00,18.9,143.0,155.0,904.0
2023-10-11 15:00:00,19.3,142.9,160.0,901.0
2023-10-11 18:00:00,19.7,142.9,165.0,897.0
2023-10-11 21:00:00,20.1,142.9,160.0,899.0
2023-10-12 00:00:00,20.6,143.0,155.0,900.0
2023-10-12 03:00:00,21.2,143.1,155.0,902.0
2023-10-12 06:00:00,21.8,143.4,155.0,904.0
2023-10-12 09:00:00,22.3,143.8,150.0,907.0
2023-10-12 12:00:00,22.8,144.3,145.0,909.0
2023-10-12 15:00:00,23.4,144.8,143.0,909.0
2023-10-12 18:00:00,24.1,145.4,140.0,909.0
2023-10-12 21:00:00,24.8,146.1,133.0,918.0
2023-10-13 00:00:00,25.6,146.9,125.0,926.0
2023-10-13 03:00:00,26.3,147.7,115.0,936.0
2023-10-13 06:00:00,27.1,148.6,105.0,946.0
2023-10-13 09:00:00,28.3,149.6,100.0,948.0
2023-10-13 12:00:00,29.5,150.7,95.0,949.0
2023-10-13 15:00:00,30.3,151.9,93.0,950.0
2023-10-13 18:00:00,31.2,153.2,90.0,950.0
2023-10-13 21:00:00,32.7,154.6,85.0,957.0
2023-10-14 00:00:00,34.3,156.3,80.0,964.0
2023-10-14 03:00:00,35.6,158.1,75.0,966.0
2023-10-14 06:00:00,37.0,160.2,70.0,968.0
2023-10-14 09:00:00,38.9,162.7,68.0,970.0
2023-10-14 12:00:00,40.7,165.0,65.0,971.0
2023-10-14 15:00:00,41.8,166.6,60.0,970.0
2023-10-14 18:00:00,42.4,167.8,55.0,968.0
