time,lat,lon,vmax,mslp
2024-05-20 00:00:00,2.5,142.2,10.0,1014.0
2024-05-20 03:00:00,2.4,141.5,10.0,1014.0
2024-05-20 06:00:00,2.2,140.9,10.0,1014.0
2024-05-20 09:00:00,2.0,140.3,13.0,1013.0
2024-05-20 12:00:00,1.9,139.7,15.0,1012.0
2024-05-20 15:00:00,2.2,139.3,15.0,1012.0
2024-05-20 18:00:00,2.6,138.9,15.0,1011.0
2024-05-20 21:00:00,2.9,138.5,15.0,1010.0
2024-05-21 00:00:00,3.1,138.1,15.0,1008.0
2024-05-21 03:00:00,3.4,137.8,15.0,1007.0
2024-05-21 06:00:00,3.7,137.5,15.0,1006.0
2024-05-21 09:00:00,4.0,137.2,15.0,1006.0
2024-05-21 12:00:00,4.2,136.9,15.0,1005.0
2024-05-21 15:00:00,4.4,136.6,15.0,1005.0
2024-05-21 18:00:00,4.6,136.4,15.0,1004.0
2024-05-21 21:00:00,4.9,136.2,15.0,1003.0
2024-05-22 00:00:00,5.1,135.9,15.0,1002.0
2024-05-22 03:00:00,5.2,135.5,18.0,1001.0
2024-05-22 06:00:00,5.3,135.1,20.0,1000.0
2024-05-22 09:00:00,5.3,134.7,20.0,1001.0
2024-05-22 12:00:00,5.4,134.3,20.0,1001.0
2024-05-22 15:00:00,5.5,133.9,20.0,1001.0
2024-05-22 18:00:00,5.6,133.6,20.0,1001.0
2024-05-22 21:00:00,5.6,133.2,20.0,1001.0
2024-05-23 00:00:00,5.8,132.9,20.0,1001.0
2024-05-23 03:00:00,6.3,132.8,20.0,1001.0
2024-05-23 06:00:00,6.9,132.5,20.0,1001.0
2024-05-23 09:00:00,7.4,131.7,20.0,1001.0
2024-05-23 12:00:00,7.8,130.8,20.0,1001.0
2024-05-23 15:00:00,8.0,129.9,20.0,1000.0
2024-05-23 18:00:00,8.1,129.1,20.0,999.0
2024-05-23 21:00:00,8.2,128.3,20.0,1000.0
2024-05-24 00:00:00,8.4,127.6,20.0,1001.0
2024-05-24 03:00:00,8.8,127.2,20.0,1001.0
2024-05-24 06:00:00,9.4,126.9,20.0,1000.0
2024-05-24 09:00:00,9.9,126.5,23.0,999.0
2024-05-24 12:00:00,10.4,126.1,25.0,998.0
2024-05-24 15:00:00,10.8,125.6,25.0,998.0
2024-05-24 18:00:00,11.3,125.0,25.0,997.0
2024-05-24 21:00:00,11.8,124.4,28.0,997.0
2024-05-25 00:00:00,12.3,123.8,30.0,996.0
2024-05-25 03:00:00,12.5,123.2,33.0,1000.0
2024-05-25 06:00:00,12.7,122.8,35.0,1003.0
2024-05-25 09:00:00,12.9,122.5,40.0,998.0
2024-05-25 12:00:00,13.2,122.3,45.0,993.0
2024-05-25 15:00:00,13.4,122.1,48.0,993.0
2024-05-25 18:00:00,13.6,121.9,50.0,992.0
2024-05-25 21:00:00,13.8,121.6,53.0,991.0
2024-05-26 00:00:00,14.0,121.4,55.0,990.0
2024-05-26 03:00:00,14.2,121.5,58.0,989.0
2024-05-26 06:00:00,14.4,121.8,60.0,988.0
2024-05-26 09:00:00,14.6,122.0,68.0,979.0
2024-05-26 12:00:00,14.9,122.2,75.0,969.0
2024-05-26 15:00:00,15.2,122.3,80.0,967.0
2024-05-26 18:00:00,15.5,122.5,85.0,965.0
2024-05-26 21:00:00,15.7,122.7,90.0,961.0
2024-05-27 00:00:00,15.8,122.8,85.0,962.0
2024-05-27 03:00:00,16.1,123.1,85.0,962.0
2024-05-27 06:00:00,16.4,123.5,85.0,962.0
2024-05-27 09:00:00,16.7,123.8,85.0,963.0
2024-05-27 12:00:00,17.1,124.0,85.0,963.0
2024-05-27 15:00:00,17.4,124.3,80.0,970.0
2024-05-27 18:00:00,17.8,124.6,75.0,976.0
2024-05-27 21:00:00,18.2,125.1,70.0,980.0
2024-05-28 00:00:00,18.7,125.7,65.0,984.0
2024-05-28 03:00:00,19.3,126.2,65.0,984.0
2024-05-28 06:00:00,19.9,126.8,65.0,984.0
2024-05-28 09:00:00,20.6,127.4,68.0,982.0
2024-05-28 12:00:00,21.3,128.1,70.0,979.0
2024-05-28 15:00:00,22.0,128.7,75.0,976.0
2024-05-28 18:00:00,22.8,129.3,80.0,973.0
2024-05-28 21:00:00,23.6,130.0,78.0,975.0
2024-05-29 00:00:00,24.3,130.8,75.0,976.0
2024-05-29 03:00:00,24.8,131.4,70.0,980.0
2024-05-29 06:00:00,25.3,132.0,65.0,983.0
2024-05-29 09:00:00,25.8,132.5,68.0,981.0
2024-05-29 12:00:00,26.3,132.9,70.0,978.0
2024-05-29 15:00:00,26.9,133.4,65.0,981.0
2024-05-29 18:00:00,27.4,133.8,60.0,983.0
2024-05-29 21:00:00,27.8,134.2,55.0,986.0
2024-05-30 00:00:00,28.2,134.7,50.0,988.0
2024-05-30 03:00:00,28.5,135.2,48.0,989.0
2024-05-30 06:00:00,28.9,135.7,45.0,990.0
2024-05-30 09:00:00,29.5,136.2,43.0,991.0
2024-05-30 12:00:00,30.1,136.8,40.0,992.0
2024-05-30 15:00:00,30.7,137.4,35.0,993.0
2024-05-30 18:00:00,31.4,138.1,30.0,994.0
2024-05-30 21:00:00,32.3,139.0,33.0,996.0
2024-05-31 00:00:00,33.2,140.1,35.0,998.0
2024-05-31 03:00:00,34.0,141.6,35.0,994.0
2024-05-31 06:00:00,34.6,143.2,35.0,990.0
