time,lat,lon,vmax,mslp
2024-08-05 06:00:00,14.0,-105.7,35,1006
2024-08-05 09:00:00,14.1,-105.9,35,1006
2024-08-05 12:00:00,14.3,-106.2,35,1005
2024-08-05 15:00:00,14.7,-106.6,38,1005
2024-08-05 18:00:00,15.2,-107.2,40,1004
2024-08-05 21:00:00,15.5,-107.8,45,1001
2024-08-06 00:00:00,15.8,-108.5,50,998
2024-08-06 03:00:00,16.1,-109.2,53,998
2024-08-06 06:00:00,16.5,-110.0,55,997
2024-08-06 09:00:00,17.0,-110.7,55,997
2024-08-06 12:00:00,17.5,-111.5,55,996
2024-08-06 15:00:00,18.0,-112.3,53,997
2024-08-06 18:00:00,18.5,-113.1,50,997
2024-08-06 21:00:00,19.0,-114.0,48,998
2024-08-07 00:00:00,19.5,-115.0,45,999
2024-08-07 03:00:00,20.0,-116.0,43,1000
2024-08-07 06:00:00,20.3,-117.0,40,1001
2024-08-07 09:00:00,20.4,-118.0,40,1001
2024-08-07 12:00:00,20.3,-118.8,40,1001
2024-08-07 15:00:00,19.8,-119.5,38,1002
2024-08-07 18:00:00,19.3,-119.8,35,1002
2024-08-07 21:00:00,19.0,-119.7,33,1003
2024-08-08 00:00:00,18.8,-119.3,30,1003
