time,lat,lon,vmax,mslp
2024-08-11 18:00:00,22.3,135.7,20.0,1007.0
2024-08-11 21:00:00,22.5,136.0,23.0,1005.0
2024-08-12 00:00:00,22.7,136.3,25.0,1002.0
2024-08-12 03:00:00,22.9,136.6,30.0,999.0
2024-08-12 06:00:00,23.1,136.9,35.0,995.0
2024-08-12 09:00:00,23.4,137.2,38.0,995.0
2024-08-12 12:00:00,23.6,137.5,40.0,994.0
2024-08-12 15:00:00,23.8,137.7,40.0,993.0
2024-08-12 18:00:00,24.0,137.9,40.0,992.0
2024-08-12 21:00:00,24.2,138.0,43.0,990.0
2024-08-13 00:00:00,24.4,138.1,45.0,988.0
2024-08-13 03:00:00,24.7,138.3,45.0,989.0
2024-08-13 06:00:00,24.9,138.6,45.0,989.0
2024-08-13 09:00:00,25.1,138.8,48.0,989.0
2024-08-13 12:00:00,25.3,139.1,50.0,988.0
2024-08-13 15:00:00,25.5,139.4,53.0,987.0
2024-08-13 18:00:00,25.7,139.7,55.0,985.0
2024-08-13 21:00:00,25.9,140.0,55.0,985.0
2024-08-14 00:00:00,26.1,140.3,55.0,985.0
2024-08-14 03:00:00,26.4,140.7,60.0,981.0
2024-08-14 06:00:00,26.7,141.0,65.0,976.0
2024-08-14 09:00:00,27.1,141.1,68.0,975.0
2024-08-14 12:00:00,27.6,141.1,70.0,973.0
2024-08-14 15:00:00,28.0,141.2,73.0,972.0
2024-08-14 18:00:00,28.5,141.2,75.0,970.0
2024-08-14 21:00:00,29.0,141.2,78.0,967.0
2024-08-15 00:00:00,29.5,141.2,80.0,963.0
2024-08-15 03:00:00,30.0,141.2,85.0,959.0
2024-08-15 06:00:00,30.5,141.1,90.0,955.0
2024-08-15 09:00:00,31.0,140.9,93.0,954.0
2024-08-15 12:00:00,31.5,140.8,95.0,952.0
2024-08-15 15:00:00,32.0,140.8,100.0,948.0
2024-08-15 18:00:00,32.5,140.8,105.0,944.0
2024-08-15 21:00:00,33.0,140.8,108.0,942.0
2024-08-16 00:00:00,33.5,140.8,110.0,939.0
2024-08-16 03:00:00,33.8,140.9,110.0,940.0
2024-08-16 06:00:00,34.1,141.2,110.0,940.0
2024-08-16 09:00:00,34.5,141.5,108.0,941.0
2024-08-16 12:00:00,35.0,141.9,105.0,942.0
2024-08-16 15:00:00,35.4,142.4,103.0,944.0
2024-08-16 18:00:00,35.8,142.9,100.0,946.0
2024-08-16 21:00:00,36.2,143.3,95.0,950.0
2024-08-17 00:00:00,36.6,143.9,90.0,954.0
2024-08-17 03:00:00,36.9,144.7,83.0,960.0
2024-08-17 06:00:00,37.2,145.7,75.0,966.0
2024-08-17 09:00:00,37.5,146.5,73.0,968.0
2024-08-17 12:00:00,37.8,147.4,70.0,970.0
2024-08-17 15:00:00,38.2,148.6,65.0,975.0
2024-08-17 18:00:00,38.7,149.9,60.0,979.0
2024-08-17 21:00:00,39.2,151.3,58.0,981.0
2024-08-18 00:00:00,39.7,152.8,55.0,982.0
2024-08-18 03:00:00,40.1,154.2,58.0,981.0
2024-08-18 06:00:00,40.6,155.5,60.0,980.0
2024-08-18 09:00:00,41.3,156.9,60.0,980.0
2024-08-18 12:00:00,42.0,158.3,60.0,979.0
