time,lat,lon,vmax,mslp
2024-08-22 00:00:00,15.5,-137.5,30,1007
2024-08-22 03:00:00,15.4,-138.1,30,1007
2024-08-22 06:00:00,15.4,-138.8,30,1007
2024-08-22 09:00:00,15.4,-139.5,30,1007
2024-08-22 12:00:00,15.4,-140.2,30,1007
2024-08-22 15:00:00,15.4,-140.9,33,1007
2024-08-22 18:00:00,15.5,-141.5,35,1006
2024-08-22 21:00:00,15.6,-142.2,35,1006
2024-08-23 00:00:00,15.7,-142.8,35,1006
2024-08-23 03:00:00,15.8,-143.4,38,1006
2024-08-23 06:00:00,15.9,-144.1,40,1005
2024-08-23 09:00:00,16.1,-144.8,40,1005
2024-08-23 12:00:00,16.3,-145.6,40,1005
2024-08-23 15:00:00,16.5,-146.4,43,1004
2024-08-23 18:00:00,16.6,-147.1,45,1002
2024-08-23 21:00:00,16.7,-147.8,45,1001
2024-08-24 00:00:00,16.9,-148.5,45,1000
2024-08-24 03:00:00,17.1,-149.2,48,1000
2024-08-24 06:00:00,17.2,-149.9,50,999
2024-08-24 09:00:00,17.3,-150.6,53,998
2024-08-24 12:00:00,17.4,-151.3,55,997
2024-08-24 15:00:00,17.5,-152.0,53,999
2024-08-24 18:00:00,17.6,-152.6,50,1000
2024-08-24 21:00:00,17.7,-153.2,50,1000
2024-08-25 00:00:00,17.9,-153.8,50,1000
2024-08-25 03:00:00,18.0,-154.3,58,996
2024-08-25 06:00:00,18.1,-154.8,65,991
2024-08-25 09:00:00,18.1,-155.3,70,990
2024-08-25 12:00:00,18.2,-155.7,75,988
2024-08-25 15:00:00,18.4,-156.2,70,989
2024-08-25 18:00:00,18.6,-156.7,65,990
2024-08-25 21:00:00,18.8,-157.3,63,992
2024-08-26 00:00:00,19.0,-157.9,60,994
2024-08-26 03:00:00,19.1,-158.5,60,995
2024-08-26 06:00:00,19.1,-159.1,60,996
2024-08-26 09:00:00,19.1,-159.6,58,997
2024-08-26 12:00:00,19.1,-160.1,55,998
2024-08-26 15:00:00,19.1,-160.6,55,998
2024-08-26 18:00:00,19.1,-161.2,55,998
2024-08-26 21:00:00,19.2,-161.7,53,1000
2024-08-27 00:00:00,19.4,-162.3,50,1001
2024-08-27 03:00:00,19.6,-162.9,50,1001
2024-08-27 06:00:00,19.7,-163.5,50,1001
2024-08-27 09:00:00,19.8,-164.1,48,1002
2024-08-27 12:00:00,19.8,-164.7,45,1003
2024-08-27 15:00:00,19.9,-165.2,45,1003
2024-08-27 18:00:00,20.0,-165.6,45,1003
2024-08-27 21:00:00,20.1,-166.1,45,1003
2024-08-28 00:00:00,20.2,-166.5,45,1003
2024-08-28 03:00:00,20.3,-166.9,45,1003
2024-08-28 06:00:00,20.3,-167.3,45,1003
2024-08-28 09:00:00,20.3,-167.7,45,1003
2024-08-28 12:00:00,20.4,-168.1,45,1003
2024-08-28 15:00:00,20.4,-168.5,45,1003
2024-08-28 18:00:00,20.5,-168.9,45,1003
2024-08-28 21:00:00,20.5,-169.3,45,1003
2024-08-29 00:00:00,20.6,-169.7,45,1003
2024-08-29 03:00:00,20.7,-170.1,43,1004
2024-08-29 06:00:00,20.8,-170.6,40,1005
2024-08-29 09:00:00,20.9,-171.1,38,1006
2024-08-29 12:00:00,21.0,-171.5,35,1007
2024-08-29 15:00:00,21.2,-171.9,35,1007
2024-08-29 18:00:00,21.3,-172.2,35,1007
2024-08-29 21:00:00,21.4,-172.6,33,1008
2024-08-30 00:00:00,21.4,-173.0,30,1008
2024-08-30 03:00:00,21.4,-173.4,30,1008
2024-08-30 06:00:00,21.5,-173.7,30,1008
2024-08-30 09:00:00,21.6,-174.0,30,1008
2024-08-30 12:00:00,21.7,-174.4,30,1008
2024-08-30 15:00:00,21.8,-174.9,30,1008
2024-08-30 18:00:00,21.8,-175.3,30,1008
2024-08-30 21:00:00,21.8,-175.6,30,1008
2024-08-31 00:00:00,21.9,-175.7,30,1008
2024-08-31 03:00:00,22.0,-175.7,33,1008
2024-08-31 06:00:00,22.1,-175.7,35,1007
2024-08-31 09:00:00,22.2,-175.8,38,1006
2024-08-31 12:00:00,22.3,-175.9,40,1005
2024-08-31 15:00:00,22.4,-176.1,38,1006
2024-08-31 18:00:00,22.5,-176.3,35,1007
2024-08-31 21:00:00,22.9,-176.4,35,1007
2024-09-01 00:00:00,23.3,-176.5,35,1007
2024-09-01 03:00:00,23.6,-176.5,35,1007
2024-09-01 06:00:00,23.8,-176.5,35,1007
