time,lat,lon,vmax,mslp
2024-08-22 18:00:00,14.0,-111.9,30,1009
2024-08-22 21:00:00,13.9,-112.1,30,1009
2024-08-23 00:00:00,13.9,-112.3,30,1008
2024-08-23 03:00:00,13.9,-112.5,30,1008
2024-08-23 06:00:00,13.9,-112.8,30,1007
2024-08-23 09:00:00,14.0,-113.1,30,1007
2024-08-23 12:00:00,14.1,-113.5,30,1007
2024-08-23 15:00:00,14.3,-113.9,30,1007
2024-08-23 18:00:00,14.5,-114.2,30,1007
2024-08-23 21:00:00,14.7,-114.5,30,1007
2024-08-24 00:00:00,15.0,-114.8,30,1007
2024-08-24 03:00:00,15.3,-115.1,30,1007
2024-08-24 06:00:00,15.5,-115.4,30,1007
2024-08-24 09:00:00,15.7,-115.8,30,1007
2024-08-24 12:00:00,15.8,-116.3,30,1006
2024-08-24 15:00:00,15.9,-116.8,30,1006
2024-08-24 18:00:00,16.0,-117.4,30,1006
2024-08-24 21:00:00,16.1,-118.0,30,1006
2024-08-25 00:00:00,16.1,-118.6,30,1006
2024-08-25 03:00:00,16.1,-119.3,30,1006
2024-08-25 06:00:00,16.1,-119.9,30,1005
2024-08-25 09:00:00,16.1,-120.5,33,1005
2024-08-25 12:00:00,16.0,-121.0,35,1004
2024-08-25 15:00:00,15.9,-121.5,38,1004
2024-08-25 18:00:00,15.9,-121.9,40,1003
2024-08-25 21:00:00,15.9,-122.3,40,1003
2024-08-26 00:00:00,15.9,-122.7,40,1002
2024-08-26 03:00:00,15.9,-123.1,40,1002
2024-08-26 06:00:00,16.0,-123.6,40,1001
2024-08-26 09:00:00,16.1,-124.1,43,1001
2024-08-26 12:00:00,16.2,-124.5,45,1000
2024-08-26 15:00:00,16.3,-125.0,45,1000
2024-08-26 18:00:00,16.5,-125.4,45,1000
2024-08-26 21:00:00,16.7,-125.8,48,999
2024-08-27 00:00:00,16.9,-126.2,50,998
2024-08-27 03:00:00,17.1,-126.7,50,998
2024-08-27 06:00:00,17.2,-127.2,50,998
2024-08-27 09:00:00,17.3,-127.7,48,999
2024-08-27 12:00:00,17.4,-128.2,45,1000
2024-08-27 15:00:00,17.5,-128.8,45,1000
2024-08-27 18:00:00,17.5,-129.3,45,1000
2024-08-27 21:00:00,17.6,-129.8,45,1000
2024-08-28 00:00:00,17.6,-130.3,45,1000
2024-08-28 03:00:00,17.6,-130.8,45,1000
2024-08-28 06:00:00,17.6,-131.2,45,1000
2024-08-28 09:00:00,17.6,-131.6,45,1001
2024-08-28 12:00:00,17.6,-132.1,45,1001
2024-08-28 15:00:00,17.6,-132.6,43,1003
2024-08-28 18:00:00,17.5,-133.0,40,1004
2024-08-28 21:00:00,17.4,-133.4,38,1005
2024-08-29 00:00:00,17.2,-133.8,35,1006
