time,lat,lon,vmax,mslp
2024-09-02 06:00:00,23.5,146.5,15.0,1006.0
2024-09-02 09:00:00,23.7,146.6,15.0,1006.0
2024-09-02 12:00:00,23.9,146.7,15.0,1005.0
2024-09-02 15:00:00,24.2,146.9,18.0,1004.0
2024-09-02 18:00:00,24.4,147.0,20.0,1003.0
2024-09-02 21:00:00,24.6,147.1,23.0,1003.0
2024-09-03 00:00:00,24.7,147.1,25.0,1002.0
2024-09-03 03:00:00,24.8,147.2,25.0,1002.0
2024-09-03 06:00:00,25.0,147.2,25.0,1001.0
2024-09-03 09:00:00,25.1,147.3,28.0,1001.0
2024-09-03 12:00:00,25.4,147.3,30.0,1001.0
2024-09-03 15:00:00,25.9,147.4,30.0,1001.0
2024-09-03 18:00:00,26.5,147.4,30.0,1000.0
2024-09-03 21:00:00,27.2,147.2,30.0,999.0
2024-09-04 00:00:00,27.8,147.0,30.0,998.0
2024-09-04 03:00:00,28.3,146.9,30.0,997.0
2024-09-04 06:00:00,28.7,146.9,30.0,995.0
2024-09-04 09:00:00,29.1,146.9,30.0,992.0
2024-09-04 12:00:00,29.5,146.9,30.0,989.0
2024-09-04 15:00:00,30.1,146.7,33.0,985.0
2024-09-04 18:00:00,30.8,146.4,35.0,981.0
2024-09-04 21:00:00,31.5,146.1,35.0,981.0
2024-09-05 00:00:00,32.2,145.9,35.0,981.0
2024-09-05 03:00:00,32.7,145.8,35.0,981.0
2024-09-05 06:00:00,33.1,145.8,35.0,981.0
2024-09-05 09:00:00,33.5,145.8,35.0,981.0
2024-09-05 12:00:00,33.9,146.0,35.0,981.0
2024-09-05 15:00:00,34.4,146.4,38.0,979.0
2024-09-05 18:00:00,35.0,146.9,40.0,977.0
2024-09-05 21:00:00,35.5,147.4,40.0,978.0
2024-09-06 00:00:00,36.0,148.0,40.0,978.0
2024-09-06 03:00:00,36.5,148.9,38.0,980.0
2024-09-06 06:00:00,37.0,149.8,35.0,982.0
2024-09-06 09:00:00,37.4,150.4,35.0,982.0
2024-09-06 12:00:00,37.9,151.0,35.0,982.0
2024-09-06 15:00:00,38.6,151.9,35.0,982.0
2024-09-06 18:00:00,39.3,152.9,35.0,982.0
2024-09-06 21:00:00,40.1,153.9,33.0,985.0
2024-09-07 00:00:00,40.8,155.0,30.0,988.0
2024-09-07 03:00:00,41.3,156.3,30.0,988.0
2024-09-07 06:00:00,41.7,157.6,30.0,988.0
