time,lat,lon,vmax,mslp
2024-09-15 12:00:00,13.4,143.9,25.0,1004.0
2024-09-15 15:00:00,13.7,143.6,28.0,1002.0
2024-09-15 18:00:00,14.1,143.3,30.0,1000.0
2024-09-15 21:00:00,14.5,143.1,30.0,999.0
2024-09-16 00:00:00,14.9,142.9,30.0,997.0
2024-09-16 03:00:00,15.5,142.5,30.0,995.0
2024-09-16 06:00:00,16.0,142.1,30.0,992.0
2024-09-16 09:00:00,16.4,141.7,33.0,992.0
2024-09-16 12:00:00,16.8,141.2,35.0,992.0
2024-09-16 15:00:00,17.1,140.5,38.0,992.0
2024-09-16 18:00:00,17.4,139.7,40.0,991.0
2024-09-16 21:00:00,17.7,138.8,43.0,990.0
2024-09-17 00:00:00,18.1,137.8,45.0,989.0
2024-09-17 03:00:00,18.9,136.9,48.0,986.0
2024-09-17 06:00:00,19.8,136.1,50.0,982.0
2024-09-17 09:00:00,20.7,135.3,53.0,981.0
2024-09-17 12:00:00,21.4,134.5,55.0,980.0
2024-09-17 15:00:00,21.9,133.9,53.0,980.0
2024-09-17 18:00:00,22.3,133.3,50.0,980.0
2024-09-17 21:00:00,22.8,132.7,45.0,981.0
2024-09-18 00:00:00,23.3,132.1,40.0,982.0
2024-09-18 03:00:00,23.9,131.2,40.0,981.0
2024-09-18 06:00:00,24.5,130.3,40.0,979.0
2024-09-18 09:00:00,25.1,129.4,43.0,980.0
2024-09-18 12:00:00,25.8,128.6,45.0,980.0
2024-09-18 15:00:00,26.5,127.7,43.0,985.0
2024-09-18 18:00:00,27.1,126.8,40.0,990.0
2024-09-18 21:00:00,27.7,126.0,40.0,990.0
2024-09-19 00:00:00,28.3,125.2,40.0,989.0
2024-09-19 03:00:00,28.9,124.4,38.0,992.0
2024-09-19 06:00:00,29.4,123.7,35.0,994.0
2024-09-19 09:00:00,30.0,122.9,33.0,995.0
2024-09-19 12:00:00,30.5,122.3,30.0,995.0
2024-09-19 15:00:00,30.7,121.9,30.0,996.0
2024-09-19 18:00:00,30.9,121.5,30.0,997.0
2024-09-19 21:00:00,31.4,120.8,28.0,998.0
2024-09-20 00:00:00,32.0,120.2,25.0,998.0
2024-09-20 03:00:00,32.4,120.2,28.0,997.0
2024-09-20 06:00:00,32.6,120.5,30.0,996.0
2024-09-20 09:00:00,32.8,120.6,30.0,989.0
2024-09-20 12:00:00,33.0,120.8,30.0,981.0
2024-09-20 15:00:00,33.1,121.0,30.0,980.0
2024-09-20 18:00:00,33.2,121.4,30.0,979.0
2024-09-20 21:00:00,33.3,122.0,30.0,979.0
2024-09-21 00:00:00,33.4,122.7,30.0,979.0
2024-09-21 03:00:00,33.6,123.4,30.0,981.0
2024-09-21 06:00:00,33.9,124.5,30.0,982.0
2024-09-21 09:00:00,34.2,126.2,33.0,989.0
2024-09-21 12:00:00,34.6,128.3,35.0,996.0
