time,lat,lon,vmax,mslp
2024-10-04 06:00:00,10.7,149.5,15.0,1008.0
2024-10-04 09:00:00,10.9,149.2,18.0,1008.0
2024-10-04 12:00:00,11.2,148.8,20.0,1007.0
2024-10-04 15:00:00,11.5,148.4,20.0,1007.0
2024-10-04 18:00:00,11.9,148.0,20.0,1007.0
2024-10-04 21:00:00,12.4,147.6,23.0,1007.0
2024-10-05 00:00:00,12.8,147.3,25.0,1006.0
2024-10-05 03:00:00,13.1,147.2,25.0,1006.0
2024-10-05 06:00:00,13.4,147.1,25.0,1005.0
2024-10-05 09:00:00,13.6,147.1,25.0,1005.0
2024-10-05 12:00:00,14.0,147.0,25.0,1004.0
2024-10-05 15:00:00,14.6,146.6,25.0,1006.0
2024-10-05 18:00:00,15.4,146.2,25.0,1008.0
2024-10-05 21:00:00,16.1,145.8,25.0,1006.0
2024-10-06 00:00:00,16.8,145.6,25.0,1004.0
2024-10-06 03:00:00,17.3,145.5,25.0,1003.0
2024-10-06 06:00:00,17.8,145.5,25.0,1001.0
2024-10-06 09:00:00,18.2,145.5,28.0,1000.0
2024-10-06 12:00:00,18.7,145.6,30.0,998.0
2024-10-06 15:00:00,19.5,145.7,33.0,996.0
2024-10-06 18:00:00,20.2,145.8,35.0,994.0
2024-10-06 21:00:00,20.6,145.9,38.0,992.0
2024-10-07 00:00:00,20.9,146.0,40.0,990.0
2024-10-07 03:00:00,21.4,146.3,43.0,989.0
2024-10-07 06:00:00,22.0,146.7,45.0,988.0
2024-10-07 09:00:00,22.6,147.1,43.0,989.0
2024-10-07 12:00:00,23.2,147.3,40.0,990.0
2024-10-07 15:00:00,23.6,147.4,40.0,990.0
2024-10-07 18:00:00,23.9,147.3,40.0,990.0
2024-10-07 21:00:00,24.0,147.2,35.0,992.0
2024-10-08 00:00:00,24.0,147.0,30.0,993.0
2024-10-08 03:00:00,23.9,146.9,28.0,994.0
2024-10-08 06:00:00,23.9,147.0,25.0,995.0
2024-10-08 09:00:00,23.9,147.1,25.0,995.0
2024-10-08 12:00:00,24.0,147.4,25.0,995.0
2024-10-08 15:00:00,24.2,147.8,25.0,995.0
2024-10-08 18:00:00,24.6,148.3,25.0,995.0
2024-10-08 21:00:00,25.2,148.7,25.0,995.0
2024-10-09 00:00:00,25.9,149.0,25.0,995.0
2024-10-09 03:00:00,26.8,149.3,28.0,994.0
2024-10-09 06:00:00,27.8,149.5,30.0,993.0
2024-10-09 09:00:00,28.8,149.3,30.0,993.0
2024-10-09 12:00:00,29.8,149.1,30.0,993.0
2024-10-09 15:00:00,30.8,149.1,33.0,992.0
2024-10-09 18:00:00,31.6,149.3,35.0,991.0
2024-10-09 21:00:00,32.1,149.9,35.0,991.0
2024-10-10 00:00:00,32.6,150.5,35.0,991.0
2024-10-10 03:00:00,33.6,150.7,38.0,991.0
2024-10-10 06:00:00,34.8,150.9,40.0,990.0
2024-10-10 09:00:00,35.8,151.6,40.0,990.0
2024-10-10 12:00:00,36.6,152.7,40.0,989.0
