time,lat,lon,vmax,mslp
2025-05-28 18:00:00,11.5,-104.4,30,1006
2025-05-28 21:00:00,12.0,-104.6,30,1006
2025-05-29 00:00:00,12.4,-104.9,30,1006
2025-05-29 03:00:00,12.7,-105.2,30,1006
2025-05-29 06:00:00,13.0,-105.6,30,1005
2025-05-29 09:00:00,13.3,-105.9,35,1004
2025-05-29 12:00:00,13.7,-106.2,40,1003
2025-05-29 15:00:00,14.1,-106.5,45,1001
2025-05-29 18:00:00,14.6,-106.9,50,999
2025-05-29 21:00:00,15.0,-107.3,50,999
2025-05-30 00:00:00,15.4,-107.6,50,999
2025-05-30 03:00:00,15.8,-108.0,48,1000
2025-05-30 06:00:00,16.1,-108.3,45,1000
2025-05-30 09:00:00,16.5,-108.5,45,1001
2025-05-30 12:00:00,16.9,-108.7,45,1001
2025-05-30 15:00:00,17.3,-108.8,45,1001
2025-05-30 18:00:00,17.7,-108.9,45,1001
2025-05-30 21:00:00,18.2,-109.0,43,1002
2025-05-31 00:00:00,18.7,-109.0,40,1003
2025-05-31 03:00:00,19.2,-109.1,38,1004
2025-05-31 06:00:00,19.6,-109.2,35,1005
2025-05-31 09:00:00,20.0,-109.3,33,1006
2025-05-31 12:00:00,20.4,-109.5,30,1006
2025-05-31 15:00:00,20.8,-109.6,30,1006
2025-05-31 18:00:00,21.1,-109.7,30,1006
2025-05-31 21:00:00,21.5,-109.7,28,1007
2025-06-01 00:00:00,21.8,-109.7,25,1007
2025-06-01 03:00:00,22.1,-109.6,25,1007
2025-06-01 06:00:00,22.4,-109.4,25,1007
