time,lat,lon,vmax,mslp
2025-06-08 06:00:00,11.7,-110.0,30,1005
2025-06-08 09:00:00,12.0,-110.2,33,1004
2025-06-08 12:00:00,12.3,-110.4,35,1002
2025-06-08 15:00:00,12.7,-110.6,38,1001
2025-06-08 18:00:00,13.0,-110.8,40,1000
2025-06-08 21:00:00,13.3,-111.2,40,1000
2025-06-09 00:00:00,13.5,-111.6,40,1000
2025-06-09 03:00:00,13.8,-112.0,43,1000
2025-06-09 06:00:00,14.0,-112.4,45,999
2025-06-09 09:00:00,14.2,-112.7,50,997
2025-06-09 12:00:00,14.4,-113.0,55,994
2025-06-09 15:00:00,14.6,-113.3,58,993
2025-06-09 18:00:00,14.7,-113.6,60,991
2025-06-09 21:00:00,14.9,-113.9,60,991
2025-06-10 00:00:00,15.0,-114.1,60,991
2025-06-10 03:00:00,15.1,-114.3,60,991
2025-06-10 06:00:00,15.1,-114.5,60,991
2025-06-10 09:00:00,15.2,-114.7,60,992
2025-06-10 12:00:00,15.3,-114.9,60,993
2025-06-10 15:00:00,15.4,-115.1,55,996
2025-06-10 18:00:00,15.6,-115.2,50,999
2025-06-10 21:00:00,15.8,-115.2,48,1000
2025-06-11 00:00:00,15.9,-115.0,45,1001
2025-06-11 03:00:00,16.0,-114.8,43,1003
2025-06-11 06:00:00,16.0,-114.5,40,1004
2025-06-11 09:00:00,16.1,-114.2,35,1005
2025-06-11 12:00:00,16.2,-113.8,30,1006
2025-06-11 15:00:00,16.3,-113.4,28,1007
2025-06-11 18:00:00,16.5,-112.9,25,1008
