time,lat,lon,vmax,mslp
2025-07-01 18:00:00,24.2,147.6,29.0,1003.0
2025-07-01 21:00:00,24.6,147.5,29.0,1003.0
2025-07-02 00:00:00,25.0,147.4,29.0,1002.0
2025-07-02 03:00:00,25.4,147.1,29.0,1002.0
2025-07-02 06:00:00,25.7,146.8,29.0,1001.0
2025-07-02 09:00:00,26.0,146.6,32.0,1002.0
2025-07-02 12:00:00,26.2,146.3,35.0,1002.0
2025-07-02 15:00:00,26.5,145.9,35.0,1001.0
2025-07-02 18:00:00,26.8,145.6,35.0,1000.0
2025-07-02 21:00:00,26.9,145.4,37.0,998.0
2025-07-03 00:00:00,27.0,145.4,39.0,995.0
2025-07-03 03:00:00,27.3,145.4,45.0,992.0
2025-07-03 06:00:00,27.6,145.4,51.0,989.0
2025-07-03 09:00:00,27.9,145.5,56.0,986.0
2025-07-03 12:00:00,28.3,145.5,60.0,982.0
2025-07-03 15:00:00,28.7,145.3,60.0,982.0
2025-07-03 18:00:00,29.0,145.0,60.0,982.0
2025-07-03 21:00:00,29.3,144.9,57.0,982.0
2025-07-04 00:00:00,29.6,144.8,54.0,982.0
2025-07-04 03:00:00,29.9,144.8,54.0,984.0
2025-07-04 06:00:00,30.1,144.9,54.0,985.0
2025-07-04 09:00:00,30.1,145.1,54.0,985.0
2025-07-04 12:00:00,30.2,145.3,54.0,984.0
2025-07-04 15:00:00,30.4,145.7,53.0,985.0
2025-07-04 18:00:00,30.7,146.0,51.0,985.0
2025-07-04 21:00:00,30.9,146.1,53.0,984.0
2025-07-05 00:00:00,31.0,146.3,54.0,982.0
2025-07-05 03:00:00,31.1,146.7,54.0,982.0
2025-07-05 06:00:00,31.1,147.1,54.0,982.0
2025-07-05 09:00:00,31.2,147.6,54.0,982.0
2025-07-05 12:00:00,31.3,148.0,54.0,982.0
2025-07-05 15:00:00,31.5,148.4,53.0,983.0
2025-07-05 18:00:00,31.7,148.7,51.0,983.0
2025-07-05 21:00:00,31.9,148.9,51.0,983.0
2025-07-06 00:00:00,32.2,149.1,51.0,983.0
2025-07-06 03:00:00,32.4,149.3,51.0,983.0
2025-07-06 06:00:00,32.7,149.4,51.0,982.0
2025-07-06 09:00:00,33.1,149.5,51.0,982.0
2025-07-06 12:00:00,33.5,149.6,51.0,982.0
2025-07-06 15:00:00,33.8,149.5,51.0,982.0
2025-07-06 18:00:00,34.1,149.3,51.0,982.0
2025-07-06 21:00:00,34.5,149.1,48.0,984.0
2025-07-07 00:00:00,35.0,148.9,45.0,986.0
2025-07-07 03:00:00,35.4,148.6,40.0,991.0
2025-07-07 06:00:00,35.8,148.3,35.0,996.0
2025-07-07 09:00:00,36.2,148.1,32.0,1000.0
2025-07-07 12:00:00,36.7,148.0,29.0,1003.0
2025-07-07 15:00:00,37.3,148.1,27.0,1002.0
2025-07-07 18:00:00,38.0,148.3,25.0,1000.0
2025-07-07 21:00:00,38.7,148.7,25.0,1001.0
2025-07-08 00:00:00,39.3,149.1,25.0,1001.0
