time,lat,lon,vmax,mslp
2025-07-23 18:00:00,13.2,144.1,25.0,1004.0
2025-07-23 21:00:00,13.2,144.0,25.0,1004.0
2025-07-24 00:00:00,13.5,143.9,25.0,1004.0
2025-07-24 03:00:00,14.3,143.7,27.0,1004.0
2025-07-24 06:00:00,15.2,143.5,29.0,1003.0
2025-07-24 09:00:00,15.8,143.5,29.0,1003.0
2025-07-24 12:00:00,16.2,143.5,29.0,1003.0
2025-07-24 15:00:00,16.2,143.3,32.0,1001.0
2025-07-24 18:00:00,16.2,143.2,35.0,999.0
2025-07-24 21:00:00,16.5,143.3,37.0,999.0
2025-07-25 00:00:00,16.9,143.4,39.0,999.0
2025-07-25 03:00:00,17.1,143.3,39.0,998.0
2025-07-25 06:00:00,17.3,143.3,39.0,997.0
2025-07-25 09:00:00,17.6,143.5,42.0,996.0
2025-07-25 12:00:00,17.8,143.7,45.0,994.0
2025-07-25 15:00:00,17.8,143.6,45.0,996.0
2025-07-25 18:00:00,17.7,143.4,45.0,997.0
2025-07-25 21:00:00,17.7,143.5,45.0,998.0
2025-07-26 00:00:00,17.8,143.7,45.0,998.0
2025-07-26 03:00:00,17.8,143.9,48.0,993.0
2025-07-26 06:00:00,17.9,144.1,51.0,988.0
2025-07-26 09:00:00,18.1,144.3,51.0,988.0
2025-07-26 12:00:00,18.5,144.5,51.0,987.0
2025-07-26 15:00:00,19.0,144.8,53.0,987.0
2025-07-26 18:00:00,19.5,145.0,54.0,987.0
2025-07-26 21:00:00,19.8,145.1,57.0,985.0
2025-07-27 00:00:00,20.2,145.1,60.0,983.0
2025-07-27 03:00:00,20.8,145.0,60.0,977.0
2025-07-27 06:00:00,21.5,145.0,60.0,971.0
2025-07-27 09:00:00,22.1,145.2,60.0,971.0
2025-07-27 12:00:00,22.7,145.4,60.0,971.0
2025-07-27 15:00:00,23.5,145.4,70.0,968.0
2025-07-27 18:00:00,24.4,145.3,80.0,964.0
2025-07-27 21:00:00,25.0,145.3,80.0,963.0
2025-07-28 00:00:00,25.8,145.2,80.0,962.0
2025-07-28 03:00:00,27.4,144.9,75.0,965.0
2025-07-28 06:00:00,28.7,144.5,70.0,968.0
2025-07-28 09:00:00,28.3,144.1,65.0,969.0
2025-07-28 12:00:00,27.5,143.7,60.0,970.0
2025-07-28 15:00:00,27.5,143.4,58.0,972.0
2025-07-28 18:00:00,27.7,143.2,56.0,975.0
2025-07-28 21:00:00,28.1,143.1,53.0,977.0
2025-07-29 00:00:00,28.4,143.0,51.0,979.0
2025-07-29 03:00:00,28.5,142.9,53.0,977.0
2025-07-29 06:00:00,28.5,142.9,54.0,974.0
2025-07-29 09:00:00,28.5,142.9,53.0,977.0
2025-07-29 12:00:00,28.6,142.9,51.0,980.0
2025-07-29 15:00:00,28.7,142.9,45.0,983.0
2025-07-29 18:00:00,28.7,142.8,39.0,985.0
2025-07-29 21:00:00,28.7,142.8,39.0,985.0
2025-07-30 00:00:00,28.7,142.8,39.0,985.0
2025-07-30 03:00:00,28.8,143.1,39.0,985.0
2025-07-30 06:00:00,28.9,143.3,39.0,985.0
2025-07-30 09:00:00,28.9,143.3,39.0,985.0
2025-07-30 12:00:00,29.0,143.2,39.0,985.0
2025-07-30 15:00:00,29.1,143.2,42.0,983.0
2025-07-30 18:00:00,29.3,143.2,45.0,981.0
2025-07-30 21:00:00,29.7,143.1,48.0,980.0
2025-07-31 00:00:00,30.0,142.9,51.0,978.0
2025-07-31 03:00:00,30.0,142.7,48.0,978.0
2025-07-31 06:00:00,30.1,142.6,45.0,978.0
2025-07-31 09:00:00,30.4,142.5,45.0,980.0
2025-07-31 12:00:00,30.8,142.3,45.0,982.0
2025-07-31 15:00:00,31.2,142.1,45.0,981.0
2025-07-31 18:00:00,31.6,142.0,45.0,980.0
2025-07-31 21:00:00,32.1,141.9,50.0,977.0
2025-08-01 00:00:00,32.6,141.7,54.0,974.0
2025-08-01 03:00:00,33.2,141.5,54.0,976.0
2025-08-01 06:00:00,33.7,141.3,54.0,977.0
2025-08-01 09:00:00,34.0,141.2,57.0,977.0
2025-08-01 12:00:00,34.3,141.3,60.0,977.0
2025-08-01 15:00:00,34.7,141.5,57.0,975.0
2025-08-01 18:00:00,35.2,141.8,54.0,973.0
2025-08-01 21:00:00,35.8,142.1,54.0,973.0
2025-08-02 00:00:00,36.4,142.6,54.0,972.0
2025-08-02 03:00:00,37.0,143.2,54.0,973.0
2025-08-02 06:00:00,37.5,144.0,54.0,973.0
2025-08-02 09:00:00,37.9,145.0,54.0,973.0
2025-08-02 12:00:00,38.3,146.0,54.0,973.0
2025-08-02 15:00:00,38.6,146.9,54.0,973.0
2025-08-02 18:00:00,39.0,147.9,54.0,973.0
2025-08-02 21:00:00,39.5,149.2,53.0,975.0
2025-08-03 00:00:00,39.9,150.8,51.0,977.0
2025-08-03 03:00:00,40.3,152.5,51.0,977.0
2025-08-03 06:00:00,40.6,154.2,51.0,978.0
2025-08-03 09:00:00,40.9,155.9,51.0,978.0
2025-08-03 12:00:00,41.2,157.5,51.0,978.0
2025-08-03 15:00:00,41.6,158.9,48.0,981.0
2025-08-03 18:00:00,42.0,160.3,45.0,983.0
2025-08-03 21:00:00,42.4,161.6,42.0,989.0
2025-08-04 00:00:00,42.7,163.0,39.0,995.0
