time,lat,lon,vmax,mslp
2025-07-26 00:00:00,10.5,-140.9,25,1009
2025-07-26 03:00:00,10.6,-141.3,25,1009
2025-07-26 06:00:00,10.7,-141.6,25,1009
2025-07-26 09:00:00,10.8,-141.9,25,1009
2025-07-26 12:00:00,10.8,-142.3,25,1009
2025-07-26 15:00:00,10.9,-142.7,25,1009
2025-07-26 18:00:00,10.9,-143.1,25,1009
2025-07-26 21:00:00,10.9,-143.6,25,1009
2025-07-27 00:00:00,10.9,-144.1,25,1008
2025-07-27 03:00:00,10.9,-144.6,28,1008
2025-07-27 06:00:00,10.9,-145.1,30,1007
2025-07-27 09:00:00,10.9,-145.6,30,1007
2025-07-27 12:00:00,10.9,-146.0,30,1007
2025-07-27 15:00:00,10.9,-146.5,33,1007
2025-07-27 18:00:00,10.9,-146.9,35,1006
2025-07-27 21:00:00,10.9,-147.3,38,1006
2025-07-28 00:00:00,10.9,-147.8,40,1005
2025-07-28 03:00:00,10.9,-148.3,43,1005
2025-07-28 06:00:00,10.8,-148.8,45,1004
2025-07-28 09:00:00,10.7,-149.3,50,1003
2025-07-28 12:00:00,10.7,-149.7,55,1001
2025-07-28 15:00:00,10.7,-150.1,60,999
2025-07-28 18:00:00,10.7,-150.6,65,996
2025-07-28 21:00:00,10.7,-151.1,70,992
2025-07-29 00:00:00,10.8,-151.6,75,988
2025-07-29 03:00:00,10.8,-152.1,88,979
2025-07-29 06:00:00,10.8,-152.6,100,970
2025-07-29 09:00:00,10.8,-153.1,108,963
2025-07-29 12:00:00,10.8,-153.7,115,956
2025-07-29 15:00:00,10.8,-154.3,113,958
2025-07-29 18:00:00,10.9,-155.0,110,960
2025-07-29 21:00:00,10.9,-155.7,105,964
2025-07-30 00:00:00,11.0,-156.4,100,968
2025-07-30 03:00:00,11.1,-157.1,95,972
2025-07-30 06:00:00,11.2,-157.9,90,976
2025-07-30 09:00:00,11.3,-158.7,80,984
2025-07-30 12:00:00,11.4,-159.6,70,991
2025-07-30 15:00:00,11.5,-160.6,63,996
2025-07-30 18:00:00,11.6,-161.7,55,1000
2025-07-30 21:00:00,11.7,-162.8,50,1001
2025-07-31 00:00:00,11.8,-163.8,45,1002
2025-07-31 03:00:00,11.9,-164.9,45,1002
2025-07-31 06:00:00,12.1,-165.9,45,1002
2025-07-31 09:00:00,12.3,-166.9,43,1003
2025-07-31 12:00:00,12.5,-167.9,40,1004
2025-07-31 15:00:00,12.7,-168.9,40,1004
2025-07-31 18:00:00,13.0,-169.8,40,1004
2025-07-31 21:00:00,13.2,-170.8,38,1005
2025-08-01 00:00:00,13.4,-171.7,35,1006
2025-08-01 03:00:00,13.5,-172.7,33,1007
2025-08-01 06:00:00,13.6,-173.6,30,1007
2025-08-01 09:00:00,13.7,-174.5,30,1007
2025-08-01 12:00:00,13.8,-175.5,30,1007
