time,lat,lon,vmax,mslp
2025-08-02 00:00:00,27.3,136.9,25.0,998.0
2025-08-02 03:00:00,27.6,137.8,27.0,997.0
2025-08-02 06:00:00,28.0,138.6,29.0,996.0
2025-08-02 09:00:00,28.7,139.2,29.0,996.0
2025-08-02 12:00:00,29.6,139.6,29.0,996.0
2025-08-02 15:00:00,30.2,140.0,32.0,997.0
2025-08-02 18:00:00,31.0,140.5,35.0,997.0
2025-08-02 21:00:00,32.2,141.1,35.0,998.0
2025-08-03 00:00:00,33.3,141.8,35.0,998.0
2025-08-03 03:00:00,33.9,142.7,35.0,998.0
2025-08-03 06:00:00,34.4,143.6,35.0,998.0
2025-08-03 09:00:00,35.1,144.4,35.0,998.0
2025-08-03 12:00:00,35.8,145.3,35.0,998.0
2025-08-03 15:00:00,36.3,146.2,35.0,999.0
2025-08-03 18:00:00,36.7,147.2,35.0,999.0
2025-08-03 21:00:00,37.0,148.4,35.0,999.0
2025-08-04 00:00:00,37.2,149.6,35.0,998.0
2025-08-04 03:00:00,37.3,150.7,32.0,998.0
2025-08-04 06:00:00,37.4,151.7,29.0,998.0
2025-08-04 09:00:00,37.4,152.8,29.0,998.0
2025-08-04 12:00:00,37.5,153.9,29.0,998.0
2025-08-04 15:00:00,37.7,154.9,29.0,999.0
2025-08-04 18:00:00,38.0,155.7,29.0,999.0
2025-08-04 21:00:00,38.1,156.5,29.0,999.0
2025-08-05 00:00:00,38.1,157.2,29.0,999.0
2025-08-05 03:00:00,38.2,158.0,29.0,999.0
2025-08-05 06:00:00,38.4,158.7,29.0,998.0
2025-08-05 09:00:00,38.7,159.1,28.0,994.0
2025-08-05 12:00:00,39.0,159.5,27.0,990.0
2025-08-05 15:00:00,39.4,159.9,26.0,986.0
2025-08-05 18:00:00,39.7,160.4,25.0,982.0
2025-08-05 21:00:00,40.0,161.2,25.0,982.0
2025-08-06 00:00:00,40.2,162.2,25.0,982.0
