time,lat,lon,vmax,mslp
2025-09-03 12:00:00,27.0,131.6,29.0,1002.0
2025-09-03 15:00:00,27.5,131.3,29.0,1002.0
2025-09-03 18:00:00,28.1,131.1,29.0,1002.0
2025-09-03 21:00:00,28.9,131.0,32.0,1001.0
2025-09-04 00:00:00,29.7,131.1,35.0,999.0
2025-09-04 03:00:00,30.4,131.3,35.0,998.0
2025-09-04 06:00:00,31.0,131.5,35.0,996.0
2025-09-04 09:00:00,31.7,131.7,35.0,997.0
2025-09-04 12:00:00,32.3,132.0,35.0,997.0
2025-09-04 15:00:00,32.7,132.2,35.0,999.0
2025-09-04 16:00:00,32.9,132.4,35.0,999.0
2025-09-04 18:00:00,33.1,132.8,35.0,1000.0
2025-09-04 21:00:00,33.5,133.9,37.0,999.0
2025-09-04 23:00:00,33.8,134.9,38.0,998.0
2025-09-05 00:00:00,33.9,135.5,39.0,998.0
2025-09-05 03:00:00,34.4,137.3,42.0,995.0
2025-09-05 04:00:00,34.6,138.0,43.0,994.0
2025-09-05 06:00:00,34.9,139.3,45.0,992.0
2025-09-05 07:00:00,35.0,139.9,46.0,992.0
2025-09-05 09:00:00,35.3,141.1,48.0,991.0
2025-09-05 12:00:00,35.6,142.9,51.0,990.0
