time,lat,lon,vmax,mslp
2025-09-29 18:00:00,9.3,-112.2,30,1008
2025-09-29 21:00:00,9.3,-112.3,30,1008
2025-09-30 00:00:00,9.3,-112.4,30,1008
2025-09-30 03:00:00,9.3,-112.6,30,1008
2025-09-30 06:00:00,9.3,-112.9,30,1007
2025-09-30 09:00:00,9.4,-113.1,33,1006
2025-09-30 12:00:00,9.5,-113.3,35,1005
2025-09-30 15:00:00,9.7,-113.5,35,1005
2025-09-30 18:00:00,9.9,-113.8,35,1005
2025-09-30 21:00:00,10.1,-114.1,38,1004
2025-10-01 00:00:00,10.3,-114.3,40,1003
2025-10-01 03:00:00,10.6,-114.5,43,1003
2025-10-01 06:00:00,10.9,-114.8,45,1002
2025-10-01 09:00:00,11.2,-115.1,48,1001
2025-10-01 12:00:00,11.4,-115.4,50,1000
2025-10-01 15:00:00,11.6,-115.6,50,1000
2025-10-01 18:00:00,11.7,-115.9,50,1000
2025-10-01 21:00:00,11.8,-116.2,53,1000
2025-10-02 00:00:00,11.9,-116.6,55,999
2025-10-02 03:00:00,11.9,-117.0,55,999
2025-10-02 06:00:00,12.0,-117.4,55,999
2025-10-02 09:00:00,12.1,-117.7,55,999
2025-10-02 12:00:00,12.3,-118.0,55,999
2025-10-02 15:00:00,12.5,-118.4,55,999
2025-10-02 18:00:00,12.6,-118.7,55,999
2025-10-02 21:00:00,12.8,-119.0,53,1000
2025-10-03 00:00:00,12.9,-119.2,50,1001
2025-10-03 03:00:00,13.0,-119.5,48,1002
2025-10-03 06:00:00,13.1,-119.9,45,1003
2025-10-03 09:00:00,13.2,-120.3,45,1003
2025-10-03 12:00:00,13.2,-120.8,45,1003
2025-10-03 15:00:00,13.2,-121.2,48,1002
2025-10-03 18:00:00,13.3,-121.6,50,1001
2025-10-03 21:00:00,13.4,-122.0,50,1001
2025-10-04 00:00:00,13.6,-122.3,50,1001
2025-10-04 03:00:00,13.7,-122.6,50,1001
2025-10-04 06:00:00,13.9,-122.9,50,1001
2025-10-04 09:00:00,14.1,-123.2,53,1000
2025-10-04 12:00:00,14.3,-123.5,55,999
2025-10-04 15:00:00,14.5,-123.7,55,999
2025-10-04 18:00:00,14.7,-123.9,55,999
2025-10-04 21:00:00,14.8,-124.0,58,998
2025-10-05 00:00:00,15.0,-124.1,60,996
2025-10-05 03:00:00,15.2,-124.2,63,994
2025-10-05 06:00:00,15.4,-124.2,65,992
2025-10-05 09:00:00,15.5,-124.1,68,990
2025-10-05 12:00:00,15.6,-123.9,70,987
2025-10-05 15:00:00,15.7,-123.7,73,986
2025-10-05 18:00:00,15.9,-123.5,75,984
2025-10-05 21:00:00,16.1,-123.3,78,982
2025-10-06 00:00:00,16.2,-123.1,80,980
2025-10-06 03:00:00,16.3,-122.8,78,982
2025-10-06 06:00:00,16.3,-122.5,75,984
2025-10-06 09:00:00,16.3,-122.2,68,989
2025-10-06 12:00:00,16.3,-121.9,60,993
2025-10-06 15:00:00,16.3,-121.6,55,996
2025-10-06 18:00:00,16.2,-121.3,50,999
2025-10-06 21:00:00,16.0,-121.0,48,1000
2025-10-07 00:00:00,15.9,-120.7,45,1001
2025-10-07 03:00:00,15.8,-120.4,45,1001
2025-10-07 06:00:00,15.8,-120.2,45,1001
2025-10-07 09:00:00,15.8,-120.0,45,1001
2025-10-07 12:00:00,15.7,-119.7,45,1001
2025-10-07 15:00:00,15.6,-119.5,45,1001
2025-10-07 18:00:00,15.5,-119.2,45,1001
2025-10-07 21:00:00,15.4,-118.9,43,1002
2025-10-08 00:00:00,15.3,-118.5,40,1003
2025-10-08 03:00:00,15.2,-118.2,40,1003
2025-10-08 06:00:00,15.2,-117.8,40,1003
2025-10-08 09:00:00,15.2,-117.4,40,1003
2025-10-08 12:00:00,15.2,-116.9,40,1003
2025-10-08 15:00:00,15.3,-116.4,40,1003
2025-10-08 18:00:00,15.5,-115.8,40,1003
2025-10-08 21:00:00,15.7,-114.9,40,1003
2025-10-09 00:00:00,15.9,-114.0,40,1003
2025-10-09 03:00:00,16.2,-113.2,38,1004
2025-10-09 06:00:00,16.6,-112.4,35,1005
2025-10-09 09:00:00,17.1,-111.7,33,1006
2025-10-09 12:00:00,17.6,-111.0,30,1007
2025-10-09 15:00:00,17.9,-110.3,30,1007
2025-10-09 18:00:00,18.0,-109.6,30,1007
