time,lat,lon,vmax,mslp
2025-10-24 06:00:00,13.1,-113.4,30,1007
2025-10-24 09:00:00,13.2,-113.9,30,1007
2025-10-24 12:00:00,13.2,-114.5,30,1007
2025-10-24 15:00:00,13.2,-115.1,30,1007
2025-10-24 18:00:00,13.2,-115.6,30,1006
2025-10-24 21:00:00,13.2,-116.0,33,1006
2025-10-25 00:00:00,13.2,-116.4,35,1005
2025-10-25 03:00:00,13.2,-116.8,38,1005
2025-10-25 06:00:00,13.3,-117.2,40,1004
2025-10-25 09:00:00,13.4,-117.6,43,1003
2025-10-25 12:00:00,13.4,-117.9,45,1002
2025-10-25 15:00:00,13.4,-118.3,45,1002
2025-10-25 18:00:00,13.4,-118.7,45,1001
2025-10-25 21:00:00,13.4,-118.9,45,1001
2025-10-26 00:00:00,13.4,-119.0,45,1001
2025-10-26 03:00:00,13.4,-119.1,45,1002
2025-10-26 06:00:00,13.4,-119.2,45,1002
2025-10-26 09:00:00,13.4,-119.3,45,1002
2025-10-26 12:00:00,13.5,-119.4,45,1002
2025-10-26 15:00:00,13.6,-119.5,43,1003
2025-10-26 18:00:00,13.7,-119.5,40,1004
2025-10-26 21:00:00,13.8,-119.6,40,1004
2025-10-27 00:00:00,13.9,-119.7,40,1004
2025-10-27 03:00:00,14.0,-120.0,40,1004
2025-10-27 06:00:00,14.0,-120.3,40,1004
2025-10-27 09:00:00,13.9,-120.6,38,1005
2025-10-27 12:00:00,13.9,-120.8,35,1005
2025-10-27 15:00:00,13.9,-121.1,35,1005
2025-10-27 18:00:00,14.0,-121.3,35,1005
2025-10-27 21:00:00,14.1,-121.5,35,1005
2025-10-28 00:00:00,14.3,-121.8,35,1005
2025-10-28 03:00:00,14.5,-122.1,38,1005
2025-10-28 06:00:00,14.7,-122.4,40,1004
2025-10-28 09:00:00,14.9,-122.7,40,1004
2025-10-28 12:00:00,15.0,-123.1,40,1004
2025-10-28 15:00:00,15.1,-123.5,38,1005
2025-10-28 18:00:00,15.2,-123.9,35,1006
2025-10-28 21:00:00,15.3,-124.4,33,1007
2025-10-29 00:00:00,15.3,-124.8,30,1007
2025-10-29 03:00:00,15.3,-125.2,30,1008
2025-10-29 06:00:00,15.3,-125.6,30,1008
2025-10-29 09:00:00,15.3,-126.1,28,1009
2025-10-29 12:00:00,15.4,-126.6,25,1009
2025-10-29 15:00:00,15.5,-127.2,25,1009
2025-10-29 18:00:00,15.5,-127.8,25,1009
