time,lat,lon,vmax,mslp
2026-05-31 12:00:00,8.0,-123.0,15,1009
2026-05-31 15:00:00,8.1,-123.2,15,1009
2026-05-31 18:00:00,8.1,-123.3,15,1009
2026-05-31 21:00:00,8.1,-123.4,15,1009
2026-06-01 00:00:00,8.2,-123.6,15,1009
2026-06-01 03:00:00,8.2,-123.8,18,1009
2026-06-01 06:00:00,8.3,-124.0,20,1009
2026-06-01 09:00:00,8.4,-124.3,20,1009
2026-06-01 12:00:00,8.6,-124.7,20,1009
2026-06-01 15:00:00,8.7,-125.1,20,1009
2026-06-01 18:00:00,8.9,-125.5,20,1009
2026-06-01 21:00:00,9.1,-125.7,20,1009
2026-06-02 00:00:00,9.3,-125.8,20,1009
2026-06-02 03:00:00,9.4,-126.0,23,1009
2026-06-02 06:00:00,9.4,-126.1,25,1009
2026-06-02 09:00:00,9.4,-126.2,25,1009
2026-06-02 12:00:00,9.4,-126.3,25,1009
2026-06-02 15:00:00,9.4,-126.4,25,1009
2026-06-02 18:00:00,9.4,-126.5,25,1008
2026-06-02 21:00:00,9.5,-126.6,25,1008
2026-06-03 00:00:00,9.6,-126.7,25,1008
2026-06-03 03:00:00,9.8,-126.9,28,1008
2026-06-03 06:00:00,10.0,-127.1,30,1007
2026-06-03 09:00:00,10.1,-127.4,33,1007
2026-06-03 12:00:00,10.3,-127.8,35,1006
2026-06-03 15:00:00,10.5,-128.1,35,1006
2026-06-03 18:00:00,10.8,-128.3,35,1006
2026-06-03 21:00:00,11.0,-128.6,35,1006
2026-06-04 00:00:00,11.2,-128.9,35,1006
2026-06-04 03:00:00,11.5,-129.2,35,1006
2026-06-04 06:00:00,11.8,-129.5,35,1006
2026-06-04 09:00:00,12.1,-129.8,35,1006
2026-06-04 12:00:00,12.3,-130.2,35,1006
2026-06-04 15:00:00,12.4,-130.5,38,1005
2026-06-04 18:00:00,12.6,-130.8,40,1004
2026-06-04 21:00:00,12.9,-131.2,40,1004
2026-06-05 00:00:00,13.1,-131.6,40,1004
2026-06-05 03:00:00,13.2,-132.1,40,1004
2026-06-05 06:00:00,13.3,-132.5,40,1004
2026-06-05 09:00:00,13.3,-132.9,40,1004
2026-06-05 12:00:00,13.3,-133.2,40,1004
2026-06-05 15:00:00,13.3,-133.5,38,1005
2026-06-05 18:00:00,13.3,-133.7,35,1006
2026-06-05 21:00:00,13.3,-133.8,35,1006
2026-06-06 00:00:00,13.2,-133.9,35,1006
2026-06-06 03:00:00,13.1,-134.0,35,1006
2026-06-06 06:00:00,13.0,-134.2,35,1006
2026-06-06 09:00:00,12.9,-134.4,35,1006
2026-06-06 12:00:00,12.7,-134.5,35,1006
2026-06-06 15:00:00,12.5,-134.6,33,1007
2026-06-06 18:00:00,12.4,-134.7,30,1007
2026-06-06 21:00:00,12.3,-134.8,30,1007
2026-06-07 00:00:00,12.2,-134.9,30,1007
2026-06-07 03:00:00,12.0,-134.9,30,1007
2026-06-07 06:00:00,11.8,-135.0,30,1007
2026-06-07 09:00:00,11.7,-135.1,30,1007
2026-06-07 12:00:00,11.6,-135.2,30,1007
2026-06-07 15:00:00,11.5,-135.3,30,1007
2026-06-07 18:00:00,11.4,-135.5,30,1007
2026-06-07 21:00:00,11.3,-135.7,28,1007
2026-06-08 00:00:00,11.3,-136.0,25,1007
