time,lat,lon,vmax,mslp
2003-06-28 06:00:00,19.5,-89.0,20,1009
2003-06-28 09:00:00,19.8,-89.2,20,1009
2003-06-28 12:00:00,20.0,-89.3,20,1008
2003-06-28 15:00:00,20.1,-89.3,20,1008
2003-06-28 18:00:00,20.3,-89.4,20,1008
2003-06-28 21:00:00,20.6,-89.6,20,1008
2003-06-29 00:00:00,21.0,-89.8,20,1008
2003-06-29 03:00:00,21.4,-89.9,25,1008
2003-06-29 06:00:00,22.0,-90.0,30,1007
2003-06-29 09:00:00,22.7,-90.2,33,1007
2003-06-29 12:00:00,23.4,-90.5,35,1007
2003-06-29 15:00:00,24.0,-90.8,38,1008
2003-06-29 18:00:00,24.6,-91.1,40,1009
2003-06-29 21:00:00,25.2,-91.2,43,1009
2003-06-30 00:00:00,25.9,-91.3,45,1008
2003-06-30 03:00:00,26.5,-91.4,45,1008
2003-06-30 06:00:00,27.1,-91.5,45,1007
2003-06-30 09:00:00,27.7,-91.6,48,1005
2003-06-30 12:00:00,28.2,-91.5,50,1002
2003-06-30 15:00:00,28.6,-91.2,50,1000
2003-06-30 18:00:00,29.1,-91.0,50,997
2003-06-30 19:00:00,29.3,-91.0,50,997
2003-06-30 21:00:00,29.7,-90.8,48,997
2003-07-01 00:00:00,30.4,-90.3,45,998
2003-07-01 03:00:00,31.0,-89.8,38,1001
2003-07-01 06:00:00,31.6,-89.3,30,1003
2003-07-01 09:00:00,32.2,-88.9,28,1004
2003-07-01 12:00:00,32.7,-88.4,25,1004
2003-07-01 15:00:00,33.2,-87.7,23,1006
2003-07-01 18:00:00,33.6,-87.0,20,1007
2003-07-01 21:00:00,33.8,-86.5,20,1007
2003-07-02 00:00:00,34.1,-86.0,20,1007
2003-07-02 03:00:00,34.5,-85.3,20,1007
2003-07-02 06:00:00,35.0,-84.5,20,1007
2003-07-02 09:00:00,35.3,-84.0,20,1008
2003-07-02 12:00:00,35.6,-83.5,20,1009
2003-07-02 15:00:00,36.0,-82.9,20,1009
2003-07-02 18:00:00,36.5,-82.0,20,1009
2003-07-02 21:00:00,36.9,-80.8,20,1009
2003-07-03 00:00:00,37.3,-79.5,20,1009
