time,lat,lon,vmax,mslp
2003-07-16 12:00:00,30.8,-54.1,25,1017
2003-07-16 15:00:00,31.3,-54.4,28,1016
2003-07-16 18:00:00,31.7,-54.7,30,1015
2003-07-16 21:00:00,32.1,-55.0,33,1014
2003-07-17 00:00:00,32.5,-55.2,35,1013
2003-07-17 03:00:00,32.9,-55.4,40,1012
2003-07-17 06:00:00,33.4,-55.6,45,1011
2003-07-17 09:00:00,33.9,-56.0,48,1010
2003-07-17 12:00:00,34.4,-56.4,50,1009
2003-07-17 15:00:00,34.9,-56.6,53,1009
2003-07-17 18:00:00,35.3,-56.6,55,1008
2003-07-17 21:00:00,35.7,-56.5,55,1008
2003-07-18 00:00:00,36.2,-56.4,55,1007
2003-07-18 03:00:00,36.6,-56.3,55,1007
2003-07-18 06:00:00,37.1,-56.0,55,1006
2003-07-18 09:00:00,37.6,-55.5,58,1005
2003-07-18 12:00:00,38.1,-54.9,60,1003
2003-07-18 15:00:00,38.7,-54.2,63,1003
2003-07-18 18:00:00,39.2,-53.4,65,1002
2003-07-18 21:00:00,39.7,-52.6,65,1002
2003-07-19 00:00:00,40.1,-51.7,65,1001
2003-07-19 03:00:00,40.6,-50.9,65,1001
2003-07-19 06:00:00,41.1,-50.0,65,1000
2003-07-19 09:00:00,41.6,-48.9,65,1001
2003-07-19 12:00:00,42.1,-47.8,65,1001
2003-07-19 15:00:00,42.5,-46.8,63,1002
2003-07-19 18:00:00,42.7,-45.8,60,1003
2003-07-19 21:00:00,42.8,-44.9,58,1004
2003-07-20 00:00:00,42.7,-44.0,55,1005
2003-07-20 03:00:00,42.6,-43.2,50,1006
2003-07-20 06:00:00,42.5,-42.4,45,1007
2003-07-20 09:00:00,42.3,-41.5,43,1008
2003-07-20 12:00:00,41.9,-40.7,40,1008
2003-07-20 15:00:00,41.4,-39.9,35,1009
2003-07-20 18:00:00,40.9,-39.2,30,1009
2003-07-20 21:00:00,40.3,-38.5,30,1009
2003-07-21 00:00:00,39.8,-37.9,30,1009
2003-07-21 03:00:00,39.3,-37.3,30,1010
2003-07-21 06:00:00,38.8,-36.8,30,1010
2003-07-21 09:00:00,38.3,-36.5,28,1011
2003-07-21 12:00:00,37.9,-36.3,25,1011
2003-07-21 15:00:00,37.5,-36.1,25,1012
2003-07-21 18:00:00,37.1,-35.9,25,1013
2003-07-21 21:00:00,36.7,-35.8,25,1014
2003-07-22 00:00:00,36.3,-35.8,25,1015
2003-07-22 03:00:00,36.0,-36.0,25,1016
2003-07-22 06:00:00,35.7,-36.2,25,1017
2003-07-22 09:00:00,35.5,-36.4,25,1018
2003-07-22 12:00:00,35.3,-36.7,25,1018
2003-07-22 15:00:00,35.2,-36.9,25,1019
2003-07-22 18:00:00,35.1,-37.2,25,1019
2003-07-22 21:00:00,35.0,-37.5,23,1020
2003-07-23 00:00:00,35.0,-37.8,20,1020
2003-07-23 03:00:00,34.9,-38.2,20,1020
2003-07-23 06:00:00,34.9,-38.6,20,1020
2003-07-23 09:00:00,35.2,-38.8,20,1020
2003-07-23 12:00:00,35.5,-39.0,20,1020
2003-07-23 15:00:00,35.8,-39.5,20,1020
2003-07-23 18:00:00,36.0,-40.0,20,1020
2003-07-23 21:00:00,36.0,-40.3,20,1021
2003-07-24 00:00:00,36.0,-40.5,20,1021
2003-07-24 03:00:00,36.3,-40.6,20,1021
2003-07-24 06:00:00,36.6,-40.5,20,1021
2003-07-24 09:00:00,36.6,-40.3,20,1021
2003-07-24 12:00:00,36.5,-40.0,20,1021
2003-07-24 15:00:00,36.4,-39.8,20,1021
2003-07-24 18:00:00,36.4,-39.5,20,1021
2003-07-24 21:00:00,36.5,-39.1,20,1022
2003-07-25 00:00:00,36.5,-38.9,20,1022
2003-07-25 03:00:00,36.4,-39.0,20,1022
2003-07-25 06:00:00,36.3,-39.2,20,1022
2003-07-25 09:00:00,36.2,-39.1,20,1022
2003-07-25 12:00:00,36.0,-39.0,20,1022
2003-07-25 15:00:00,35.8,-38.9,20,1022
2003-07-25 18:00:00,35.5,-39.0,20,1022
2003-07-25 21:00:00,35.0,-39.2,20,1023
2003-07-26 00:00:00,34.5,-39.5,20,1023
2003-07-26 03:00:00,34.1,-39.7,20,1023
2003-07-26 06:00:00,33.8,-40.0,20,1023
2003-07-26 09:00:00,33.4,-40.2,20,1023
2003-07-26 12:00:00,33.0,-40.5,20,1023
2003-07-26 15:00:00,32.5,-40.7,20,1023
2003-07-26 18:00:00,32.0,-41.0,20,1023
2003-07-26 21:00:00,31.4,-41.4,20,1024
2003-07-27 00:00:00,31.0,-42.0,20,1024
2003-07-27 03:00:00,30.9,-42.7,20,1024
2003-07-27 06:00:00,31.0,-43.5,20,1024
