time,lat,lon,vmax,mslp
2003-08-30 12:00:00,24.3,-92.4,30,1008
2003-08-30 15:00:00,24.6,-92.8,33,1009
2003-08-30 18:00:00,24.9,-93.3,35,1009
2003-08-30 21:00:00,25.3,-93.8,35,1009
2003-08-31 00:00:00,25.8,-94.3,35,1009
2003-08-31 03:00:00,26.4,-94.7,35,1009
2003-08-31 06:00:00,27.2,-94.9,35,1008
2003-08-31 09:00:00,28.2,-95.0,35,1007
2003-08-31 11:00:00,29.0,-95.1,35,1007
2003-08-31 12:00:00,29.4,-95.2,35,1007
2003-08-31 15:00:00,30.0,-95.4,33,1008
2003-08-31 18:00:00,30.1,-95.6,30,1009
2003-08-31 21:00:00,30.5,-96.0,28,1009
2003-09-01 00:00:00,30.9,-96.4,25,1009
2003-09-01 03:00:00,31.4,-96.6,23,1010
2003-09-01 06:00:00,31.9,-96.6,20,1010
2003-09-01 09:00:00,32.2,-96.6,20,1010
2003-09-01 12:00:00,32.6,-96.5,20,1010
2003-09-01 15:00:00,33.1,-96.1,20,1011
2003-09-01 18:00:00,33.6,-95.7,20,1011
2003-09-01 21:00:00,33.9,-95.3,18,1011
2003-09-02 00:00:00,34.1,-95.0,15,1011
2003-09-02 03:00:00,34.3,-94.7,15,1012
2003-09-02 06:00:00,34.6,-94.5,15,1013
