time,lat,lon,vmax,mslp
2003-09-24 12:00:00,28.2,-62.4,25,1009
2003-09-24 15:00:00,28.3,-62.3,28,1008
2003-09-24 18:00:00,28.3,-62.2,30,1007
2003-09-24 21:00:00,28.3,-62.1,33,1007
2003-09-25 00:00:00,28.4,-62.0,35,1006
2003-09-25 03:00:00,28.6,-61.9,38,1004
2003-09-25 06:00:00,28.8,-61.7,40,1002
2003-09-25 09:00:00,28.9,-61.5,43,1001
2003-09-25 12:00:00,29.2,-61.4,45,1000
2003-09-25 15:00:00,29.8,-61.5,48,998
2003-09-25 18:00:00,30.4,-61.6,50,996
2003-09-25 21:00:00,30.7,-61.7,53,994
2003-09-26 00:00:00,30.9,-61.8,55,992
2003-09-26 03:00:00,31.0,-61.8,58,991
2003-09-26 06:00:00,31.1,-61.8,60,990
2003-09-26 09:00:00,31.4,-61.9,63,989
2003-09-26 12:00:00,31.8,-62.0,65,987
2003-09-26 15:00:00,32.1,-62.0,68,987
2003-09-26 18:00:00,32.5,-62.0,70,987
2003-09-26 21:00:00,32.9,-62.0,73,986
2003-09-27 00:00:00,33.3,-62.0,75,984
2003-09-27 03:00:00,33.8,-62.1,75,983
2003-09-27 06:00:00,34.4,-62.2,75,981
2003-09-27 09:00:00,34.9,-62.5,75,980
2003-09-27 12:00:00,35.2,-62.8,75,979
2003-09-27 15:00:00,35.3,-63.0,83,974
2003-09-27 18:00:00,35.5,-63.2,90,969
2003-09-27 21:00:00,35.9,-63.4,90,970
2003-09-28 00:00:00,36.3,-63.6,90,970
2003-09-28 03:00:00,36.7,-63.8,90,970
2003-09-28 06:00:00,37.1,-64.0,90,970
2003-09-28 09:00:00,37.7,-64.1,90,970
2003-09-28 12:00:00,38.5,-64.1,90,970
2003-09-28 15:00:00,39.3,-64.1,90,970
2003-09-28 18:00:00,40.2,-64.1,90,970
2003-09-28 21:00:00,41.4,-64.0,88,971
2003-09-29 00:00:00,42.8,-63.9,85,972
2003-09-29 03:00:00,44.4,-63.8,85,973
2003-09-29 06:00:00,46.0,-63.8,65,982
2003-09-29 09:00:00,47.8,-63.3,55,989
2003-09-29 12:00:00,49.8,-62.4,45,995
