time,lat,lon,vmax,mslp
2003-09-27 18:00:00,18.5,-84.7,15,1009
2003-09-27 21:00:00,18.6,-84.8,15,1009
2003-09-28 00:00:00,18.7,-84.9,15,1009
2003-09-28 03:00:00,18.8,-85.1,18,1009
2003-09-28 06:00:00,19.0,-85.3,20,1008
2003-09-28 09:00:00,19.1,-85.6,20,1008
2003-09-28 12:00:00,19.3,-86.0,20,1008
2003-09-28 15:00:00,19.5,-86.5,20,1008
2003-09-28 18:00:00,19.7,-86.9,20,1008
2003-09-28 21:00:00,19.9,-87.2,20,1008
2003-09-29 00:00:00,20.0,-87.5,20,1007
2003-09-29 03:00:00,20.1,-87.8,20,1007
2003-09-29 06:00:00,20.3,-88.2,20,1007
2003-09-29 09:00:00,20.4,-88.6,20,1007
2003-09-29 12:00:00,20.6,-88.9,20,1007
2003-09-29 15:00:00,20.8,-89.2,20,1007
2003-09-29 18:00:00,21.0,-89.6,20,1007
2003-09-29 21:00:00,21.1,-90.0,23,1007
2003-09-30 00:00:00,21.2,-90.5,25,1007
2003-09-30 03:00:00,21.3,-91.0,25,1007
2003-09-30 06:00:00,21.4,-91.5,25,1007
2003-09-30 09:00:00,21.4,-91.8,28,1007
2003-09-30 12:00:00,21.3,-92.1,30,1007
2003-09-30 15:00:00,21.3,-92.3,33,1007
2003-09-30 18:00:00,21.2,-92.5,35,1006
2003-09-30 21:00:00,21.0,-92.7,38,1006
2003-10-01 00:00:00,20.9,-92.9,40,1006
2003-10-01 03:00:00,20.9,-92.9,40,1006
2003-10-01 06:00:00,20.9,-92.9,40,1005
2003-10-01 09:00:00,20.9,-92.9,40,1005
2003-10-01 12:00:00,21.0,-93.0,40,1004
2003-10-01 15:00:00,21.0,-93.1,43,1004
2003-10-01 18:00:00,21.0,-93.2,45,1003
2003-10-01 21:00:00,21.0,-93.3,45,1003
2003-10-02 00:00:00,20.9,-93.4,45,1002
2003-10-02 03:00:00,20.8,-93.4,45,1001
2003-10-02 06:00:00,20.7,-93.4,45,1000
2003-10-02 09:00:00,20.6,-93.4,45,999
2003-10-02 12:00:00,20.5,-93.4,45,998
2003-10-02 15:00:00,20.4,-93.5,48,997
2003-10-02 18:00:00,20.4,-93.6,50,996
2003-10-02 21:00:00,20.5,-93.8,53,995
2003-10-03 00:00:00,20.5,-94.0,55,993
2003-10-03 03:00:00,20.4,-94.2,53,994
2003-10-03 06:00:00,20.3,-94.3,50,994
2003-10-03 09:00:00,20.2,-94.4,50,994
2003-10-03 12:00:00,20.1,-94.5,50,994
2003-10-03 15:00:00,20.0,-94.6,50,995
2003-10-03 18:00:00,19.9,-94.7,50,995
2003-10-03 21:00:00,19.7,-94.7,50,995
2003-10-04 00:00:00,19.6,-94.5,50,995
2003-10-04 03:00:00,19.5,-94.3,50,995
2003-10-04 06:00:00,19.5,-94.0,50,994
2003-10-04 09:00:00,19.4,-93.9,50,994
2003-10-04 12:00:00,19.3,-93.8,50,994
2003-10-04 15:00:00,19.0,-93.8,50,995
2003-10-04 18:00:00,18.8,-93.8,50,996
2003-10-04 21:00:00,18.7,-93.7,50,996
2003-10-05 00:00:00,18.6,-93.6,50,996
2003-10-05 03:00:00,18.5,-93.5,50,996
2003-10-05 06:00:00,18.5,-93.5,50,996
2003-10-05 09:00:00,18.4,-93.5,50,996
2003-10-05 10:00:00,18.4,-93.5,50,996
2003-10-05 12:00:00,18.4,-93.5,50,997
2003-10-05 15:00:00,18.3,-93.6,45,999
2003-10-05 18:00:00,18.2,-93.7,40,1000
2003-10-05 21:00:00,18.1,-93.8,38,1002
2003-10-06 00:00:00,17.9,-93.8,35,1003
2003-10-06 03:00:00,17.7,-93.8,30,1004
2003-10-06 06:00:00,17.5,-93.9,25,1005
2003-10-06 09:00:00,17.3,-94.0,23,1006
2003-10-06 12:00:00,17.2,-94.1,20,1006
2003-10-06 15:00:00,17.0,-94.2,20,1006
2003-10-06 18:00:00,16.9,-94.3,20,1006
2003-10-06 21:00:00,16.7,-94.4,18,1007
2003-10-07 00:00:00,16.6,-94.5,15,1007
2003-10-07 03:00:00,16.4,-94.6,15,1007
2003-10-07 06:00:00,16.3,-94.7,15,1007
2003-10-07 09:00:00,16.1,-94.8,15,1008
2003-10-07 12:00:00,16.0,-95.0,15,1008
2003-10-07 15:00:00,15.9,-95.2,15,1009
2003-10-07 18:00:00,15.8,-95.3,15,1009
