time,lat,lon,vmax,mslp
2003-12-07 18:00:00,27.5,-34.5,40,1005
2003-12-07 21:00:00,26.9,-34.6,40,1005
2003-12-08 00:00:00,26.1,-34.8,40,1004
2003-12-08 03:00:00,25.1,-35.2,40,1004
2003-12-08 06:00:00,24.1,-35.8,40,1004
2003-12-08 09:00:00,23.2,-36.3,40,1004
2003-12-08 12:00:00,22.4,-36.8,40,1004
2003-12-08 15:00:00,21.4,-37.4,40,1004
2003-12-08 18:00:00,20.7,-37.9,40,1004
2003-12-08 21:00:00,20.5,-37.9,40,1003
2003-12-09 00:00:00,20.4,-37.7,40,1002
2003-12-09 03:00:00,20.2,-37.5,40,1000
2003-12-09 06:00:00,20.0,-37.4,40,998
2003-12-09 09:00:00,19.6,-37.3,45,995
2003-12-09 12:00:00,19.5,-37.2,50,992
2003-12-09 15:00:00,20.1,-37.1,55,991
2003-12-09 18:00:00,21.0,-37.0,60,990
2003-12-09 21:00:00,21.6,-37.0,53,995
2003-12-10 00:00:00,22.2,-37.0,45,1000
2003-12-10 03:00:00,22.7,-37.0,40,1003
2003-12-10 06:00:00,23.1,-37.1,35,1005
2003-12-10 09:00:00,23.4,-37.1,33,1005
2003-12-10 12:00:00,23.8,-37.1,30,1005
2003-12-10 15:00:00,24.4,-36.9,30,1005
2003-12-10 18:00:00,25.0,-36.7,30,1005
2003-12-10 21:00:00,25.5,-36.5,30,1005
2003-12-11 00:00:00,26.0,-36.2,30,1005
2003-12-11 03:00:00,26.7,-35.7,30,1007
2003-12-11 06:00:00,27.5,-35.0,30,1009
