time,lat,lon,vmax,mslp
2004-08-13 18:00:00,9.0,-45.6,30,1011
2004-08-13 21:00:00,9.1,-46.5,30,1011
2004-08-14 00:00:00,9.2,-47.4,30,1011
2004-08-14 03:00:00,9.4,-48.3,30,1011
2004-08-14 06:00:00,9.6,-49.2,30,1011
2004-08-14 09:00:00,9.8,-50.3,30,1011
2004-08-14 12:00:00,10.1,-51.4,30,1011
2004-08-14 15:00:00,10.3,-52.4,33,1011
2004-08-14 18:00:00,10.5,-53.5,35,1010
2004-08-14 21:00:00,10.7,-54.7,35,1010
2004-08-15 00:00:00,11.0,-55.9,35,1010
2004-08-15 03:00:00,11.3,-57.1,40,1010
2004-08-15 06:00:00,11.5,-58.3,45,1009
2004-08-15 09:00:00,11.7,-59.6,45,1009
2004-08-15 12:00:00,11.8,-60.8,45,1009
2004-08-15 15:00:00,11.9,-61.9,40,1010
2004-08-15 18:00:00,12.1,-62.8,35,1010
