time,lat,lon,vmax,mslp
2004-08-27 18:00:00,29.0,-65.2,25,1016
2004-08-27 21:00:00,29.0,-65.4,25,1016
2004-08-28 00:00:00,29.0,-65.7,25,1016
2004-08-28 03:00:00,29.0,-66.0,25,1016
2004-08-28 06:00:00,29.1,-66.2,25,1016
2004-08-28 09:00:00,29.1,-66.4,28,1016
2004-08-28 12:00:00,29.2,-66.6,30,1015
2004-08-28 15:00:00,29.4,-66.8,30,1015
2004-08-28 18:00:00,29.7,-67.2,30,1015
2004-08-28 21:00:00,29.9,-67.8,30,1015
2004-08-29 00:00:00,30.1,-68.4,30,1014
2004-08-29 03:00:00,30.3,-68.8,30,1014
2004-08-29 06:00:00,30.5,-69.2,30,1014
2004-08-29 09:00:00,30.8,-69.5,33,1013
2004-08-29 12:00:00,31.1,-69.8,35,1012
2004-08-29 15:00:00,31.4,-70.2,38,1009
2004-08-29 18:00:00,31.8,-70.5,40,1005
2004-08-29 21:00:00,32.2,-70.8,40,1005
2004-08-30 00:00:00,32.6,-71.1,40,1005
2004-08-30 03:00:00,33.1,-71.3,45,1004
2004-08-30 06:00:00,33.8,-71.5,50,1002
2004-08-30 09:00:00,34.8,-71.5,48,1005
2004-08-30 12:00:00,35.8,-71.5,45,1007
2004-08-30 15:00:00,36.7,-71.5,45,1008
2004-08-30 18:00:00,37.6,-71.4,45,1008
2004-08-30 21:00:00,38.8,-71.4,40,1010
2004-08-31 00:00:00,39.9,-71.3,35,1011
2004-08-31 03:00:00,40.8,-71.1,35,1012
2004-08-31 06:00:00,41.5,-70.9,35,1012
2004-08-31 09:00:00,42.3,-70.7,30,1013
2004-08-31 12:00:00,43.1,-70.5,25,1014
