time,lat,lon,vmax,mslp
2004-09-13 18:00:00,15.9,-60.0,25,1010
2004-09-13 21:00:00,15.9,-60.3,25,1010
2004-09-14 00:00:00,16.0,-60.7,25,1010
2004-09-14 03:00:00,16.1,-61.2,29,1009
2004-09-14 04:00:00,16.2,-61.3,30,1009
2004-09-14 06:00:00,16.3,-61.5,30,1009
2004-09-14 09:00:00,16.4,-62.0,33,1008
2004-09-14 12:00:00,16.4,-62.6,35,1006
2004-09-14 15:00:00,16.5,-63.1,43,1001
2004-09-14 18:00:00,16.7,-63.5,50,996
2004-09-14 21:00:00,16.9,-63.8,53,996
2004-09-15 00:00:00,17.1,-64.0,55,996
2004-09-15 03:00:00,17.2,-64.4,55,995
2004-09-15 06:00:00,17.2,-64.8,55,994
2004-09-15 09:00:00,17.4,-65.1,58,993
2004-09-15 12:00:00,17.6,-65.4,60,991
2004-09-15 15:00:00,17.9,-65.9,60,991
2004-09-15 16:00:00,18.0,-66.0,60,991
2004-09-15 18:00:00,18.1,-66.2,60,991
2004-09-15 21:00:00,18.3,-66.6,60,992
2004-09-16 00:00:00,18.5,-67.1,60,993
2004-09-16 03:00:00,18.6,-67.5,60,993
2004-09-16 06:00:00,18.6,-67.8,60,992
2004-09-16 09:00:00,18.6,-68.0,66,988
2004-09-16 11:00:00,18.6,-68.3,70,985
2004-09-16 12:00:00,18.6,-68.5,70,984
2004-09-16 15:00:00,18.7,-68.9,68,986
2004-09-16 18:00:00,18.8,-69.0,65,988
2004-09-16 21:00:00,19.0,-69.2,63,989
2004-09-17 00:00:00,19.2,-69.4,60,990
2004-09-17 03:00:00,19.3,-69.6,58,990
2004-09-17 06:00:00,19.4,-69.9,55,990
2004-09-17 09:00:00,19.5,-70.3,53,990
2004-09-17 12:00:00,19.7,-70.7,50,990
2004-09-17 15:00:00,19.9,-71.2,40,996
2004-09-17 18:00:00,20.0,-71.6,30,1002
2004-09-17 21:00:00,20.1,-71.8,35,1001
2004-09-18 00:00:00,20.2,-72.0,40,1000
2004-09-18 03:00:00,20.3,-72.3,43,1000
2004-09-18 06:00:00,20.4,-72.5,45,1000
2004-09-18 09:00:00,20.8,-72.7,45,1000
2004-09-18 12:00:00,21.2,-72.8,45,1000
2004-09-18 15:00:00,21.5,-72.6,43,1003
2004-09-18 18:00:00,21.7,-72.3,40,1005
2004-09-18 21:00:00,21.9,-72.2,40,1004
2004-09-19 00:00:00,22.2,-72.2,40,1002
2004-09-19 03:00:00,22.5,-72.2,40,1002
2004-09-19 06:00:00,22.8,-72.3,40,1002
2004-09-19 09:00:00,23.1,-72.4,40,1001
2004-09-19 12:00:00,23.5,-72.5,40,1000
2004-09-19 15:00:00,23.9,-72.4,43,998
2004-09-19 18:00:00,24.2,-72.3,45,996
2004-09-19 21:00:00,24.5,-72.2,48,995
2004-09-20 00:00:00,24.8,-72.1,50,994
2004-09-20 03:00:00,25.1,-72.1,53,993
2004-09-20 06:00:00,25.5,-72.0,55,992
2004-09-20 09:00:00,26.1,-71.9,58,991
2004-09-20 12:00:00,26.6,-71.7,60,989
2004-09-20 15:00:00,27.0,-71.6,68,987
2004-09-20 18:00:00,27.2,-71.4,75,984
2004-09-20 21:00:00,27.3,-71.1,75,983
2004-09-21 00:00:00,27.4,-70.8,75,982
2004-09-21 03:00:00,27.5,-70.5,75,977
2004-09-21 06:00:00,27.6,-70.2,75,972
2004-09-21 09:00:00,27.6,-69.8,75,972
2004-09-21 12:00:00,27.6,-69.5,75,972
2004-09-21 15:00:00,27.5,-69.3,75,972
2004-09-21 18:00:00,27.4,-69.2,75,972
2004-09-21 21:00:00,27.3,-69.0,78,972
2004-09-22 00:00:00,27.2,-68.9,80,972
2004-09-22 03:00:00,27.0,-68.8,83,970
2004-09-22 06:00:00,26.8,-68.7,85,968
2004-09-22 09:00:00,26.6,-68.6,85,968
2004-09-22 12:00:00,26.5,-68.5,85,968
2004-09-22 15:00:00,26.4,-68.6,85,968
2004-09-22 18:00:00,26.2,-68.8,85,967
2004-09-22 21:00:00,25.9,-68.9,85,967
2004-09-23 00:00:00,25.7,-69.0,85,966
2004-09-23 03:00:00,25.6,-69.1,85,966
2004-09-23 06:00:00,25.5,-69.3,85,966
2004-09-23 09:00:00,25.5,-69.4,83,966
2004-09-23 12:00:00,25.5,-69.6,80,966
2004-09-23 15:00:00,25.6,-69.8,78,966
2004-09-23 18:00:00,25.8,-70.0,75,966
2004-09-23 21:00:00,25.9,-70.2,73,966
2004-09-24 00:00:00,26.0,-70.4,70,966
2004-09-24 03:00:00,26.1,-70.8,73,968
2004-09-24 06:00:00,26.1,-71.2,75,969
2004-09-24 09:00:00,26.1,-71.7,78,969
2004-09-24 12:00:00,26.2,-72.2,80,969
2004-09-24 15:00:00,26.3,-72.6,83,969
2004-09-24 18:00:00,26.4,-73.1,85,968
2004-09-24 21:00:00,26.4,-73.7,85,966
2004-09-25 00:00:00,26.4,-74.3,85,964
2004-09-25 03:00:00,26.4,-74.9,88,962
2004-09-25 06:00:00,26.5,-75.6,90,960
2004-09-25 09:00:00,26.5,-76.3,95,959
2004-09-25 12:00:00,26.6,-76.9,100,957
2004-09-25 14:00:00,26.7,-77.3,100,956
2004-09-25 15:00:00,26.8,-77.5,101,955
2004-09-25 18:00:00,26.9,-78.2,105,952
2004-09-25 21:00:00,27.0,-78.8,105,952
2004-09-26 00:00:00,27.1,-79.4,105,951
2004-09-26 03:00:00,27.2,-80.0,105,950
2004-09-26 04:00:00,27.2,-80.2,105,950
2004-09-26 06:00:00,27.3,-80.6,95,953
2004-09-26 09:00:00,27.5,-81.1,85,959
2004-09-26 12:00:00,27.7,-81.6,75,965
2004-09-26 15:00:00,28.0,-82.0,65,968
2004-09-26 18:00:00,28.3,-82.3,55,970
2004-09-26 21:00:00,28.8,-82.5,50,974
2004-09-27 00:00:00,29.3,-82.7,45,978
2004-09-27 03:00:00,29.7,-83.0,43,980
2004-09-27 06:00:00,30.1,-83.3,40,981
2004-09-27 09:00:00,30.6,-83.7,38,984
2004-09-27 12:00:00,31.1,-83.9,35,987
2004-09-27 15:00:00,31.8,-83.8,33,990
2004-09-27 18:00:00,32.5,-83.6,30,993
2004-09-27 21:00:00,32.9,-83.4,28,996
2004-09-28 00:00:00,33.2,-83.2,25,998
2004-09-28 03:00:00,33.6,-82.9,23,999
2004-09-28 06:00:00,34.1,-82.4,20,999
2004-09-28 09:00:00,34.7,-81.8,20,1000
2004-09-28 12:00:00,35.4,-81.0,20,1000
2004-09-28 15:00:00,36.4,-79.8,23,1000
2004-09-28 18:00:00,37.3,-78.4,25,999
2004-09-28 21:00:00,37.9,-77.3,25,999
2004-09-29 00:00:00,38.3,-76.4,25,999
2004-09-29 03:00:00,38.6,-75.6,30,999
2004-09-29 06:00:00,38.8,-74.7,35,999
2004-09-29 09:00:00,38.7,-73.7,35,999
2004-09-29 12:00:00,38.5,-72.5,35,999
