time,lat,lon,vmax,mslp
2004-09-19 18:00:00,13.3,-32.4,30,1004
2004-09-19 21:00:00,13.3,-32.8,30,1004
2004-09-20 00:00:00,13.3,-33.3,30,1004
2004-09-20 03:00:00,13.3,-33.8,30,1004
2004-09-20 06:00:00,13.4,-34.3,30,1004
2004-09-20 09:00:00,13.4,-34.9,35,1003
2004-09-20 12:00:00,13.5,-35.4,40,1002
2004-09-20 15:00:00,13.6,-35.9,45,1000
2004-09-20 18:00:00,13.7,-36.4,50,997
2004-09-20 21:00:00,13.7,-36.9,53,996
2004-09-21 00:00:00,13.7,-37.4,55,994
2004-09-21 03:00:00,13.8,-37.9,58,992
2004-09-21 06:00:00,13.9,-38.3,60,990
2004-09-21 09:00:00,14.0,-38.7,60,990
2004-09-21 12:00:00,14.1,-39.1,60,990
2004-09-21 15:00:00,14.2,-39.4,60,990
2004-09-21 18:00:00,14.3,-39.7,60,990
2004-09-21 21:00:00,14.4,-40.0,58,992
2004-09-22 00:00:00,14.4,-40.2,55,994
2004-09-22 03:00:00,14.4,-40.4,53,996
2004-09-22 06:00:00,14.4,-40.6,50,997
2004-09-22 09:00:00,14.3,-40.9,48,999
2004-09-22 12:00:00,14.2,-41.1,45,1000
2004-09-22 15:00:00,14.1,-41.3,45,1000
2004-09-22 18:00:00,13.9,-41.5,45,1000
2004-09-22 21:00:00,13.5,-41.5,45,1000
2004-09-23 00:00:00,13.2,-41.4,45,1000
2004-09-23 03:00:00,13.0,-41.0,43,1001
2004-09-23 06:00:00,13.0,-40.6,40,1002
2004-09-23 09:00:00,12.9,-40.2,38,1003
2004-09-23 12:00:00,13.1,-40.0,35,1003
2004-09-23 15:00:00,13.7,-40.1,33,1004
2004-09-23 18:00:00,14.3,-40.5,30,1005
2004-09-23 21:00:00,14.4,-41.1,30,1005
2004-09-24 00:00:00,14.3,-41.7,30,1005
2004-09-24 03:00:00,14.0,-42.1,35,1004
2004-09-24 06:00:00,13.8,-42.4,40,1002
