time,lat,lon,vmax,mslp
2005-06-08 18:00:00,16.9,-84.0,25,1004
2005-06-08 21:00:00,17.1,-83.9,28,1004
2005-06-09 00:00:00,17.4,-83.9,30,1003
2005-06-09 03:00:00,17.8,-83.9,33,1003
2005-06-09 06:00:00,18.2,-83.9,35,1003
2005-06-09 09:00:00,18.6,-83.9,35,1003
2005-06-09 12:00:00,19.0,-84.0,35,1002
2005-06-09 15:00:00,19.4,-84.1,35,1002
2005-06-09 18:00:00,19.7,-84.1,35,1002
2005-06-09 21:00:00,20.0,-84.1,38,1002
2005-06-10 00:00:00,20.4,-84.2,40,1001
2005-06-10 03:00:00,20.7,-84.3,43,1001
2005-06-10 06:00:00,21.2,-84.4,45,1000
2005-06-10 08:00:00,21.8,-84.5,45,1000
2005-06-10 09:00:00,22.1,-84.5,46,1000
2005-06-10 12:00:00,23.0,-84.7,50,1000
2005-06-10 15:00:00,24.0,-84.9,53,998
2005-06-10 18:00:00,24.9,-85.1,55,995
2005-06-10 21:00:00,25.9,-85.4,58,993
2005-06-11 00:00:00,26.5,-85.6,60,990
2005-06-11 01:00:00,26.5,-85.6,60,989
2005-06-11 03:00:00,26.8,-85.9,60,991
2005-06-11 06:00:00,27.7,-86.8,60,993
2005-06-11 09:00:00,28.3,-87.1,58,992
2005-06-11 12:00:00,28.9,-87.2,55,990
2005-06-11 15:00:00,29.5,-87.4,53,991
2005-06-11 18:00:00,30.1,-87.5,50,991
2005-06-11 19:00:00,30.3,-87.5,50,991
2005-06-11 21:00:00,30.7,-87.5,42,992
2005-06-12 00:00:00,31.4,-87.6,30,994
2005-06-12 03:00:00,32.0,-87.6,28,996
2005-06-12 06:00:00,32.7,-87.7,25,998
2005-06-12 09:00:00,33.8,-87.9,23,1001
2005-06-12 12:00:00,35.0,-88.0,20,1003
2005-06-12 15:00:00,36.1,-87.9,20,1004
2005-06-12 18:00:00,37.0,-87.8,20,1005
2005-06-12 21:00:00,37.7,-87.7,20,1006
2005-06-13 00:00:00,38.5,-87.5,20,1006
2005-06-13 03:00:00,39.5,-86.8,20,1006
2005-06-13 06:00:00,40.5,-86.0,20,1006
2005-06-13 09:00:00,41.3,-85.5,20,1006
2005-06-13 12:00:00,42.0,-85.0,20,1005
2005-06-13 15:00:00,42.6,-84.6,20,1005
2005-06-13 18:00:00,43.0,-84.0,20,1005
2005-06-13 21:00:00,43.3,-82.7,20,1004
2005-06-14 00:00:00,43.7,-81.1,20,1003
2005-06-14 03:00:00,44.2,-79.4,20,1002
2005-06-14 06:00:00,44.8,-77.6,20,1001
