time,lat,lon,vmax,mslp
2005-07-23 18:00:00,19.3,-92.9,25,1011
2005-07-23 21:00:00,19.5,-93.3,28,1010
2005-07-24 00:00:00,19.8,-93.8,30,1009
2005-07-24 03:00:00,20.3,-94.4,33,1009
2005-07-24 06:00:00,20.8,-95.0,35,1009
2005-07-24 09:00:00,20.9,-95.4,35,1009
2005-07-24 12:00:00,21.0,-95.8,35,1008
2005-07-24 15:00:00,21.2,-96.2,35,1008
2005-07-24 18:00:00,21.4,-96.6,35,1007
2005-07-24 21:00:00,21.6,-97.1,38,1006
2005-07-25 00:00:00,21.8,-97.6,40,1005
2005-07-25 03:00:00,22.1,-98.1,35,1006
2005-07-25 06:00:00,22.3,-98.6,30,1006
2005-07-25 09:00:00,22.4,-99.3,28,1006
2005-07-25 12:00:00,22.5,-100.0,25,1006
2005-07-25 15:00:00,22.5,-100.7,23,1007
2005-07-25 18:00:00,22.5,-101.4,20,1007
