time,lat,lon,vmax,mslp
2005-08-02 18:00:00,28.2,-68.8,30,1006
2005-08-02 21:00:00,28.6,-68.7,30,1006
2005-08-03 00:00:00,28.9,-68.7,30,1005
2005-08-03 03:00:00,29.2,-68.7,35,1004
2005-08-03 06:00:00,29.5,-68.6,40,1003
2005-08-03 09:00:00,29.9,-68.5,43,1002
2005-08-03 12:00:00,30.3,-68.3,45,1001
2005-08-03 15:00:00,30.6,-68.1,48,1000
2005-08-03 18:00:00,30.9,-67.7,50,999
2005-08-03 21:00:00,31.1,-67.1,50,998
2005-08-04 00:00:00,31.3,-66.4,50,997
2005-08-04 03:00:00,31.5,-65.7,50,996
2005-08-04 06:00:00,31.6,-65.0,50,995
2005-08-04 09:00:00,31.8,-64.3,50,995
2005-08-04 12:00:00,31.9,-63.6,50,995
2005-08-04 15:00:00,32.0,-62.9,53,995
2005-08-04 18:00:00,32.0,-62.1,55,994
2005-08-04 21:00:00,32.0,-61.3,55,994
2005-08-05 00:00:00,32.1,-60.5,55,994
2005-08-05 03:00:00,32.2,-59.9,55,994
2005-08-05 06:00:00,32.4,-59.4,55,994
2005-08-05 09:00:00,32.5,-58.9,53,995
2005-08-05 12:00:00,32.5,-58.5,50,995
2005-08-05 15:00:00,32.5,-58.1,48,996
2005-08-05 18:00:00,32.5,-57.7,45,997
2005-08-05 21:00:00,32.5,-57.4,45,997
2005-08-06 00:00:00,32.6,-57.1,45,997
2005-08-06 03:00:00,32.8,-56.9,48,996
2005-08-06 06:00:00,33.0,-56.8,50,995
2005-08-06 09:00:00,33.3,-56.7,50,995
2005-08-06 12:00:00,33.5,-56.7,50,995
2005-08-06 15:00:00,33.5,-56.8,50,995
2005-08-06 18:00:00,33.5,-56.7,50,995
2005-08-06 21:00:00,33.7,-56.1,50,995
2005-08-07 00:00:00,34.1,-55.5,50,995
2005-08-07 03:00:00,34.6,-55.2,50,995
2005-08-07 06:00:00,35.1,-54.9,50,995
2005-08-07 09:00:00,35.6,-54.5,48,997
2005-08-07 12:00:00,36.0,-54.0,45,998
2005-08-07 15:00:00,36.4,-53.5,45,998
2005-08-07 18:00:00,36.8,-52.9,45,998
2005-08-07 21:00:00,37.2,-52.4,45,998
2005-08-08 00:00:00,37.6,-51.9,45,998
2005-08-08 03:00:00,38.1,-51.4,45,998
2005-08-08 06:00:00,38.6,-50.7,45,998
2005-08-08 09:00:00,39.1,-49.7,45,998
2005-08-08 12:00:00,39.6,-48.6,45,998
2005-08-08 15:00:00,40.0,-47.7,45,998
2005-08-08 18:00:00,40.4,-46.9,45,998
2005-08-08 21:00:00,40.8,-46.0,45,998
2005-08-09 00:00:00,41.2,-45.0,45,997
2005-08-09 03:00:00,41.5,-44.0,48,996
2005-08-09 06:00:00,41.8,-43.0,50,995
2005-08-09 09:00:00,42.0,-42.1,50,995
2005-08-09 12:00:00,42.3,-41.1,50,995
2005-08-09 15:00:00,42.6,-40.0,50,995
2005-08-09 18:00:00,43.0,-39.0,50,994
2005-08-09 21:00:00,43.5,-38.0,50,994
2005-08-10 00:00:00,44.0,-37.1,50,994
2005-08-10 03:00:00,44.3,-36.1,50,994
2005-08-10 06:00:00,44.5,-35.2,50,994
2005-08-10 09:00:00,44.5,-34.6,50,994
2005-08-10 12:00:00,44.5,-34.1,50,994
2005-08-10 15:00:00,44.5,-33.6,50,994
2005-08-10 18:00:00,44.4,-33.1,50,994
2005-08-10 21:00:00,44.3,-32.6,48,996
2005-08-11 00:00:00,44.2,-32.2,45,997
2005-08-11 03:00:00,44.1,-31.8,43,999
2005-08-11 06:00:00,43.9,-31.5,40,1000
2005-08-11 09:00:00,43.7,-31.2,38,1002
2005-08-11 12:00:00,43.5,-31.0,35,1003
2005-08-11 15:00:00,43.4,-30.8,33,1004
2005-08-11 18:00:00,43.3,-30.7,30,1005
2005-08-11 21:00:00,43.2,-30.6,30,1006
2005-08-12 00:00:00,43.0,-30.5,30,1007
2005-08-12 03:00:00,42.8,-30.6,30,1008
2005-08-12 06:00:00,42.5,-30.8,30,1008
2005-08-12 09:00:00,42.3,-31.1,30,1009
2005-08-12 12:00:00,42.0,-31.4,30,1009
2005-08-12 15:00:00,41.7,-31.5,28,1010
2005-08-12 18:00:00,41.3,-31.5,25,1010
2005-08-12 21:00:00,41.0,-31.5,25,1010
2005-08-13 00:00:00,40.7,-31.5,25,1010
2005-08-13 03:00:00,40.6,-31.5,25,1011
2005-08-13 06:00:00,40.5,-31.5,25,1011
2005-08-13 09:00:00,40.4,-31.5,25,1011
2005-08-13 12:00:00,40.5,-31.5,25,1011
2005-08-13 15:00:00,40.8,-31.7,25,1012
2005-08-13 18:00:00,41.2,-32.0,25,1012
2005-08-13 21:00:00,41.6,-32.3,25,1014
2005-08-14 00:00:00,42.0,-32.5,25,1015
