time,lat,lon,vmax,mslp
2005-08-04 18:00:00,12.9,-33.5,25,1009
2005-08-04 21:00:00,13.2,-34.0,25,1009
2005-08-05 00:00:00,13.6,-34.5,25,1009
2005-08-05 03:00:00,14.1,-35.0,25,1009
2005-08-05 06:00:00,14.6,-35.5,25,1009
2005-08-05 09:00:00,15.1,-36.1,28,1009
2005-08-05 12:00:00,15.6,-36.8,30,1008
2005-08-05 15:00:00,16.1,-37.6,30,1008
2005-08-05 18:00:00,16.6,-38.4,30,1008
2005-08-05 21:00:00,16.9,-39.2,30,1008
2005-08-06 00:00:00,17.2,-39.8,30,1008
2005-08-06 03:00:00,17.5,-40.2,30,1008
2005-08-06 06:00:00,17.7,-40.5,30,1008
2005-08-06 09:00:00,17.9,-41.0,30,1008
2005-08-06 12:00:00,18.2,-41.6,30,1008
2005-08-06 15:00:00,18.5,-42.2,30,1008
2005-08-06 18:00:00,18.8,-42.8,30,1008
2005-08-06 21:00:00,19.1,-43.2,30,1008
2005-08-07 00:00:00,19.3,-43.5,30,1008
2005-08-07 03:00:00,19.5,-43.8,30,1008
2005-08-07 06:00:00,19.7,-44.2,30,1007
2005-08-07 09:00:00,19.9,-44.6,33,1006
2005-08-07 12:00:00,20.2,-45.0,35,1005
2005-08-07 15:00:00,20.5,-45.5,35,1005
2005-08-07 18:00:00,20.8,-46.0,35,1005
2005-08-07 21:00:00,21.1,-46.6,35,1005
2005-08-08 00:00:00,21.3,-47.2,35,1005
2005-08-08 03:00:00,21.6,-47.7,35,1006
2005-08-08 06:00:00,21.8,-48.3,35,1006
2005-08-08 09:00:00,22.0,-49.1,33,1008
2005-08-08 12:00:00,22.2,-49.9,30,1009
2005-08-08 15:00:00,22.3,-50.4,30,1009
2005-08-08 18:00:00,22.4,-50.9,30,1009
2005-08-08 21:00:00,22.5,-51.5,30,1009
2005-08-09 00:00:00,22.5,-52.0,30,1009
2005-08-09 03:00:00,22.5,-52.5,30,1009
2005-08-09 06:00:00,22.4,-52.9,30,1009
2005-08-09 09:00:00,22.4,-53.3,30,1009
2005-08-09 12:00:00,22.4,-53.7,30,1009
2005-08-09 15:00:00,22.4,-54.2,30,1009
2005-08-09 18:00:00,22.4,-54.8,30,1009
2005-08-09 21:00:00,22.4,-55.3,30,1009
2005-08-10 00:00:00,22.4,-55.7,30,1009
2005-08-10 03:00:00,22.3,-56.1,30,1009
2005-08-10 06:00:00,22.3,-56.5,30,1009
2005-08-10 09:00:00,22.3,-56.8,30,1009
2005-08-10 12:00:00,22.4,-57.2,30,1009
2005-08-10 15:00:00,22.6,-57.6,30,1009
2005-08-10 18:00:00,22.8,-58.1,30,1008
2005-08-10 21:00:00,23.0,-58.7,33,1007
2005-08-11 00:00:00,23.3,-59.3,35,1005
2005-08-11 03:00:00,23.6,-59.8,38,1004
2005-08-11 06:00:00,23.9,-60.4,40,1003
2005-08-11 09:00:00,24.3,-61.0,43,1002
2005-08-11 12:00:00,24.7,-61.7,45,1001
2005-08-11 15:00:00,25.0,-62.3,45,1001
2005-08-11 18:00:00,25.4,-62.9,45,1001
2005-08-11 21:00:00,25.8,-63.3,45,1001
2005-08-12 00:00:00,26.3,-63.8,45,1001
2005-08-12 03:00:00,26.8,-64.4,50,1000
2005-08-12 06:00:00,27.2,-65.1,55,998
2005-08-12 09:00:00,27.6,-65.7,55,997
2005-08-12 12:00:00,27.9,-66.3,55,996
2005-08-12 15:00:00,28.2,-66.7,55,996
2005-08-12 18:00:00,28.4,-67.1,55,995
2005-08-12 21:00:00,28.6,-67.4,58,994
2005-08-13 00:00:00,28.9,-67.7,60,993
2005-08-13 03:00:00,29.3,-67.9,60,995
2005-08-13 06:00:00,29.6,-68.2,60,996
2005-08-13 09:00:00,29.8,-68.6,60,997
2005-08-13 12:00:00,30.0,-69.0,60,997
2005-08-13 15:00:00,30.4,-69.2,60,999
2005-08-13 18:00:00,30.8,-69.4,60,1000
2005-08-13 21:00:00,31.2,-69.7,60,999
2005-08-14 00:00:00,31.6,-69.9,60,997
2005-08-14 03:00:00,31.8,-70.1,58,998
2005-08-14 06:00:00,32.1,-70.2,55,999
2005-08-14 09:00:00,32.6,-70.2,55,999
2005-08-14 12:00:00,33.1,-70.1,55,999
2005-08-14 15:00:00,33.6,-70.1,58,997
2005-08-14 18:00:00,34.0,-70.0,60,994
2005-08-14 21:00:00,34.5,-69.8,65,992
2005-08-15 00:00:00,34.9,-69.5,70,989
2005-08-15 03:00:00,35.3,-69.1,73,987
2005-08-15 06:00:00,35.7,-68.7,75,985
2005-08-15 09:00:00,36.0,-68.2,75,985
2005-08-15 12:00:00,36.3,-67.7,75,985
2005-08-15 15:00:00,36.4,-67.1,78,983
2005-08-15 18:00:00,36.5,-66.5,80,980
2005-08-15 21:00:00,36.6,-65.8,80,980
2005-08-16 00:00:00,36.6,-65.1,80,980
2005-08-16 03:00:00,36.6,-64.5,80,979
2005-08-16 06:00:00,36.6,-64.0,80,978
2005-08-16 09:00:00,36.6,-63.5,83,977
2005-08-16 12:00:00,36.6,-63.0,85,975
2005-08-16 15:00:00,36.6,-62.5,88,973
2005-08-16 18:00:00,36.5,-62.0,90,970
2005-08-16 21:00:00,36.5,-61.6,85,974
2005-08-17 00:00:00,36.5,-61.3,80,978
2005-08-17 03:00:00,36.5,-61.0,78,981
2005-08-17 06:00:00,36.5,-60.6,75,983
2005-08-17 09:00:00,36.6,-59.9,70,985
2005-08-17 12:00:00,36.9,-59.1,65,987
2005-08-17 15:00:00,37.2,-58.3,65,987
2005-08-17 18:00:00,37.6,-57.3,65,987
2005-08-17 21:00:00,38.0,-56.2,63,989
2005-08-18 00:00:00,38.6,-55.0,60,990
2005-08-18 03:00:00,39.3,-53.7,60,990
2005-08-18 06:00:00,40.3,-52.3,60,990
2005-08-18 09:00:00,41.7,-50.7,55,991
2005-08-18 12:00:00,43.3,-48.9,50,992
