time,lat,lon,vmax,mslp
2005-08-23 18:00:00,23.1,-75.1,30,1008
2005-08-23 21:00:00,23.2,-75.4,30,1008
2005-08-24 00:00:00,23.4,-75.7,30,1007
2005-08-24 03:00:00,23.6,-76.0,30,1007
2005-08-24 06:00:00,23.8,-76.2,30,1007
2005-08-24 09:00:00,24.1,-76.4,33,1007
2005-08-24 12:00:00,24.5,-76.5,35,1006
2005-08-24 15:00:00,25.0,-76.7,38,1005
2005-08-24 18:00:00,25.4,-76.9,40,1003
2005-08-24 21:00:00,25.8,-77.3,43,1002
2005-08-25 00:00:00,26.0,-77.7,45,1000
2005-08-25 03:00:00,26.1,-78.1,48,999
2005-08-25 06:00:00,26.1,-78.4,50,997
2005-08-25 09:00:00,26.2,-78.7,53,996
2005-08-25 12:00:00,26.2,-79.0,55,994
2005-08-25 15:00:00,26.2,-79.3,58,991
2005-08-25 18:00:00,26.2,-79.6,60,988
2005-08-25 21:00:00,26.1,-79.9,67,985
2005-08-25 22:30:00,26.0,-80.1,70,984
2005-08-26 00:00:00,25.9,-80.3,70,983
2005-08-26 03:00:00,25.7,-80.8,68,985
2005-08-26 06:00:00,25.4,-81.3,65,987
2005-08-26 09:00:00,25.2,-81.7,70,983
2005-08-26 12:00:00,25.1,-82.0,75,979
2005-08-26 15:00:00,25.0,-82.3,80,974
2005-08-26 18:00:00,24.9,-82.6,85,968
2005-08-26 21:00:00,24.7,-82.9,88,964
2005-08-27 00:00:00,24.6,-83.3,90,959
2005-08-27 03:00:00,24.5,-83.7,93,955
2005-08-27 06:00:00,24.4,-84.0,95,950
2005-08-27 09:00:00,24.4,-84.4,98,946
2005-08-27 12:00:00,24.4,-84.7,100,942
2005-08-27 15:00:00,24.4,-85.0,100,945
2005-08-27 18:00:00,24.5,-85.3,100,948
2005-08-27 21:00:00,24.6,-85.6,100,945
2005-08-28 00:00:00,24.8,-85.9,100,941
2005-08-28 03:00:00,25.0,-86.3,113,936
2005-08-28 06:00:00,25.2,-86.7,125,930
2005-08-28 09:00:00,25.4,-87.2,135,920
2005-08-28 12:00:00,25.7,-87.7,145,909
2005-08-28 15:00:00,26.0,-88.2,148,906
2005-08-28 18:00:00,26.3,-88.6,150,902
2005-08-28 21:00:00,26.7,-88.9,145,904
2005-08-29 00:00:00,27.2,-89.2,140,905
2005-08-29 03:00:00,27.7,-89.4,133,909
2005-08-29 06:00:00,28.2,-89.6,125,913
2005-08-29 09:00:00,28.8,-89.6,116,917
2005-08-29 11:10:00,29.3,-89.6,110,920
2005-08-29 12:00:00,29.5,-89.6,110,923
2005-08-29 14:45:00,30.2,-89.6,105,928
2005-08-29 15:00:00,30.3,-89.6,103,930
2005-08-29 18:00:00,31.1,-89.6,80,948
2005-08-29 21:00:00,31.9,-89.4,65,955
2005-08-30 00:00:00,32.6,-89.1,50,961
2005-08-30 03:00:00,33.3,-88.9,45,970
2005-08-30 06:00:00,34.1,-88.6,40,978
2005-08-30 09:00:00,34.9,-88.3,35,982
2005-08-30 12:00:00,35.6,-88.0,30,985
2005-08-30 15:00:00,36.3,-87.6,30,988
2005-08-30 18:00:00,37.0,-87.0,30,990
2005-08-30 21:00:00,37.8,-86.3,30,992
2005-08-31 00:00:00,38.6,-85.3,30,994
2005-08-31 03:00:00,39.4,-84.2,28,995
2005-08-31 06:00:00,40.1,-82.9,25,996
