time,lat,lon,vmax,mslp
2005-09-05 18:00:00,28.4,-67.0,30,1008
2005-09-05 21:00:00,28.4,-66.8,33,1007
2005-09-06 00:00:00,28.4,-66.6,35,1005
2005-09-06 03:00:00,28.4,-66.5,38,1004
2005-09-06 06:00:00,28.5,-66.5,40,1002
2005-09-06 09:00:00,28.5,-66.5,45,1001
2005-09-06 12:00:00,28.5,-66.5,50,1000
2005-09-06 15:00:00,28.5,-66.5,50,999
2005-09-06 18:00:00,28.6,-66.4,50,997
2005-09-06 21:00:00,28.7,-66.3,53,996
2005-09-07 00:00:00,28.7,-66.3,55,994
2005-09-07 03:00:00,28.7,-66.3,58,992
2005-09-07 06:00:00,28.7,-66.3,60,990
2005-09-07 09:00:00,28.8,-66.3,63,989
2005-09-07 12:00:00,28.9,-66.2,65,987
2005-09-07 15:00:00,29.1,-66.1,68,986
2005-09-07 18:00:00,29.3,-66.0,70,985
2005-09-07 21:00:00,29.4,-65.9,73,985
2005-09-08 00:00:00,29.6,-65.7,75,984
2005-09-08 03:00:00,29.8,-65.4,75,983
2005-09-08 06:00:00,30.0,-65.0,75,982
2005-09-08 09:00:00,30.2,-64.4,75,982
2005-09-08 12:00:00,30.5,-63.8,75,982
2005-09-08 15:00:00,30.9,-63.3,75,982
2005-09-08 18:00:00,31.4,-62.7,75,982
2005-09-08 21:00:00,32.0,-62.0,78,981
2005-09-09 00:00:00,32.6,-61.1,80,979
2005-09-09 03:00:00,33.0,-60.2,75,982
2005-09-09 06:00:00,33.4,-59.1,70,985
2005-09-09 09:00:00,33.7,-57.5,68,986
2005-09-09 12:00:00,34.0,-55.8,65,986
2005-09-09 15:00:00,34.3,-54.5,60,989
2005-09-09 18:00:00,34.5,-53.4,55,991
2005-09-09 21:00:00,34.6,-52.1,55,994
2005-09-10 00:00:00,34.7,-50.8,55,997
2005-09-10 03:00:00,34.7,-49.9,50,997
2005-09-10 06:00:00,34.6,-49.0,45,997
2005-09-10 09:00:00,34.5,-47.4,45,997
2005-09-10 12:00:00,34.5,-45.9,45,997
2005-09-10 15:00:00,34.7,-44.9,45,997
2005-09-10 18:00:00,34.9,-44.1,45,997
2005-09-10 21:00:00,35.0,-43.1,43,998
2005-09-11 00:00:00,35.2,-42.1,40,999
2005-09-11 03:00:00,35.5,-41.4,40,1000
2005-09-11 06:00:00,36.0,-40.6,40,1000
2005-09-11 09:00:00,36.6,-39.5,40,1001
2005-09-11 12:00:00,37.4,-38.3,40,1001
2005-09-11 15:00:00,38.2,-36.9,40,1001
2005-09-11 18:00:00,39.2,-35.6,40,1001
2005-09-11 21:00:00,40.4,-34.3,40,1002
2005-09-12 00:00:00,41.6,-33.3,40,1002
2005-09-12 03:00:00,42.7,-32.8,38,1002
2005-09-12 06:00:00,43.5,-32.0,35,1002
2005-09-12 09:00:00,43.7,-30.2,35,1003
2005-09-12 12:00:00,44.0,-28.1,35,1003
2005-09-12 15:00:00,44.8,-26.4,35,1003
2005-09-12 18:00:00,46.0,-25.0,35,1003
