time,lat,lon,vmax,mslp
2005-09-17 12:00:00,13.3,-54.5,30,1008
2005-09-17 15:00:00,13.4,-54.7,33,1008
2005-09-17 18:00:00,13.5,-54.9,35,1007
2005-09-17 21:00:00,13.7,-55.0,38,1005
2005-09-18 00:00:00,13.9,-55.1,40,1003
2005-09-18 03:00:00,14.1,-55.2,43,1002
2005-09-18 06:00:00,14.4,-55.3,45,1000
2005-09-18 09:00:00,14.6,-55.4,48,998
2005-09-18 12:00:00,14.9,-55.5,50,996
2005-09-18 15:00:00,15.2,-55.6,53,995
2005-09-18 18:00:00,15.6,-55.7,55,993
2005-09-18 21:00:00,15.9,-55.8,60,990
2005-09-19 00:00:00,16.2,-55.8,65,987
2005-09-19 03:00:00,16.5,-55.8,65,987
2005-09-19 06:00:00,16.7,-55.9,65,987
2005-09-19 09:00:00,17.0,-56.0,65,987
2005-09-19 12:00:00,17.2,-56.2,65,987
2005-09-19 15:00:00,17.4,-56.3,65,987
2005-09-19 18:00:00,17.5,-56.4,65,987
2005-09-19 21:00:00,17.6,-56.5,68,986
2005-09-20 00:00:00,17.7,-56.6,70,985
2005-09-20 03:00:00,17.8,-56.7,68,986
2005-09-20 06:00:00,17.9,-56.8,65,987
2005-09-20 09:00:00,18.0,-56.9,63,989
2005-09-20 12:00:00,18.1,-57.0,60,990
2005-09-20 15:00:00,18.3,-57.1,58,991
2005-09-20 18:00:00,18.5,-57.2,55,992
2005-09-20 21:00:00,18.7,-57.2,55,993
2005-09-21 00:00:00,18.9,-57.2,55,994
2005-09-21 03:00:00,19.1,-57.2,53,996
2005-09-21 06:00:00,19.4,-57.1,50,997
2005-09-21 09:00:00,19.6,-57.0,48,999
2005-09-21 12:00:00,19.9,-57.0,45,1000
2005-09-21 15:00:00,20.3,-57.0,43,1001
2005-09-21 18:00:00,20.8,-56.9,40,1001
2005-09-21 21:00:00,21.6,-56.8,38,1002
2005-09-22 00:00:00,22.4,-56.7,35,1002
2005-09-22 03:00:00,23.1,-56.7,35,1003
2005-09-22 06:00:00,23.8,-56.8,35,1003
2005-09-22 09:00:00,24.5,-57.0,35,1003
2005-09-22 12:00:00,25.2,-57.2,35,1003
2005-09-22 15:00:00,25.9,-57.4,35,1003
2005-09-22 18:00:00,26.7,-57.6,35,1003
2005-09-22 21:00:00,27.5,-57.8,35,1003
2005-09-23 00:00:00,28.3,-58.2,35,1003
2005-09-23 03:00:00,29.3,-59.0,35,1003
2005-09-23 06:00:00,30.2,-60.1,35,1003
2005-09-23 09:00:00,30.5,-61.2,33,1003
2005-09-23 12:00:00,30.5,-62.2,30,1003
2005-09-23 15:00:00,30.4,-63.1,30,1003
2005-09-23 18:00:00,30.2,-63.7,30,1003
2005-09-23 21:00:00,29.7,-63.9,30,1003
2005-09-24 00:00:00,29.2,-63.8,30,1003
2005-09-24 03:00:00,28.8,-63.4,28,1004
2005-09-24 06:00:00,28.6,-62.8,25,1004
