time,lat,lon,vmax,mslp
2005-09-18 00:00:00,21.3,-69.9,25,1009
2005-09-18 03:00:00,21.5,-70.3,25,1009
2005-09-18 06:00:00,21.6,-70.7,25,1009
2005-09-18 09:00:00,21.7,-71.1,28,1008
2005-09-18 12:00:00,21.9,-71.5,30,1007
2005-09-18 15:00:00,22.1,-71.9,33,1006
2005-09-18 18:00:00,22.2,-72.3,35,1005
2005-09-18 21:00:00,22.3,-72.7,40,1004
2005-09-19 00:00:00,22.4,-73.0,45,1002
2005-09-19 03:00:00,22.5,-73.4,48,1001
2005-09-19 06:00:00,22.6,-73.8,50,999
2005-09-19 09:00:00,22.7,-74.2,53,998
2005-09-19 12:00:00,22.8,-74.7,55,997
2005-09-19 15:00:00,22.9,-75.3,58,996
2005-09-19 18:00:00,23.1,-75.9,60,994
2005-09-19 21:00:00,23.2,-76.5,60,993
2005-09-20 00:00:00,23.3,-77.2,60,992
2005-09-20 03:00:00,23.4,-78.0,60,991
2005-09-20 06:00:00,23.5,-78.8,60,990
2005-09-20 09:00:00,23.6,-79.6,65,988
2005-09-20 12:00:00,23.7,-80.3,70,985
2005-09-20 15:00:00,23.8,-81.0,78,980
2005-09-20 18:00:00,23.9,-81.6,85,975
2005-09-20 21:00:00,24.0,-82.2,90,971
2005-09-21 00:00:00,24.1,-82.7,95,967
2005-09-21 03:00:00,24.2,-83.3,103,961
2005-09-21 06:00:00,24.2,-84.0,110,955
2005-09-21 09:00:00,24.2,-84.6,115,948
2005-09-21 12:00:00,24.2,-85.2,120,941
2005-09-21 15:00:00,24.2,-85.7,133,931
2005-09-21 18:00:00,24.3,-86.2,145,920
2005-09-21 21:00:00,24.4,-86.6,148,909
2005-09-22 00:00:00,24.5,-86.9,150,897
2005-09-22 03:00:00,24.7,-87.3,155,895
2005-09-22 06:00:00,24.8,-87.6,155,897
2005-09-22 09:00:00,25.0,-87.9,148,903
2005-09-22 12:00:00,25.2,-88.3,140,908
2005-09-22 15:00:00,25.4,-88.7,133,911
2005-09-22 18:00:00,25.6,-89.1,125,913
2005-09-22 21:00:00,25.8,-89.5,123,914
2005-09-23 00:00:00,26.0,-89.9,120,915
2005-09-23 03:00:00,26.2,-90.3,118,920
2005-09-23 06:00:00,26.5,-90.7,115,924
2005-09-23 09:00:00,26.8,-91.1,115,926
2005-09-23 12:00:00,27.1,-91.5,115,927
2005-09-23 15:00:00,27.4,-91.9,113,929
2005-09-23 18:00:00,27.8,-92.3,110,930
2005-09-23 21:00:00,28.2,-92.7,108,931
2005-09-24 00:00:00,28.6,-93.0,105,931
2005-09-24 03:00:00,29.0,-93.3,103,933
2005-09-24 06:00:00,29.4,-93.6,100,935
2005-09-24 07:40:00,29.7,-93.7,100,937
2005-09-24 09:00:00,29.9,-93.8,89,941
2005-09-24 12:00:00,30.5,-94.1,65,949
2005-09-24 15:00:00,31.1,-94.2,55,962
2005-09-24 18:00:00,31.6,-94.1,45,974
2005-09-24 21:00:00,32.2,-94.1,40,978
2005-09-25 00:00:00,32.7,-94.0,35,982
2005-09-25 03:00:00,33.2,-93.9,33,986
2005-09-25 06:00:00,33.7,-93.6,30,989
2005-09-25 09:00:00,34.2,-93.1,28,992
2005-09-25 12:00:00,34.7,-92.5,25,995
2005-09-25 15:00:00,35.2,-92.0,25,998
2005-09-25 18:00:00,35.8,-91.4,25,1000
2005-09-25 21:00:00,36.3,-90.8,23,1002
2005-09-26 00:00:00,37.0,-90.1,20,1003
2005-09-26 03:00:00,38.1,-89.1,20,1005
2005-09-26 06:00:00,39.5,-88.0,20,1006
