time,lat,lon,vmax,mslp
2005-10-05 06:00:00,27.3,-79.7,35,1006
2005-10-05 09:00:00,27.8,-79.9,38,1005
2005-10-05 12:00:00,28.3,-80.2,40,1004
2005-10-05 15:00:00,28.9,-80.5,43,1003
2005-10-05 18:00:00,29.5,-80.9,45,1001
2005-10-05 21:00:00,30.1,-81.1,45,1002
2005-10-05 23:00:00,30.4,-81.4,45,1002
2005-10-06 00:00:00,30.5,-81.6,45,1002
2005-10-06 03:00:00,30.9,-82.2,40,1004
2005-10-06 06:00:00,31.3,-82.8,35,1005
2005-10-06 09:00:00,31.7,-83.7,30,1005
2005-10-06 12:00:00,31.8,-84.6,25,1005
2005-10-06 15:00:00,31.6,-85.4,20,1006
2005-10-06 18:00:00,31.2,-85.8,15,1006
2005-10-06 21:00:00,30.8,-85.8,13,1006
2005-10-07 00:00:00,30.3,-85.6,10,1005
