time,lat,lon,vmax,mslp
2005-10-15 18:00:00,17.6,-78.5,25,1004
2005-10-15 21:00:00,17.6,-78.7,25,1004
2005-10-16 00:00:00,17.6,-78.8,25,1004
2005-10-16 03:00:00,17.5,-78.9,28,1004
2005-10-16 06:00:00,17.5,-79.0,30,1003
2005-10-16 09:00:00,17.5,-79.1,30,1003
2005-10-16 12:00:00,17.5,-79.2,30,1003
2005-10-16 15:00:00,17.5,-79.3,30,1003
2005-10-16 18:00:00,17.5,-79.4,30,1002
2005-10-16 21:00:00,17.5,-79.5,30,1002
2005-10-17 00:00:00,17.4,-79.6,30,1001
2005-10-17 03:00:00,17.2,-79.6,33,1001
2005-10-17 06:00:00,16.9,-79.6,35,1000
2005-10-17 09:00:00,16.6,-79.6,38,1000
2005-10-17 12:00:00,16.3,-79.7,40,999
2005-10-17 15:00:00,16.1,-79.7,43,998
2005-10-17 18:00:00,16.0,-79.8,45,997
2005-10-17 21:00:00,15.9,-79.9,50,993
2005-10-18 00:00:00,15.8,-79.9,55,988
2005-10-18 03:00:00,15.7,-79.9,58,985
2005-10-18 06:00:00,15.7,-79.9,60,982
2005-10-18 09:00:00,15.9,-80.0,63,981
2005-10-18 12:00:00,16.2,-80.3,65,979
2005-10-18 15:00:00,16.4,-80.7,70,977
2005-10-18 18:00:00,16.6,-81.1,75,975
2005-10-18 21:00:00,16.6,-81.5,103,961
2005-10-19 00:00:00,16.6,-81.8,130,946
2005-10-19 03:00:00,16.8,-82.0,140,919
2005-10-19 06:00:00,17.0,-82.2,150,892
2005-10-19 09:00:00,17.2,-82.5,155,887
2005-10-19 12:00:00,17.3,-82.8,160,882
2005-10-19 15:00:00,17.3,-83.1,150,887
2005-10-19 18:00:00,17.4,-83.4,140,892
2005-10-19 21:00:00,17.6,-83.7,138,892
2005-10-20 00:00:00,17.9,-84.0,135,892
2005-10-20 03:00:00,18.0,-84.4,133,897
2005-10-20 06:00:00,18.1,-84.7,130,901
2005-10-20 09:00:00,18.2,-85.0,130,906
2005-10-20 12:00:00,18.3,-85.2,130,910
2005-10-20 15:00:00,18.4,-85.4,130,914
2005-10-20 18:00:00,18.6,-85.5,130,917
2005-10-20 21:00:00,18.8,-85.6,130,921
2005-10-21 00:00:00,19.1,-85.8,130,924
2005-10-21 03:00:00,19.3,-86.0,130,927
2005-10-21 06:00:00,19.5,-86.1,130,930
2005-10-21 09:00:00,19.8,-86.2,128,930
2005-10-21 12:00:00,20.1,-86.4,125,929
2005-10-21 15:00:00,20.2,-86.6,123,928
2005-10-21 18:00:00,20.3,-86.7,120,926
2005-10-21 21:00:00,20.6,-86.8,128,927
2005-10-21 21:45:00,20.6,-86.8,130,927
2005-10-22 00:00:00,20.6,-86.8,120,930
2005-10-22 03:00:00,20.8,-86.9,116,933
2005-10-22 03:30:00,20.8,-86.9,115,933
2005-10-22 06:00:00,20.8,-87.0,110,935
2005-10-22 09:00:00,20.9,-87.1,105,941
2005-10-22 12:00:00,21.0,-87.1,100,947
2005-10-22 15:00:00,21.1,-87.1,93,953
2005-10-22 18:00:00,21.3,-87.1,85,958
2005-10-22 21:00:00,21.5,-87.1,85,959
2005-10-23 00:00:00,21.6,-87.0,85,960
2005-10-23 03:00:00,21.7,-86.9,85,961
2005-10-23 06:00:00,21.8,-86.8,85,962
2005-10-23 09:00:00,22.1,-86.5,85,962
2005-10-23 12:00:00,22.4,-86.1,85,961
2005-10-23 15:00:00,22.7,-85.8,88,962
2005-10-23 18:00:00,23.1,-85.4,90,963
2005-10-23 21:00:00,23.5,-84.9,93,961
2005-10-24 00:00:00,24.0,-84.3,95,958
2005-10-24 03:00:00,24.5,-83.8,103,956
2005-10-24 06:00:00,25.0,-83.1,110,953
2005-10-24 09:00:00,25.6,-82.3,107,951
2005-10-24 10:30:00,25.9,-81.7,105,950
2005-10-24 12:00:00,26.2,-81.0,95,950
2005-10-24 15:00:00,27.0,-79.9,100,953
2005-10-24 18:00:00,28.0,-78.8,105,955
2005-10-24 21:00:00,28.9,-77.5,108,955
2005-10-25 00:00:00,30.1,-76.0,110,955
2005-10-25 03:00:00,31.6,-74.1,105,959
2005-10-25 06:00:00,33.3,-72.0,100,963
2005-10-25 09:00:00,35.0,-70.0,95,967
2005-10-25 12:00:00,36.8,-67.9,90,970
2005-10-25 15:00:00,38.8,-65.7,83,973
2005-10-25 18:00:00,40.5,-63.5,75,976
2005-10-25 21:00:00,41.7,-61.6,68,977
2005-10-26 00:00:00,42.5,-60.0,60,978
2005-10-26 03:00:00,43.3,-58.7,58,980
2005-10-26 06:00:00,44.0,-57.5,55,982
2005-10-26 09:00:00,44.6,-56.3,53,984
2005-10-26 12:00:00,45.0,-55.0,50,986
2005-10-26 15:00:00,45.3,-53.6,45,988
2005-10-26 18:00:00,45.5,-52.0,40,990
