time,lat,lon,vmax,mslp
2006-06-10 06:00:00,20.0,-85.0,25,1004
2006-06-10 09:00:00,20.5,-85.1,28,1004
2006-06-10 12:00:00,21.0,-85.3,30,1003
2006-06-10 15:00:00,21.5,-85.5,30,1003
2006-06-10 18:00:00,21.9,-85.7,30,1003
2006-06-10 21:00:00,22.2,-86.0,33,1003
2006-06-11 00:00:00,22.5,-86.3,35,1003
2006-06-11 03:00:00,22.8,-86.7,35,1003
2006-06-11 06:00:00,23.1,-87.1,35,1003
2006-06-11 09:00:00,23.3,-87.5,38,1003
2006-06-11 12:00:00,23.6,-87.8,40,1002
2006-06-11 15:00:00,23.9,-87.9,40,1003
2006-06-11 18:00:00,24.3,-87.8,40,1004
2006-06-11 21:00:00,24.6,-87.8,40,1004
2006-06-12 00:00:00,25.0,-87.8,40,1004
2006-06-12 03:00:00,25.4,-87.7,43,1004
2006-06-12 06:00:00,25.8,-87.4,45,1004
2006-06-12 09:00:00,26.3,-86.9,53,1002
2006-06-12 12:00:00,26.8,-86.3,60,1000
2006-06-12 15:00:00,27.2,-85.8,60,999
2006-06-12 18:00:00,27.5,-85.4,60,997
2006-06-12 21:00:00,27.7,-85.2,60,996
2006-06-13 00:00:00,28.0,-85.0,60,995
2006-06-13 03:00:00,28.4,-84.7,58,995
2006-06-13 06:00:00,28.8,-84.4,55,995
2006-06-13 09:00:00,29.2,-84.2,50,996
2006-06-13 12:00:00,29.5,-84.1,45,996
2006-06-13 15:00:00,29.7,-83.9,42,997
2006-06-13 16:30:00,29.9,-83.7,40,998
2006-06-13 18:00:00,30.3,-83.5,35,997
2006-06-13 21:00:00,30.8,-83.1,35,999
2006-06-14 00:00:00,31.3,-82.8,35,1001
2006-06-14 03:00:00,32.0,-82.4,33,1002
2006-06-14 06:00:00,32.8,-81.9,30,1003
2006-06-14 09:00:00,33.6,-81.5,33,1003
2006-06-14 12:00:00,34.3,-80.7,35,1003
2006-06-14 15:00:00,34.9,-79.3,35,1003
2006-06-14 18:00:00,35.5,-77.5,35,1002
2006-06-14 21:00:00,36.2,-75.2,40,1001
2006-06-15 00:00:00,37.0,-73.0,45,999
2006-06-15 03:00:00,37.8,-71.3,45,995
2006-06-15 06:00:00,38.8,-69.9,45,990
2006-06-15 09:00:00,39.9,-68.3,48,985
2006-06-15 12:00:00,40.9,-66.8,50,979
2006-06-15 15:00:00,41.8,-65.4,53,975
2006-06-15 18:00:00,42.6,-64.2,55,971
2006-06-15 21:00:00,43.3,-63.2,55,970
2006-06-16 00:00:00,44.0,-62.0,55,969
2006-06-16 03:00:00,45.0,-60.4,53,971
2006-06-16 06:00:00,46.0,-58.5,50,972
2006-06-16 09:00:00,46.7,-56.7,48,979
2006-06-16 12:00:00,47.4,-55.0,45,985
2006-06-16 15:00:00,48.3,-53.4,43,988
2006-06-16 18:00:00,49.3,-51.5,40,990
2006-06-16 21:00:00,50.1,-48.6,40,993
2006-06-17 00:00:00,50.8,-45.2,40,995
2006-06-17 03:00:00,51.1,-41.9,40,995
2006-06-17 06:00:00,51.5,-39.0,40,995
2006-06-17 09:00:00,52.2,-36.7,40,995
2006-06-17 12:00:00,53.0,-34.5,40,995
2006-06-17 15:00:00,53.6,-31.9,38,995
2006-06-17 18:00:00,54.0,-29.0,35,995
2006-06-17 21:00:00,54.3,-26.1,33,995
2006-06-18 00:00:00,54.5,-23.0,30,995
2006-06-18 03:00:00,54.5,-19.3,30,995
2006-06-18 06:00:00,54.5,-16.0,30,995
2006-06-18 09:00:00,54.4,-13.7,30,995
2006-06-18 12:00:00,54.5,-12.0,30,995
2006-06-18 15:00:00,54.6,-10.5,30,996
2006-06-18 18:00:00,55.0,-9.0,30,997
2006-06-18 21:00:00,55.8,-7.2,30,998
2006-06-19 00:00:00,56.5,-5.5,30,999
2006-06-19 03:00:00,56.9,-4.1,30,999
2006-06-19 06:00:00,57.0,-3.0,30,999
