time,lat,lon,vmax,mslp
2006-08-01 00:00:00,16.3,-58.1,30,1011
2006-08-01 03:00:00,16.6,-58.5,33,1010
2006-08-01 06:00:00,16.8,-58.9,35,1009
2006-08-01 09:00:00,17.0,-59.4,38,1008
2006-08-01 12:00:00,17.2,-59.8,40,1006
2006-08-01 15:00:00,17.4,-60.2,45,1005
2006-08-01 18:00:00,17.7,-60.6,50,1004
2006-08-01 21:00:00,17.9,-61.0,50,1004
2006-08-02 00:00:00,18.1,-61.4,50,1003
2006-08-02 03:00:00,18.3,-61.8,53,1002
2006-08-02 06:00:00,18.5,-62.2,55,1001
2006-08-02 09:00:00,18.7,-62.6,55,1001
2006-08-02 12:00:00,19.0,-63.0,55,1001
2006-08-02 15:00:00,19.3,-63.4,53,1003
2006-08-02 18:00:00,19.6,-63.9,50,1004
2006-08-02 21:00:00,19.8,-64.3,50,1006
2006-08-03 00:00:00,19.9,-64.8,50,1007
2006-08-03 03:00:00,20.1,-65.3,45,1009
2006-08-03 06:00:00,20.2,-65.8,40,1010
2006-08-03 09:00:00,20.3,-66.3,38,1011
2006-08-03 12:00:00,20.4,-66.8,35,1011
2006-08-03 15:00:00,20.5,-67.3,33,1011
2006-08-03 18:00:00,20.6,-67.7,30,1011
2006-08-03 21:00:00,20.7,-68.2,30,1011
2006-08-04 00:00:00,20.7,-68.7,30,1011
2006-08-04 03:00:00,20.7,-69.5,28,1011
2006-08-04 06:00:00,20.8,-70.2,25,1011
2006-08-04 09:00:00,21.0,-70.7,25,1011
2006-08-04 12:00:00,21.2,-71.1,25,1011
2006-08-04 15:00:00,21.3,-71.6,25,1012
2006-08-04 18:00:00,21.3,-72.2,25,1012
2006-08-04 21:00:00,21.4,-72.8,25,1012
2006-08-05 00:00:00,21.5,-73.4,25,1012
2006-08-05 03:00:00,21.6,-74.2,23,1012
2006-08-05 06:00:00,21.6,-75.0,20,1012
2006-08-05 09:00:00,21.7,-75.7,20,1012
2006-08-05 12:00:00,21.8,-76.3,20,1012
2006-08-05 15:00:00,21.9,-77.0,20,1012
2006-08-05 18:00:00,22.1,-77.6,20,1012
2006-08-05 21:00:00,22.2,-78.3,20,1012
2006-08-06 00:00:00,22.4,-78.9,20,1012
2006-08-06 03:00:00,22.6,-79.5,20,1013
2006-08-06 06:00:00,22.8,-80.2,20,1013
2006-08-06 09:00:00,23.0,-80.9,18,1013
2006-08-06 12:00:00,23.2,-81.7,15,1013
