time,lat,lon,vmax,mslp
2006-08-24 18:00:00,12.7,-61.6,30,1008
2006-08-24 21:00:00,12.9,-62.3,30,1008
2006-08-25 00:00:00,13.0,-63.0,30,1007
2006-08-25 03:00:00,13.1,-63.7,30,1006
2006-08-25 06:00:00,13.3,-64.4,30,1005
2006-08-25 09:00:00,13.5,-65.1,33,1005
2006-08-25 12:00:00,13.7,-65.8,35,1005
2006-08-25 15:00:00,13.9,-66.5,35,1005
2006-08-25 18:00:00,14.0,-67.1,35,1004
2006-08-25 21:00:00,14.1,-67.7,38,1003
2006-08-26 00:00:00,14.3,-68.3,40,1002
2006-08-26 03:00:00,14.4,-68.9,43,1001
2006-08-26 06:00:00,14.6,-69.5,45,999
2006-08-26 09:00:00,14.8,-70.0,48,998
2006-08-26 12:00:00,15.1,-70.4,50,997
2006-08-26 15:00:00,15.4,-70.8,53,997
2006-08-26 18:00:00,15.7,-71.2,55,997
2006-08-26 21:00:00,16.0,-71.6,55,996
2006-08-27 00:00:00,16.3,-72.0,55,995
2006-08-27 03:00:00,16.6,-72.4,60,994
2006-08-27 06:00:00,16.9,-72.7,65,992
2006-08-27 09:00:00,17.2,-73.1,60,995
2006-08-27 12:00:00,17.4,-73.4,55,997
2006-08-27 15:00:00,17.6,-73.7,50,1000
2006-08-27 18:00:00,17.8,-74.0,45,1002
2006-08-27 21:00:00,18.0,-74.3,43,1003
2006-08-28 00:00:00,18.3,-74.6,40,1003
2006-08-28 03:00:00,18.7,-74.9,40,1004
2006-08-28 06:00:00,19.1,-75.2,40,1004
2006-08-28 09:00:00,19.6,-75.3,37,1005
2006-08-28 11:15:00,19.9,-75.5,35,1005
2006-08-28 12:00:00,20.0,-75.6,35,1005
2006-08-28 15:00:00,20.4,-76.0,35,1006
2006-08-28 18:00:00,20.8,-76.4,35,1007
2006-08-28 21:00:00,21.2,-76.9,35,1007
2006-08-29 00:00:00,21.6,-77.4,35,1007
2006-08-29 03:00:00,22.0,-78.0,38,1007
2006-08-29 06:00:00,22.4,-78.5,40,1006
2006-08-29 09:00:00,22.8,-78.9,40,1006
2006-08-29 12:00:00,23.2,-79.3,40,1006
2006-08-29 15:00:00,23.5,-79.6,40,1006
2006-08-29 18:00:00,23.9,-79.9,40,1005
2006-08-29 21:00:00,24.3,-80.2,40,1005
2006-08-30 00:00:00,24.7,-80.4,40,1004
2006-08-30 03:00:00,24.9,-80.6,40,1003
2006-08-30 05:00:00,25.2,-80.7,40,1003
2006-08-30 06:00:00,25.3,-80.8,40,1003
2006-08-30 09:00:00,25.7,-81.0,38,1003
2006-08-30 12:00:00,26.1,-81.0,35,1002
2006-08-30 15:00:00,26.5,-81.0,35,1002
2006-08-30 18:00:00,27.0,-80.9,35,1001
2006-08-30 21:00:00,27.5,-80.8,35,1001
2006-08-31 00:00:00,28.1,-80.7,35,1000
2006-08-31 03:00:00,28.7,-80.6,40,1000
2006-08-31 06:00:00,29.4,-80.4,45,999
2006-08-31 09:00:00,30.0,-80.2,50,997
2006-08-31 12:00:00,30.6,-79.9,55,995
2006-08-31 15:00:00,31.2,-79.6,58,994
2006-08-31 18:00:00,31.9,-79.2,60,993
2006-08-31 21:00:00,32.6,-78.8,60,991
2006-09-01 00:00:00,33.2,-78.4,60,988
2006-09-01 03:00:00,33.8,-78.1,60,986
2006-09-01 03:40:00,33.9,-78.1,60,985
2006-09-01 06:00:00,34.5,-78.0,50,985
2006-09-01 09:00:00,35.2,-77.8,40,988
2006-09-01 12:00:00,35.8,-77.6,30,991
2006-09-01 15:00:00,36.3,-77.4,35,994
2006-09-01 18:00:00,36.6,-77.2,40,997
2006-09-01 21:00:00,36.9,-77.1,40,1000
2006-09-02 00:00:00,37.1,-77.0,40,1002
2006-09-02 03:00:00,37.3,-76.9,40,1004
2006-09-02 06:00:00,37.6,-76.8,40,1005
2006-09-02 09:00:00,37.9,-76.7,40,1006
2006-09-02 12:00:00,38.2,-76.7,40,1007
2006-09-02 15:00:00,38.5,-76.7,40,1009
2006-09-02 18:00:00,38.9,-76.7,40,1010
2006-09-02 21:00:00,39.3,-76.7,38,1011
2006-09-03 00:00:00,39.9,-76.7,35,1012
2006-09-03 03:00:00,40.5,-76.9,30,1013
2006-09-03 06:00:00,41.3,-77.1,25,1014
2006-09-03 09:00:00,42.2,-77.4,23,1014
2006-09-03 12:00:00,43.1,-77.5,20,1014
2006-09-03 15:00:00,43.9,-77.4,20,1015
2006-09-03 18:00:00,44.5,-77.0,20,1015
2006-09-03 21:00:00,45.1,-76.5,20,1015
2006-09-04 00:00:00,45.6,-75.8,20,1015
2006-09-04 03:00:00,46.1,-75.1,20,1015
2006-09-04 06:00:00,46.5,-74.4,20,1014
