time,lat,lon,vmax,mslp
2006-09-03 18:00:00,14.1,-39.4,30,1007
2006-09-03 21:00:00,14.4,-39.7,30,1007
2006-09-04 00:00:00,14.7,-40.0,30,1007
2006-09-04 03:00:00,15.0,-40.4,30,1007
2006-09-04 06:00:00,15.4,-41.0,30,1007
2006-09-04 09:00:00,15.7,-41.6,30,1007
2006-09-04 12:00:00,16.0,-42.3,30,1007
2006-09-04 15:00:00,16.2,-42.9,30,1007
2006-09-04 18:00:00,16.4,-43.5,30,1007
2006-09-04 21:00:00,16.5,-44.1,30,1007
2006-09-05 00:00:00,16.6,-44.8,30,1007
2006-09-05 03:00:00,16.7,-45.5,33,1007
2006-09-05 06:00:00,16.8,-46.1,35,1007
2006-09-05 09:00:00,16.9,-46.5,35,1006
2006-09-05 12:00:00,17.0,-46.9,35,1005
2006-09-05 15:00:00,17.1,-47.3,38,1004
2006-09-05 18:00:00,17.3,-47.8,40,1003
2006-09-05 21:00:00,17.4,-48.2,40,1003
2006-09-06 00:00:00,17.6,-48.6,40,1003
2006-09-06 03:00:00,17.8,-49.1,40,1003
2006-09-06 06:00:00,18.1,-49.7,40,1003
2006-09-06 09:00:00,18.3,-50.2,43,1003
2006-09-06 12:00:00,18.5,-50.6,45,1003
2006-09-06 15:00:00,18.8,-51.0,45,1002
2006-09-06 18:00:00,19.0,-51.3,45,1000
2006-09-06 21:00:00,19.2,-51.6,45,1000
2006-09-07 00:00:00,19.3,-51.9,45,1000
2006-09-07 03:00:00,19.4,-52.2,45,1000
2006-09-07 06:00:00,19.6,-52.6,45,1000
2006-09-07 09:00:00,19.7,-52.9,43,1001
2006-09-07 12:00:00,19.9,-53.3,40,1002
2006-09-07 15:00:00,20.1,-53.7,40,1002
2006-09-07 18:00:00,20.3,-54.3,40,1002
2006-09-07 21:00:00,20.6,-55.0,40,1002
2006-09-08 00:00:00,20.9,-55.7,40,1002
2006-09-08 03:00:00,21.2,-56.4,40,1002
2006-09-08 06:00:00,21.5,-57.1,40,1002
2006-09-08 09:00:00,21.6,-58.0,40,1002
2006-09-08 12:00:00,21.7,-58.8,40,1002
2006-09-08 15:00:00,21.8,-59.5,43,1001
2006-09-08 18:00:00,21.9,-60.1,45,1000
2006-09-08 21:00:00,22.2,-60.6,48,999
2006-09-09 00:00:00,22.7,-61.0,50,997
2006-09-09 03:00:00,23.3,-61.6,50,995
2006-09-09 06:00:00,23.8,-62.3,50,993
2006-09-09 09:00:00,24.1,-62.8,50,993
2006-09-09 12:00:00,24.4,-63.2,50,992
2006-09-09 15:00:00,24.7,-63.6,50,992
2006-09-09 18:00:00,25.1,-64.0,50,991
2006-09-09 21:00:00,25.6,-64.3,55,989
2006-09-10 00:00:00,26.2,-64.6,60,987
2006-09-10 03:00:00,26.7,-65.0,65,984
2006-09-10 06:00:00,27.1,-65.3,70,980
2006-09-10 09:00:00,27.6,-65.6,73,979
2006-09-10 12:00:00,28.1,-65.9,75,978
2006-09-10 15:00:00,28.7,-66.0,78,977
2006-09-10 18:00:00,29.3,-66.1,80,976
2006-09-10 21:00:00,29.9,-66.2,80,976
2006-09-11 00:00:00,30.4,-66.2,80,975
2006-09-11 03:00:00,30.8,-66.2,75,976
2006-09-11 06:00:00,31.3,-66.2,70,977
2006-09-11 09:00:00,31.8,-66.0,73,976
2006-09-11 12:00:00,32.4,-65.7,75,974
2006-09-11 15:00:00,33.0,-65.4,75,974
2006-09-11 18:00:00,33.6,-65.0,75,974
