time,lat,lon,vmax,mslp
2006-09-10 18:00:00,20.2,-53.8,25,1012
2006-09-10 21:00:00,20.2,-54.1,28,1012
2006-09-11 00:00:00,20.3,-54.5,30,1011
2006-09-11 03:00:00,20.4,-54.9,30,1011
2006-09-11 06:00:00,20.6,-55.3,30,1010
2006-09-11 09:00:00,20.7,-55.8,33,1009
2006-09-11 12:00:00,20.9,-56.3,35,1008
2006-09-11 15:00:00,21.1,-56.7,38,1007
2006-09-11 18:00:00,21.4,-57.1,40,1005
2006-09-11 21:00:00,21.6,-57.4,45,1004
2006-09-12 00:00:00,21.8,-57.6,50,1003
2006-09-12 03:00:00,22.0,-57.8,50,1002
2006-09-12 06:00:00,22.3,-58.0,50,1000
2006-09-12 09:00:00,22.5,-58.1,50,999
2006-09-12 12:00:00,22.8,-58.2,50,998
2006-09-12 15:00:00,23.1,-58.2,53,996
2006-09-12 18:00:00,23.4,-58.2,55,994
2006-09-12 21:00:00,23.7,-58.2,60,991
2006-09-13 00:00:00,24.0,-58.1,65,987
2006-09-13 03:00:00,24.3,-58.0,68,986
2006-09-13 06:00:00,24.7,-58.0,70,984
2006-09-13 09:00:00,25.1,-58.0,75,982
2006-09-13 12:00:00,25.6,-57.9,80,980
2006-09-13 15:00:00,26.1,-57.8,88,973
2006-09-13 18:00:00,26.5,-57.7,95,965
2006-09-13 21:00:00,26.9,-57.6,100,960
2006-09-14 00:00:00,27.3,-57.4,105,955
2006-09-14 03:00:00,27.7,-57.1,105,956
2006-09-14 06:00:00,28.2,-56.8,105,956
2006-09-14 09:00:00,28.7,-56.5,105,956
2006-09-14 12:00:00,29.1,-56.2,105,956
2006-09-14 15:00:00,29.5,-55.8,105,957
2006-09-14 18:00:00,29.8,-55.4,105,958
2006-09-14 21:00:00,30.1,-55.0,103,959
2006-09-15 00:00:00,30.3,-54.6,100,960
2006-09-15 03:00:00,30.6,-54.2,98,963
2006-09-15 06:00:00,30.8,-53.8,95,965
