time,lat,lon,vmax,mslp
2007-08-31 12:00:00,11.5,-56.6,25,1009
2007-08-31 15:00:00,11.4,-57.3,28,1009
2007-08-31 18:00:00,11.5,-58.0,30,1008
2007-08-31 21:00:00,11.8,-58.7,33,1008
2007-09-01 00:00:00,12.1,-59.4,35,1007
2007-09-01 03:00:00,12.1,-60.3,38,1006
2007-09-01 06:00:00,12.1,-61.1,40,1005
2007-09-01 08:45:00,12.1,-61.7,45,1001
2007-09-01 09:00:00,12.1,-61.8,45,1001
2007-09-01 12:00:00,12.2,-62.8,50,1001
2007-09-01 15:00:00,12.3,-63.7,55,1000
2007-09-01 18:00:00,12.4,-64.5,60,999
2007-09-01 21:00:00,12.5,-65.3,63,996
2007-09-02 00:00:00,12.6,-66.1,65,992
2007-09-02 03:00:00,12.6,-67.0,75,989
2007-09-02 06:00:00,12.7,-67.8,85,985
2007-09-02 09:00:00,12.8,-68.6,88,983
2007-09-02 12:00:00,13.0,-69.4,90,980
2007-09-02 15:00:00,13.2,-70.2,103,971
2007-09-02 18:00:00,13.4,-71.1,115,962
2007-09-02 21:00:00,13.6,-72.0,133,949
2007-09-03 00:00:00,13.8,-73.0,150,935
2007-09-03 03:00:00,13.9,-74.0,150,933
2007-09-03 06:00:00,14.0,-75.0,150,930
2007-09-03 07:00:00,14.0,-75.3,150,929
2007-09-03 09:00:00,14.1,-75.9,146,932
2007-09-03 12:00:00,14.2,-76.9,140,937
2007-09-03 15:00:00,14.3,-77.8,128,944
2007-09-03 18:00:00,14.3,-78.7,115,951
2007-09-03 21:00:00,14.4,-79.6,115,951
2007-09-04 00:00:00,14.4,-80.4,115,950
2007-09-04 03:00:00,14.4,-81.2,125,945
2007-09-04 06:00:00,14.3,-81.9,135,939
2007-09-04 09:00:00,14.3,-82.6,138,937
2007-09-04 12:00:00,14.3,-83.2,140,934
2007-09-04 15:00:00,14.3,-83.8,113,948
2007-09-04 18:00:00,14.3,-84.4,85,962
2007-09-04 21:00:00,14.4,-84.9,68,972
2007-09-05 00:00:00,14.6,-85.4,50,982
2007-09-05 03:00:00,14.8,-85.9,38,993
2007-09-05 06:00:00,15.0,-86.4,25,1004
2007-09-05 09:00:00,15.2,-86.9,23,1005
2007-09-05 12:00:00,15.5,-87.3,20,1006
2007-09-05 15:00:00,15.8,-87.8,20,1007
2007-09-05 18:00:00,16.1,-88.3,20,1007
2007-09-05 21:00:00,16.3,-88.9,20,1007
2007-09-06 00:00:00,16.5,-89.5,20,1007
2007-09-06 03:00:00,16.6,-90.1,20,1007
2007-09-06 06:00:00,16.7,-90.8,20,1007
2007-09-06 09:00:00,16.9,-91.6,20,1007
2007-09-06 12:00:00,17.2,-92.4,20,1007
2007-09-06 15:00:00,17.5,-93.1,18,1009
2007-09-06 18:00:00,17.7,-93.8,15,1010
