time,lat,lon,vmax,mslp
2007-09-25 00:00:00,10.0,-35.9,30,1006
2007-09-25 03:00:00,10.1,-36.5,33,1006
2007-09-25 06:00:00,10.3,-37.0,35,1005
2007-09-25 09:00:00,10.5,-37.5,35,1005
2007-09-25 12:00:00,10.6,-38.0,35,1005
2007-09-25 15:00:00,10.7,-38.6,35,1005
2007-09-25 18:00:00,10.8,-39.2,35,1005
2007-09-25 21:00:00,10.8,-39.8,38,1004
2007-09-26 00:00:00,10.9,-40.4,40,1003
2007-09-26 03:00:00,11.0,-41.0,45,1000
2007-09-26 06:00:00,11.2,-41.5,50,997
2007-09-26 09:00:00,11.4,-42.0,58,993
2007-09-26 12:00:00,11.7,-42.4,65,988
2007-09-26 15:00:00,12.0,-42.8,65,989
2007-09-26 18:00:00,12.3,-43.3,65,990
2007-09-26 21:00:00,12.6,-43.9,63,993
2007-09-27 00:00:00,12.8,-44.6,60,995
2007-09-27 03:00:00,13.0,-45.2,58,997
2007-09-27 06:00:00,13.2,-45.7,55,998
2007-09-27 09:00:00,13.3,-46.3,55,1000
2007-09-27 12:00:00,13.5,-46.8,55,1002
2007-09-27 15:00:00,13.8,-47.4,53,1004
2007-09-27 18:00:00,14.1,-47.9,50,1005
2007-09-27 21:00:00,14.1,-48.4,50,1005
2007-09-28 00:00:00,14.1,-48.8,50,1005
2007-09-28 03:00:00,14.2,-49.0,45,1006
2007-09-28 06:00:00,14.3,-49.0,40,1007
2007-09-28 09:00:00,14.4,-49.0,38,1008
2007-09-28 12:00:00,14.6,-49.0,35,1008
2007-09-28 15:00:00,15.2,-49.1,35,1008
2007-09-28 18:00:00,15.8,-49.4,35,1008
2007-09-28 21:00:00,16.0,-50.1,35,1008
2007-09-29 00:00:00,16.1,-51.0,35,1008
2007-09-29 03:00:00,16.2,-51.8,33,1008
2007-09-29 06:00:00,16.3,-52.6,30,1008
2007-09-29 09:00:00,16.5,-53.4,30,1009
2007-09-29 12:00:00,16.8,-54.2,30,1009
